"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
500,0.1,1,"DML-IVQR",-0.5,0.782,0.0184648855940133,500,0
500,0.1,1,"DML-IVQR",-0.25,0.294,0.0203746901816936,500,0
500,0.1,1,"DML-IVQR",0.25,0.042,0.00897061870775924,500,0
500,0.1,1,"DML-IVQR",0.5,0.062,0.0107848041243223,500,0
500,0.1,1,"Full-GMM",-0.5,0.912,0.0126693330526907,500,0
500,0.1,1,"Full-GMM",-0.25,0.776,0.0186453211289052,500,0
500,0.1,1,"Full-GMM",0.25,0.25,0.0193649167310371,500,0
500,0.1,1,"Full-GMM",0.5,0.088,0.0126693330526907,500,0
500,0.1,1,"Oracle-GMM",-0.5,0.976,0.00684455988358638,500,0
500,0.1,1,"Oracle-GMM",-0.25,0.702,0.0204546327270865,500,0
500,0.1,1,"Oracle-GMM",0.25,0.138,0.01542439626047,500,0
500,0.1,1,"Oracle-GMM",0.5,0.526,0.022330427671677,500,0
500,0.1,0.5,"DML-IVQR",-0.5,0.418,0.0220579237463547,500,0
500,0.1,0.5,"DML-IVQR",-0.25,0.182,0.0172554918793989,500,0
500,0.1,0.5,"DML-IVQR",0.25,0.028,0.00737780455149091,500,0
500,0.1,0.5,"DML-IVQR",0.5,0.028,0.00737780455149091,500,0
500,0.1,0.5,"Full-GMM",-0.5,0.412,0.0220116332878776,500,0
500,0.1,0.5,"Full-GMM",-0.25,0.314,0.0207559148196364,500,0
500,0.1,0.5,"Full-GMM",0.25,0.104,0.013651666564929,500,0
500,0.1,0.5,"Full-GMM",0.5,0.05,0.00974679434480896,500,0
500,0.1,0.5,"Oracle-GMM",-0.5,0.542,0.0222816516443463,500,0
500,0.1,0.5,"Oracle-GMM",-0.25,0.264,0.0197131428240146,500,0
500,0.1,0.5,"Oracle-GMM",0.25,0.066,0.0111035129576184,500,0
500,0.1,0.5,"Oracle-GMM",0.5,0.134,0.0152344346793703,500,0
500,0.1,0.25,"DML-IVQR",-0.5,0.226,0.0187042241218394,500,0
500,0.1,0.25,"DML-IVQR",-0.25,0.13,0.0150399468084166,500,0
500,0.1,0.25,"DML-IVQR",0.25,0.052,0.00992935043192655,500,0
500,0.1,0.25,"DML-IVQR",0.5,0.036,0.0083311463797007,500,0
500,0.1,0.25,"Full-GMM",-0.5,0.156,0.0162273842624127,500,0
