"n","tau","kappa","estimator","metric","value"
500,0.1,1,"DML-IVQR","MAE",0.301760644614667
500,0.1,1,"Full-GMM","MAE",0.700522615252319
500,0.1,1,"Oracle-GMM","MAE",0.16462062621784
500,0.1,0.5,"DML-IVQR","MAE",0.879519305728311
500,0.1,0.5,"Full-GMM","MAE",1.00249366496004
500,0.1,0.5,"Oracle-GMM","MAE",0.380022707236451
500,0.1,0.25,"DML-IVQR","MAE",1.23283784539408
500,0.1,0.25,"Full-GMM","MAE",1.22074058942419
500,0.1,0.25,"Oracle-GMM","MAE",0.851653738547343
500,0.1,0.1,"DML-IVQR","MAE",1.13736613267487
500,0.1,0.1,"Full-GMM","MAE",1.36291163913191
500,0.1,0.1,"Oracle-GMM","MAE",1.11041097612041
500,0.25,1,"DML-IVQR","MAE",0.126697967962352
500,0.25,1,"Full-GMM","MAE",0.245057112131767
500,0.25,1,"Oracle-GMM","MAE",0.101742852021961
500,0.25,0.5,"DML-IVQR","MAE",0.329771426010981
500,0.25,0.5,"Full-GMM","MAE",0.395489777080786
500,0.25,0.5,"Oracle-GMM","MAE",0.207551016018824
500,0.25,0.25,"DML-IVQR","MAE",0.825526515066668
500,0.25,0.25,"Full-GMM","MAE",0.776844884059609
500,0.25,0.25,"Oracle-GMM","MAE",0.564836729024314
500,0.25,0.1,"DML-IVQR","MAE",1.00095508905569
500,0.25,0.1,"Full-GMM","MAE",1.06176733505098
500,0.25,0.1,"Oracle-GMM","MAE",0.926408155035295
500,0.5,1,"DML-IVQR","MAE",0.1
500,0.5,1,"Full-GMM","MAE",0.1368
500,0.5,1,"Oracle-GMM","MAE",0.0776
500,0.5,0.5,"DML-IVQR","MAE",0.1948
500,0.5,0.5,"Full-GMM","MAE",0.2808
500,0.5,0.5,"Oracle-GMM","MAE",0.1756
500,0.5,0.25,"DML-IVQR","MAE",0.5188
500,0.5,0.25,"Full-GMM","MAE",0.6498
500,0.5,0.25,"Oracle-GMM","MAE",0.4666
500,0.5,0.1,"DML-IVQR","MAE",0.8598
500,0.5,0.1,"Full-GMM","MAE",0.947
500,0.5,0.1,"Oracle-GMM","MAE",0.8456
500,0.75,1,"DML-IVQR","MAE",0.148877522123923
500,0.75,1,"Full-GMM","MAE",0.24758364512157
500,0.75,1,"Oracle-GMM","MAE",0.0993469340203925
500,0.75,0.5,"DML-IVQR","MAE",0.237861212053334
500,0.75,0.5,"Full-GMM","MAE",0.425293859079217
500,0.75,0.5,"Oracle-GMM","MAE",0.23073877002353
500,0.75,0.25,"DML-IVQR","MAE",0.533848975019608
500,0.75,0.25,"Full-GMM","MAE",0.76384896605804
500,0.75,0.25,"Oracle-GMM","MAE",0.61853877002353
500,0.75,0.1,"DML-IVQR","MAE",0.880493877002353
500,0.75,0.1,"Full-GMM","MAE",0.991481622045491
500,0.75,0.1,"Oracle-GMM","MAE",0.914906122997647
500,0.9,1,"DML-IVQR","MAE",0.253629521319643
500,0.9,1,"Full-GMM","MAE",0.767765377679249
500,0.9,1,"Oracle-GMM","MAE",0.184022707236451
500,0.9,0.5,"DML-IVQR","MAE",0.358377863790911
500,0.9,0.5,"Full-GMM","MAE",1.08462195224083
500,0.9,0.5,"Oracle-GMM","MAE",0.560729613303775
500,0.9,0.25,"DML-IVQR","MAE",0.68595307553585
500,0.9,0.25,"Full-GMM","MAE",1.33256197063765
500,0.9,0.25,"Oracle-GMM","MAE",0.937541344419812
500,0.9,0.1,"DML-IVQR","MAE",0.943288931895455
500,0.9,0.1,"Full-GMM","MAE",1.32391163913191
500,0.9,0.1,"Oracle-GMM","MAE",1.06154134441981
1000,0.1,1,"DML-IVQR","MAE",0.112280036793653
1000,0.1,1,"Full-GMM","MAE",0.348755727581822
1000,0.1,1,"Oracle-GMM","MAE",0.0969199632063474
1000,0.1,0.5,"DML-IVQR","MAE",0.29539791898139
1000,0.1,0.5,"Full-GMM","MAE",0.496350239521615
1000,0.1,0.5,"Oracle-GMM","MAE",0.165236519371099
1000,0.1,0.25,"DML-IVQR","MAE",0.835999245004376
1000,0.1,0.25,"Full-GMM","MAE",0.936290257918441
1000,0.1,0.25,"Oracle-GMM","MAE",0.514636519371099
1000,0.1,0.1,"DML-IVQR","MAE",1.03048268883962
1000,0.1,0.1,"Full-GMM","MAE",1.16800681408319
1000,0.1,0.1,"Oracle-GMM","MAE",0.850584106846742
1000,0.25,1,"DML-IVQR","MAE",0.0735877808894099
