"n","tau","kappa","estimator","metric","value"
500,0.1,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.205751565544601
500,0.1,1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.688751565544601
500,0.1,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.118751565544601
500,0.1,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.763515493400312
500,0.1,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.959351565544601
500,0.1,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.262351565544601
500,0.1,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",-1.0963515655446
500,0.1,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",-1.0975515655446
500,0.1,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.655551565544601
500,0.1,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.943551565544601
500,0.1,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",-1.1775515655446
500,0.1,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.875151565544601
500,0.25,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0005102498039182
500,0.25,1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.214689750196082
500,0.25,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.0454897501960818
500,0.25,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.170489750196082
500,0.25,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.268089750196082
500,0.25,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.0700897501960818
500,0.25,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.603489750196082
500,0.25,0.25,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.409489750196082
500,0.25,0.25,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.275289750196082
500,0.25,0.1,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.609489750196082
500,0.25,0.1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.577689750196082
500,0.25,0.1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.445089750196082
500,0.5,1,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0603999999999999
500,0.5,1,"Full-GMM","Bias (alpha_true - alpha_hat)",-0.0024000000000001
500,0.5,1,"Oracle-GMM","Bias (alpha_true - alpha_hat)",-0.00320000000000007
500,0.5,0.5,"DML-IVQR","Bias (alpha_true - alpha_hat)",0.0135999999999999
500,0.5,0.5,"Full-GMM","Bias (alpha_true - alpha_hat)",0.0199999999999999
500,0.5,0.5,"Oracle-GMM","Bias (alpha_true - alpha_hat)",0.00439999999999989
500,0.5,0.25,"DML-IVQR","Bias (alpha_true - alpha_hat)",-0.1528
