"n","tau","kappa","estimator","Delta","metric","value","MCSE"
500,0.1,1,"DML-IVQR",-0.5,"rejection_probability",0.782,0.0184648855940133
500,0.1,1,"Full-GMM",-0.5,"rejection_probability",0.912,0.0126693330526907
500,0.1,1,"Oracle-GMM",-0.5,"rejection_probability",0.976,0.00684455988358638
500,0.1,0.5,"DML-IVQR",-0.5,"rejection_probability",0.418,0.0220579237463547
500,0.1,0.5,"Full-GMM",-0.5,"rejection_probability",0.412,0.0220116332878776
500,0.1,0.5,"Oracle-GMM",-0.5,"rejection_probability",0.542,0.0222816516443463
500,0.1,0.25,"DML-IVQR",-0.5,"rejection_probability",0.226,0.0187042241218394
500,0.1,0.25,"Full-GMM",-0.5,"rejection_probability",0.156,0.0162273842624127
500,0.1,0.25,"Oracle-GMM",-0.5,"rejection_probability",0.178,0.0171064899964896
500,0.1,0.1,"DML-IVQR",-0.5,"rejection_probability",0.128,0.0149409504383088
500,0.1,0.1,"Full-GMM",-0.5,"rejection_probability",0.074,0.0117067501895274
500,0.1,0.1,"Oracle-GMM",-0.5,"rejection_probability",0.058,0.0104533248299285
500,0.25,1,"DML-IVQR",-0.5,"rejection_probability",0.96,0.00876356092008266
500,0.25,1,"Full-GMM",-0.5,"rejection_probability",0.948,0.00992935043192656
500,0.25,1,"Oracle-GMM",-0.5,"rejection_probability",0.996,0.00282276460230038
500,0.25,0.5,"DML-IVQR",-0.5,"rejection_probability",0.554,0.0222298897883008
500,0.25,0.5,"Full-GMM",-0.5,"rejection_probability",0.428,0.022127629787214
500,0.25,0.5,"Oracle-GMM",-0.5,"rejection_probability",0.636,0.0215176206863119
500,0.25,0.25,"DML-IVQR",-0.5,"rejection_probability",0.224,0.0186453211289052
500,0.25,0.25,"Full-GMM",-0.5,"rejection_probability",0.158,0.0163117135825762
500,0.25,0.25,"Oracle-GMM",-0.5,"rejection_probability",0.204,0.0180213207063189
500,0.25,0.1,"DML-IVQR",-0.5,"rejection_probability",0.118,0.0144274737913468
500,0.25,0.1,"Full-GMM",-0.5,"rejection_probability",0.066,0.0111035129576184
500,0.25,0.1,"Oracle-GMM",-0.5,"rejection_probability",0.074,0.0117067501895274
500,0.5,1,"DML-IVQR",-0.5,"rejection_probability",0.954,0.00936845771725528
500,0.5,1,"Full-GMM",-0.5,"rejection_probability",0.83,0.016798809481627
500,0.5,1,"Oracle-GMM",-0.5,"rejection_probability",0.992,0.0039839678713564
500,0.5,0.5,"DML-IVQR",-0.5,"rejection_probability",0.486,0.0223519126698366
500,0.5,0.5,"Full-GMM",-0.5,"rejection_probability",0.25,0.0193649167310371
500,0.5,0.5,"Oracle-GMM",-0.5,"rejection_probability",0.498,0.0223605008888441
