"n","tau","kappa","estimator","Delta","metric","value","MCSE"
500,0.1,1,"DML-IVQR",-0.25,"rejection_probability",0.294,0.0203746901816936
500,0.1,1,"Full-GMM",-0.25,"rejection_probability",0.776,0.0186453211289052
500,0.1,1,"Oracle-GMM",-0.25,"rejection_probability",0.702,0.0204546327270865
500,0.1,0.5,"DML-IVQR",-0.25,"rejection_probability",0.182,0.0172554918793989
500,0.1,0.5,"Full-GMM",-0.25,"rejection_probability",0.314,0.0207559148196364
500,0.1,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.264,0.0197131428240146
500,0.1,0.25,"DML-IVQR",-0.25,"rejection_probability",0.13,0.0150399468084166
500,0.1,0.25,"Full-GMM",-0.25,"rejection_probability",0.126,0.0148407546977908
500,0.1,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.116,0.0143208938268531
500,0.1,0.1,"DML-IVQR",-0.25,"rejection_probability",0.09,0.0127984374046209
500,0.1,0.1,"Full-GMM",-0.25,"rejection_probability",0.078,0.0119929979571415
500,0.1,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.066,0.0111035129576184
500,0.25,1,"DML-IVQR",-0.25,"rejection_probability",0.41,0.0219954540757858
500,0.25,1,"Full-GMM",-0.25,"rejection_probability",0.664,0.0211236360506424
500,0.25,1,"Oracle-GMM",-0.25,"rejection_probability",0.818,0.0172554918793989
500,0.25,0.5,"DML-IVQR",-0.25,"rejection_probability",0.168,0.0167198086113448
500,0.25,0.5,"Full-GMM",-0.25,"rejection_probability",0.256,0.0195173768729304
500,0.25,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.304,0.0205710476155202
500,0.25,0.25,"DML-IVQR",-0.25,"rejection_probability",0.078,0.0119929979571415
500,0.25,0.25,"Full-GMM",-0.25,"rejection_probability",0.09,0.0127984374046209
500,0.25,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.118,0.0144274737913468
500,0.25,0.1,"DML-IVQR",-0.25,"rejection_probability",0.058,0.0104533248299285
500,0.25,0.1,"Full-GMM",-0.25,"rejection_probability",0.072,0.0115599307956406
500,0.25,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.066,0.0111035129576184
500,0.5,1,"DML-IVQR",-0.25,"rejection_probability",0.388,0.0217924757657316
500,0.5,1,"Full-GMM",-0.25,"rejection_probability",0.316,0.020791536739741
500,0.5,1,"Oracle-GMM",-0.25,"rejection_probability",0.678,0.0208957411928843
500,0.5,0.5,"DML-IVQR",-0.25,"rejection_probability",0.174,0.0169542914921267
500,0.5,0.5,"Full-GMM",-0.25,"rejection_probability",0.118,0.0144274737913468
500,0.5,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.22,0.0185256578830551
500,0.5,0.25,"DML-IVQR",-0.25,"rejection_probability",0.086,0.0125382614424808
500,0.5,0.25,"Full-GMM",-0.25,"rejection_probability",0.066,0.0111035129576184
500,0.5,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.106,0.0137669168661687
500,0.5,0.1,"DML-IVQR",-0.25,"rejection_probability",0.052,0.00992935043192655
500,0.5,0.1,"Full-GMM",-0.25,"rejection_probability",0.054,0.0101078187557949
500,0.5,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.056,0.0102824121683582
500,0.75,1,"DML-IVQR",-0.25,"rejection_probability",0.176,0.017030795636141
500,0.75,1,"Full-GMM",-0.25,"rejection_probability",0.034,0.00810481338464989
500,0.75,1,"Oracle-GMM",-0.25,"rejection_probability",0.374,0.0216390387956582
500,0.75,0.5,"DML-IVQR",-0.25,"rejection_probability",0.082,0.0122699633251286
500,0.75,0.5,"Full-GMM",-0.25,"rejection_probability",0.03,0.00762889244910426
500,0.75,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.12,0.014532721699668
500,0.75,0.25,"DML-IVQR",-0.25,"rejection_probability",0.06,0.0106207344378814
500,0.75,0.25,"Full-GMM",-0.25,"rejection_probability",0.04,0.00876356092008266
500,0.75,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.058,0.0104533248299285
500,0.75,0.1,"DML-IVQR",-0.25,"rejection_probability",0.058,0.0104533248299285
500,0.75,0.1,"Full-GMM",-0.25,"rejection_probability",0.04,0.00876356092008266
500,0.75,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.04,0.00876356092008266
500,0.9,1,"DML-IVQR",-0.25,"rejection_probability",0.06,0.0106207344378814
500,0.9,1,"Full-GMM",-0.25,"rejection_probability",0.216,0.0184034779321736
500,0.9,1,"Oracle-GMM",-0.25,"rejection_probability",0.09,0.0127984374046209
500,0.9,0.5,"DML-IVQR",-0.25,"rejection_probability",0.062,0.0107848041243223
500,0.9,0.5,"Full-GMM",-0.25,"rejection_probability",0.076,0.0118510759005248
500,0.9,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.05,0.00974679434480896
500,0.9,0.25,"DML-IVQR",-0.25,"rejection_probability",0.046,0.00936845771725528
500,0.9,0.25,"Full-GMM",-0.25,"rejection_probability",0.052,0.00992935043192655
500,0.9,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.05,0.00974679434480896
500,0.9,0.1,"DML-IVQR",-0.25,"rejection_probability",0.048,0.00955991631762538
500,0.9,0.1,"Full-GMM",-0.25,"rejection_probability",0.046,0.00936845771725528
500,0.9,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.046,0.00936845771725528
1000,0.1,1,"DML-IVQR",-0.25,"rejection_probability",0.488,0.0223542389716134
1000,0.1,1,"Full-GMM",-0.25,"rejection_probability",0.902,0.0132963152790538
1000,0.1,1,"Oracle-GMM",-0.25,"rejection_probability",0.934,0.0111035129576184
1000,0.1,0.5,"DML-IVQR",-0.25,"rejection_probability",0.198,0.0178211110764733
1000,0.1,0.5,"Full-GMM",-0.25,"rejection_probability",0.512,0.0223542389716134
1000,0.1,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.478,0.0223390241505756
1000,0.1,0.25,"DML-IVQR",-0.25,"rejection_probability",0.116,0.0143208938268531
1000,0.1,0.25,"Full-GMM",-0.25,"rejection_probability",0.17,0.016798809481627
1000,0.1,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.144,0.0157012101444443
1000,0.1,0.1,"DML-IVQR",-0.25,"rejection_probability",0.078,0.0119929979571415
1000,0.1,0.1,"Full-GMM",-0.25,"rejection_probability",0.066,0.0111035129576184
1000,0.1,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.064,0.0109456840809517
1000,0.25,1,"DML-IVQR",-0.25,"rejection_probability",0.796,0.0180213207063189
1000,0.25,1,"Full-GMM",-0.25,"rejection_probability",0.912,0.0126693330526907
1000,0.25,1,"Oracle-GMM",-0.25,"rejection_probability",0.984,0.00561141693336006
1000,0.25,0.5,"DML-IVQR",-0.25,"rejection_probability",0.306,0.0206089301032344
1000,0.25,0.5,"Full-GMM",-0.25,"rejection_probability",0.458,0.0222816516443463
1000,0.25,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.546,0.0222658482883541
1000,0.25,0.25,"DML-IVQR",-0.25,"rejection_probability",0.138,0.01542439626047
1000,0.25,0.25,"Full-GMM",-0.25,"rejection_probability",0.142,0.0156099967969247
1000,0.25,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.158,0.0163117135825762
1000,0.25,0.1,"DML-IVQR",-0.25,"rejection_probability",0.076,0.0118510759005248
1000,0.25,0.1,"Full-GMM",-0.25,"rejection_probability",0.07,0.0114105214604767
1000,0.25,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.052,0.00992935043192655
1000,0.5,1,"DML-IVQR",-0.25,"rejection_probability",0.818,0.0172554918793989
1000,0.5,1,"Full-GMM",-0.25,"rejection_probability",0.732,0.0198078772209442
1000,0.5,1,"Oracle-GMM",-0.25,"rejection_probability",0.974,0.00711674082709214
1000,0.5,0.5,"DML-IVQR",-0.25,"rejection_probability",0.354,0.0213861637513604
1000,0.5,0.5,"Full-GMM",-0.25,"rejection_probability",0.25,0.0193649167310371
1000,0.5,0.5,"Oracle-GMM",-0.25,"rejection_probability",0.502,0.0223605008888441
1000,0.5,0.25,"DML-IVQR",-0.25,"rejection_probability",0.146,0.015791390059143
1000,0.5,0.25,"Full-GMM",-0.25,"rejection_probability",0.128,0.0149409504383088
1000,0.5,0.25,"Oracle-GMM",-0.25,"rejection_probability",0.17,0.016798809481627
1000,0.5,0.1,"DML-IVQR",-0.25,"rejection_probability",0.076,0.0118510759005248
1000,0.5,0.1,"Full-GMM",-0.25,"rejection_probability",0.062,0.0107848041243223
1000,0.5,0.1,"Oracle-GMM",-0.25,"rejection_probability",0.086,0.0125382614424808
