"n","tau","kappa","estimator","Delta","metric","value","MCSE"
500,0.1,1,"DML-IVQR",0.25,"rejection_probability",0.042,0.00897061870775924
500,0.1,1,"Full-GMM",0.25,"rejection_probability",0.25,0.0193649167310371
500,0.1,1,"Oracle-GMM",0.25,"rejection_probability",0.138,0.01542439626047
500,0.1,0.5,"DML-IVQR",0.25,"rejection_probability",0.028,0.00737780455149091
500,0.1,0.5,"Full-GMM",0.25,"rejection_probability",0.104,0.013651666564929
500,0.1,0.5,"Oracle-GMM",0.25,"rejection_probability",0.066,0.0111035129576184
500,0.1,0.25,"DML-IVQR",0.25,"rejection_probability",0.052,0.00992935043192655
500,0.1,0.25,"Full-GMM",0.25,"rejection_probability",0.052,0.00992935043192655
500,0.1,0.25,"Oracle-GMM",0.25,"rejection_probability",0.06,0.0106207344378814
500,0.1,0.1,"DML-IVQR",0.25,"rejection_probability",0.074,0.0117067501895274
500,0.1,0.1,"Full-GMM",0.25,"rejection_probability",0.04,0.00876356092008266
500,0.1,0.1,"Oracle-GMM",0.25,"rejection_probability",0.062,0.0107848041243223
500,0.25,1,"DML-IVQR",0.25,"rejection_probability",0.24,0.0190997382181013
500,0.25,1,"Full-GMM",0.25,"rejection_probability",0.064,0.0109456840809517
500,0.25,1,"Oracle-GMM",0.25,"rejection_probability",0.434,0.0221650174825106
500,0.25,0.5,"DML-IVQR",0.25,"rejection_probability",0.08,0.0121326007104825
500,0.25,0.5,"Full-GMM",0.25,"rejection_probability",0.052,0.00992935043192655
500,0.25,0.5,"Oracle-GMM",0.25,"rejection_probability",0.152,0.0160559023415067
500,0.25,0.25,"DML-IVQR",0.25,"rejection_probability",0.046,0.00936845771725528
500,0.25,0.25,"Full-GMM",0.25,"rejection_probability",0.046,0.00936845771725528
500,0.25,0.25,"Oracle-GMM",0.25,"rejection_probability",0.086,0.0125382614424808
500,0.25,0.1,"DML-IVQR",0.25,"rejection_probability",0.056,0.0102824121683582
500,0.25,0.1,"Full-GMM",0.25,"rejection_probability",0.044,0.00917213170424411
500,0.25,0.1,"Oracle-GMM",0.25,"rejection_probability",0.05,0.00974679434480896
500,0.5,1,"DML-IVQR",0.25,"rejection_probability",0.694,0.0206089301032344
500,0.5,1,"Full-GMM",0.25,"rejection_probability",0.314,0.0207559148196364
500,0.5,1,"Oracle-GMM",0.25,"rejection_probability",0.724,0.0199911980631477
500,0.5,0.5,"DML-IVQR",0.25,"rejection_probability",0.146,0.015791390059143
500,0.5,0.5,"Full-GMM",0.25,"rejection_probability",0.102,0.0135348439222623
500,0.5,0.5,"Oracle-GMM",0.25,"rejection_probability",0.236,0.0189896814085966
500,0.5,0.25,"DML-IVQR",0.25,"rejection_probability",0.058,0.0104533248299285
500,0.5,0.25,"Full-GMM",0.25,"rejection_probability",0.072,0.0115599307956406
500,0.5,0.25,"Oracle-GMM",0.25,"rejection_probability",0.074,0.0117067501895274
500,0.5,0.1,"DML-IVQR",0.25,"rejection_probability",0.028,0.00737780455149091
500,0.5,0.1,"Full-GMM",0.25,"rejection_probability",0.068,0.0112584190719657
500,0.5,0.1,"Oracle-GMM",0.25,"rejection_probability",0.056,0.0102824121683582
500,0.75,1,"DML-IVQR",0.25,"rejection_probability",0.904,0.0131745208641529
500,0.75,1,"Full-GMM",0.25,"rejection_probability",0.606,0.021852414054287
500,0.75,1,"Oracle-GMM",0.25,"rejection_probability",0.782,0.0184648855940133
500,0.75,0.5,"DML-IVQR",0.25,"rejection_probability",0.304,0.0205710476155202
500,0.75,0.5,"Full-GMM",0.25,"rejection_probability",0.184,0.0173288199251998
500,0.75,0.5,"Oracle-GMM",0.25,"rejection_probability",0.292,0.0203340109176719
500,0.75,0.25,"DML-IVQR",0.25,"rejection_probability",0.084,0.0124051602166195
500,0.75,0.25,"Full-GMM",0.25,"rejection_probability",0.06,0.0106207344378814
500,0.75,0.25,"Oracle-GMM",0.25,"rejection_probability",0.1,0.0134164078649987
500,0.75,0.1,"DML-IVQR",0.25,"rejection_probability",0.056,0.0102824121683582
500,0.75,0.1,"Full-GMM",0.25,"rejection_probability",0.058,0.0104533248299285
500,0.75,0.1,"Oracle-GMM",0.25,"rejection_probability",0.048,0.00955991631762538
500,0.9,1,"DML-IVQR",0.25,"rejection_probability",0.92,0.0121326007104825
500,0.9,1,"Full-GMM",0.25,"rejection_probability",0.71,0.0202928558857545
500,0.9,1,"Oracle-GMM",0.25,"rejection_probability",0.634,0.0215427017804174
500,0.9,0.5,"DML-IVQR",0.25,"rejection_probability",0.33,0.0210285520186246
500,0.9,0.5,"Full-GMM",0.25,"rejection_probability",0.24,0.0190997382181013
500,0.9,0.5,"Oracle-GMM",0.25,"rejection_probability",0.198,0.0178211110764733
500,0.9,0.25,"DML-IVQR",0.25,"rejection_probability",0.11,0.0139928553197694
500,0.9,0.25,"Full-GMM",0.25,"rejection_probability",0.09,0.0127984374046209
500,0.9,0.25,"Oracle-GMM",0.25,"rejection_probability",0.082,0.0122699633251286
500,0.9,0.1,"DML-IVQR",0.25,"rejection_probability",0.054,0.0101078187557949
500,0.9,0.1,"Full-GMM",0.25,"rejection_probability",0.064,0.0109456840809517
500,0.9,0.1,"Oracle-GMM",0.25,"rejection_probability",0.05,0.00974679434480896
1000,0.1,1,"DML-IVQR",0.25,"rejection_probability",0.27,0.0198544705293292
1000,0.1,1,"Full-GMM",0.25,"rejection_probability",0.116,0.0143208938268531
1000,0.1,1,"Oracle-GMM",0.25,"rejection_probability",0.408,0.0219788989715136
1000,0.1,0.5,"DML-IVQR",0.25,"rejection_probability",0.068,0.0112584190719657
1000,0.1,0.5,"Full-GMM",0.25,"rejection_probability",0.062,0.0107848041243223
1000,0.1,0.5,"Oracle-GMM",0.25,"rejection_probability",0.124,0.0147393351274744
1000,0.1,0.25,"DML-IVQR",0.25,"rejection_probability",0.042,0.00897061870775924
1000,0.1,0.25,"Full-GMM",0.25,"rejection_probability",0.056,0.0102824121683582
1000,0.1,0.25,"Oracle-GMM",0.25,"rejection_probability",0.058,0.0104533248299285
1000,0.1,0.1,"DML-IVQR",0.25,"rejection_probability",0.044,0.00917213170424411
1000,0.1,0.1,"Full-GMM",0.25,"rejection_probability",0.044,0.00917213170424411
1000,0.1,0.1,"Oracle-GMM",0.25,"rejection_probability",0.048,0.00955991631762538
1000,0.25,1,"DML-IVQR",0.25,"rejection_probability",0.818,0.0172554918793989
1000,0.25,1,"Full-GMM",0.25,"rejection_probability",0.21,0.018215378118502
1000,0.25,1,"Oracle-GMM",0.25,"rejection_probability",0.884,0.0143208938268531
1000,0.25,0.5,"DML-IVQR",0.25,"rejection_probability",0.214,0.0183414285157945
1000,0.25,0.5,"Full-GMM",0.25,"rejection_probability",0.09,0.0127984374046209
1000,0.25,0.5,"Oracle-GMM",0.25,"rejection_probability",0.322,0.0208957411928843
1000,0.25,0.25,"DML-IVQR",0.25,"rejection_probability",0.064,0.0109456840809517
1000,0.25,0.25,"Full-GMM",0.25,"rejection_probability",0.054,0.0101078187557949
