"n","tau","kappa","estimator","Delta","metric","value","MCSE"
500,0.1,1,"DML-IVQR",0.5,"rejection_probability",0.062,0.0107848041243223
500,0.1,1,"Full-GMM",0.5,"rejection_probability",0.088,0.0126693330526907
500,0.1,1,"Oracle-GMM",0.5,"rejection_probability",0.526,0.022330427671677
500,0.1,0.5,"DML-IVQR",0.5,"rejection_probability",0.028,0.00737780455149091
500,0.1,0.5,"Full-GMM",0.5,"rejection_probability",0.05,0.00974679434480896
500,0.1,0.5,"Oracle-GMM",0.5,"rejection_probability",0.134,0.0152344346793703
500,0.1,0.25,"DML-IVQR",0.5,"rejection_probability",0.036,0.0083311463797007
500,0.1,0.25,"Full-GMM",0.5,"rejection_probability",0.038,0.00855055553750749
500,0.1,0.25,"Oracle-GMM",0.5,"rejection_probability",0.068,0.0112584190719657
500,0.1,0.1,"DML-IVQR",0.5,"rejection_probability",0.044,0.00917213170424411
500,0.1,0.1,"Full-GMM",0.5,"rejection_probability",0.046,0.00936845771725528
500,0.1,0.1,"Oracle-GMM",0.5,"rejection_probability",0.054,0.0101078187557949
500,0.25,1,"DML-IVQR",0.5,"rejection_probability",0.652,0.0213023942316351
500,0.25,1,"Full-GMM",0.5,"rejection_probability",0.254,0.0194671004517879
500,0.25,1,"Oracle-GMM",0.5,"rejection_probability",0.928,0.0115599307956406
500,0.25,0.5,"DML-IVQR",0.5,"rejection_probability",0.138,0.01542439626047
500,0.25,0.5,"Full-GMM",0.5,"rejection_probability",0.094,0.0130509769749241
500,0.25,0.5,"Oracle-GMM",0.5,"rejection_probability",0.37,0.0215916650585359
500,0.25,0.25,"DML-IVQR",0.5,"rejection_probability",0.048,0.00955991631762538
500,0.25,0.25,"Full-GMM",0.5,"rejection_probability",0.042,0.00897061870775924
500,0.25,0.25,"Oracle-GMM",0.5,"rejection_probability",0.106,0.0137669168661687
500,0.25,0.1,"DML-IVQR",0.5,"rejection_probability",0.042,0.00897061870775924
500,0.25,0.1,"Full-GMM",0.5,"rejection_probability",0.042,0.00897061870775924
500,0.25,0.1,"Oracle-GMM",0.5,"rejection_probability",0.06,0.0106207344378814
500,0.5,1,"DML-IVQR",0.5,"rejection_probability",0.986,0.00525433154644813
500,0.5,1,"Full-GMM",0.5,"rejection_probability",0.822,0.0171064899964896
500,0.5,1,"Oracle-GMM",0.5,"rejection_probability",1,0
500,0.5,0.5,"DML-IVQR",0.5,"rejection_probability",0.382,0.0217290588843604
500,0.5,0.5,"Full-GMM",0.5,"rejection_probability",0.298,0.0204546327270865
500,0.5,0.5,"Oracle-GMM",0.5,"rejection_probability",0.564,0.0221767445762447
