"n","tau","kappa","estimator","metric","value"
500,0.1,1,"DML-IVQR","RMSE",0.468068442350106
500,0.1,1,"Full-GMM","RMSE",0.800504140551527
500,0.1,1,"Oracle-GMM","RMSE",0.214564895356378
500,0.1,0.5,"DML-IVQR","RMSE",1.26092235999775
500,0.1,0.5,"Full-GMM","RMSE",1.26876419649708
500,0.1,0.5,"Oracle-GMM","RMSE",0.611767687887897
500,0.1,0.25,"DML-IVQR","RMSE",1.60964832037066
500,0.1,0.25,"Full-GMM","RMSE",1.5230900955063
500,0.1,0.25,"Oracle-GMM","RMSE",1.25253018130821
500,0.1,0.1,"DML-IVQR","RMSE",1.47929900859889
500,0.1,0.1,"Full-GMM","RMSE",1.67928904287396
500,0.1,0.1,"Oracle-GMM","RMSE",1.48713459467365
500,0.25,1,"DML-IVQR","RMSE",0.161478358781796
500,0.25,1,"Full-GMM","RMSE",0.29430536665045
500,0.25,1,"Oracle-GMM","RMSE",0.128562503759463
500,0.25,0.5,"DML-IVQR","RMSE",0.526849840962226
500,0.25,0.5,"Full-GMM","RMSE",0.533545831358654
500,0.25,0.5,"Oracle-GMM","RMSE",0.296535348790914
500,0.25,0.25,"DML-IVQR","RMSE",1.13684602237582
500,0.25,0.25,"Full-GMM","RMSE",0.999238137540621
500,0.25,0.25,"Oracle-GMM","RMSE",0.840180817778543
500,0.25,0.1,"DML-IVQR","RMSE",1.27277364664503
500,0.25,0.1,"Full-GMM","RMSE",1.29525102103091
500,0.25,0.1,"Oracle-GMM","RMSE",1.20420119819306
500,0.5,1,"DML-IVQR","RMSE",0.131909059582729
500,0.5,1,"Full-GMM","RMSE",0.174585222742362
500,0.5,1,"Oracle-GMM","RMSE",0.10295630140987
500,0.5,0.5,"DML-IVQR","RMSE",0.264801812682617
500,0.5,0.5,"Full-GMM","RMSE",0.386884995832095
500,0.5,0.5,"Oracle-GMM","RMSE",0.244785620492708
500,0.5,0.25,"DML-IVQR","RMSE",0.703988636271922
500,0.5,0.25,"Full-GMM","RMSE",0.847218979957366
500,0.5,0.25,"Oracle-GMM","RMSE",0.652150289427215
500,0.5,0.1,"DML-IVQR","RMSE",1.05929221652951
500,0.5,0.1,"Full-GMM","RMSE",1.12385942181396
500,0.5,0.1,"Oracle-GMM","RMSE",1.05181747465993
500,0.75,1,"DML-IVQR","RMSE",0.177881362166353
500,0.75,1,"Full-GMM","RMSE",0.30301636001708
500,0.75,1,"Oracle-GMM","RMSE",0.124435671214597
500,0.75,0.5,"DML-IVQR","RMSE",0.348514258104539
500,0.75,0.5,"Full-GMM","RMSE",0.584269410604424
500,0.75,0.5,"Oracle-GMM","RMSE",0.34356021101682
500,0.75,0.25,"DML-IVQR","RMSE",0.749112223845575
500,0.75,0.25,"Full-GMM","RMSE",1.00289057535015
500,0.75,0.25,"Oracle-GMM","RMSE",0.904323023577371
500,0.75,0.1,"DML-IVQR","RMSE",1.10951843587078
500,0.75,0.1,"Full-GMM","RMSE",1.21418861571509
500,0.75,0.1,"Oracle-GMM","RMSE",1.17512523318848
500,0.9,1,"DML-IVQR","RMSE",0.304616182853141
500,0.9,1,"Full-GMM","RMSE",0.892257557777104
500,0.9,1,"Oracle-GMM","RMSE",0.251525047236836
500,0.9,0.5,"DML-IVQR","RMSE",0.531209333390155
500,0.9,0.5,"Full-GMM","RMSE",1.36209947523681
500,0.9,0.5,"Oracle-GMM","RMSE",0.949551359872065
500,0.9,0.25,"DML-IVQR","RMSE",1.01991666260327
500,0.9,0.25,"Full-GMM","RMSE",1.65231076287395
500,0.9,0.25,"Oracle-GMM","RMSE",1.35121829164699
500,0.9,0.1,"DML-IVQR","RMSE",1.31567106119737
500,0.9,0.1,"Full-GMM","RMSE",1.65133660936332
500,0.9,0.1,"Oracle-GMM","RMSE",1.4463014755767
1000,0.1,1,"DML-IVQR","RMSE",0.145118959224531
1000,0.1,1,"Full-GMM","RMSE",0.396275884828663
1000,0.1,1,"Oracle-GMM","RMSE",0.124380566168822
1000,0.1,0.5,"DML-IVQR","RMSE",0.479662395128786
1000,0.1,0.5,"Full-GMM","RMSE",0.652169952476762
1000,0.1,0.5,"Oracle-GMM","RMSE",0.227121940994336
1000,0.1,0.25,"DML-IVQR","RMSE",1.20675940446039
1000,0.1,0.25,"Full-GMM","RMSE",1.27143348815808
1000,0.1,0.25,"Oracle-GMM","RMSE",0.831149816250129
1000,0.1,0.1,"DML-IVQR","RMSE",1.40224253855112
1000,0.1,0.1,"Full-GMM","RMSE",1.51733142053285
1000,0.1,0.1,"Oracle-GMM","RMSE",1.22986764646033
1000,0.25,1,"DML-IVQR","RMSE",0.0912193939967629
1000,0.25,1,"Full-GMM","RMSE",0.16157940122417
1000,0.25,1,"Oracle-GMM","RMSE",0.0774501340549975
1000,0.25,0.5,"DML-IVQR","RMSE",0.180692979555778
1000,0.25,0.5,"Full-GMM","RMSE",0.272967334694531
1000,0.25,0.5,"Oracle-GMM","RMSE",0.144939649059091
1000,0.25,0.25,"DML-IVQR","RMSE",0.682125829335719
1000,0.25,0.25,"Full-GMM","RMSE",0.654662504382311
1000,0.25,0.25,"Oracle-GMM","RMSE",0.490835339704931
1000,0.25,0.1,"DML-IVQR","RMSE",1.1082043351054
1000,0.25,0.1,"Full-GMM","RMSE",1.10059432772614
1000,0.25,0.1,"Oracle-GMM","RMSE",0.99310856419338
1000,0.5,1,"DML-IVQR","RMSE",0.0891066776397818
1000,0.5,1,"Full-GMM","RMSE",0.102078401241399
1000,0.5,1,"Oracle-GMM","RMSE",0.0684105255059483
1000,0.5,0.5,"DML-IVQR","RMSE",0.154077902374091
1000,0.5,0.5,"Full-GMM","RMSE",0.196010203816026
1000,0.5,0.5,"Oracle-GMM","RMSE",0.130384048104053
1000,0.5,0.25,"DML-IVQR","RMSE",0.405043207571736
1000,0.5,0.25,"Full-GMM","RMSE",0.51656558150926
1000,0.5,0.25,"Oracle-GMM","RMSE",0.398421886948998
1000,0.5,0.1,"DML-IVQR","RMSE",0.905339715245057
1000,0.5,0.1,"Full-GMM","RMSE",1.00034993877143
1000,0.5,0.1,"Oracle-GMM","RMSE",0.882689073230206
1000,0.75,1,"DML-IVQR","RMSE",0.125083426932024
1000,0.75,1,"Full-GMM","RMSE",0.171581315996522
1000,0.75,1,"Oracle-GMM","RMSE",0.0801844415139353
1000,0.75,0.5,"DML-IVQR","RMSE",0.176165932829719
1000,0.75,0.5,"Full-GMM","RMSE",0.308183855527642
1000,0.75,0.5,"Oracle-GMM","RMSE",0.163956664907912
1000,0.75,0.25,"DML-IVQR","RMSE",0.537787744189865
1000,0.75,0.25,"Full-GMM","RMSE",0.706069990541598
1000,0.75,0.25,"Oracle-GMM","RMSE",0.559332824534521
