"n","tau","kappa","estimator","metric","value"
500,0.1,1,"DML-IVQR","coverage",0.962
500,0.1,1,"Full-GMM","coverage",0.462
500,0.1,1,"Oracle-GMM","coverage",0.852
500,0.1,0.5,"DML-IVQR","coverage",0.937875751503006
500,0.1,0.5,"Full-GMM","coverage",0.802
500,0.1,0.5,"Oracle-GMM","coverage",0.926
500,0.1,0.25,"DML-IVQR","coverage",0.946
500,0.1,0.25,"Full-GMM","coverage",0.912
500,0.1,0.25,"Oracle-GMM","coverage",0.948
500,0.1,0.1,"DML-IVQR","coverage",0.94
500,0.1,0.1,"Full-GMM","coverage",0.926
500,0.1,0.1,"Oracle-GMM","coverage",0.944
500,0.25,1,"DML-IVQR","coverage",0.96
500,0.25,1,"Full-GMM","coverage",0.768
500,0.25,1,"Oracle-GMM","coverage",0.884
500,0.25,0.5,"DML-IVQR","coverage",0.956
500,0.25,0.5,"Full-GMM","coverage",0.89
500,0.25,0.5,"Oracle-GMM","coverage",0.93
500,0.25,0.25,"DML-IVQR","coverage",0.946
500,0.25,0.25,"Full-GMM","coverage",0.946
500,0.25,0.25,"Oracle-GMM","coverage",0.944
500,0.25,0.1,"DML-IVQR","coverage",0.946
500,0.25,0.1,"Full-GMM","coverage",0.946
500,0.25,0.1,"Oracle-GMM","coverage",0.946
500,0.5,1,"DML-IVQR","coverage",0.92
500,0.5,1,"Full-GMM","coverage",0.95
500,0.5,1,"Oracle-GMM","coverage",0.914
500,0.5,0.5,"DML-IVQR","coverage",0.948
500,0.5,0.5,"Full-GMM","coverage",0.932
500,0.5,0.5,"Oracle-GMM","coverage",0.944
500,0.5,0.25,"DML-IVQR","coverage",0.952
500,0.5,0.25,"Full-GMM","coverage",0.956
500,0.5,0.25,"Oracle-GMM","coverage",0.954
500,0.5,0.1,"DML-IVQR","coverage",0.956
500,0.5,0.1,"Full-GMM","coverage",0.94
500,0.5,0.1,"Oracle-GMM","coverage",0.968
500,0.75,1,"DML-IVQR","coverage",0.78
500,0.75,1,"Full-GMM","coverage",0.852
500,0.75,1,"Oracle-GMM","coverage",0.906
500,0.75,0.5,"DML-IVQR","coverage",0.936
500,0.75,0.5,"Full-GMM","coverage",0.918
500,0.75,0.5,"Oracle-GMM","coverage",0.956
500,0.75,0.25,"DML-IVQR","coverage",0.942
500,0.75,0.25,"Full-GMM","coverage",0.942
500,0.75,0.25,"Oracle-GMM","coverage",0.972
500,0.75,0.1,"DML-IVQR","coverage",0.95
500,0.75,0.1,"Full-GMM","coverage",0.95
500,0.75,0.1,"Oracle-GMM","coverage",0.97
500,0.9,1,"DML-IVQR","coverage",0.622
500,0.9,1,"Full-GMM","coverage",0.532
500,0.9,1,"Oracle-GMM","coverage",0.9
500,0.9,0.5,"DML-IVQR","coverage",0.872
500,0.9,0.5,"Full-GMM","coverage",0.826
500,0.9,0.5,"Oracle-GMM","coverage",0.926
500,0.9,0.25,"DML-IVQR","coverage",0.928
500,0.9,0.25,"Full-GMM","coverage",0.942
500,0.9,0.25,"Oracle-GMM","coverage",0.94
500,0.9,0.1,"DML-IVQR","coverage",0.95
500,0.9,0.1,"Full-GMM","coverage",0.926
500,0.9,0.1,"Oracle-GMM","coverage",0.946
1000,0.1,1,"DML-IVQR","coverage",0.954
1000,0.1,1,"Full-GMM","coverage",0.466
1000,0.1,1,"Oracle-GMM","coverage",0.86
1000,0.1,0.5,"DML-IVQR","coverage",0.964
1000,0.1,0.5,"Full-GMM","coverage",0.792
1000,0.1,0.5,"Oracle-GMM","coverage",0.942
1000,0.1,0.25,"DML-IVQR","coverage",0.962
1000,0.1,0.25,"Full-GMM","coverage",0.914
1000,0.1,0.25,"Oracle-GMM","coverage",0.964
1000,0.1,0.1,"DML-IVQR","coverage",0.962
1000,0.1,0.1,"Full-GMM","coverage",0.946
1000,0.1,0.1,"Oracle-GMM","coverage",0.96
1000,0.25,1,"DML-IVQR","coverage",0.92
1000,0.25,1,"Full-GMM","coverage",0.764
1000,0.25,1,"Oracle-GMM","coverage",0.894
1000,0.25,0.5,"DML-IVQR","coverage",0.96
1000,0.25,0.5,"Full-GMM","coverage",0.928
1000,0.25,0.5,"Oracle-GMM","coverage",0.932
1000,0.25,0.25,"DML-IVQR","coverage",0.962
1000,0.25,0.25,"Full-GMM","coverage",0.934
1000,0.25,0.25,"Oracle-GMM","coverage",0.95
1000,0.25,0.1,"DML-IVQR","coverage",0.968
1000,0.25,0.1,"Full-GMM","coverage",0.95
1000,0.25,0.1,"Oracle-GMM","coverage",0.96
1000,0.5,1,"DML-IVQR","coverage",0.834
1000,0.5,1,"Full-GMM","coverage",0.912
1000,0.5,1,"Oracle-GMM","coverage",0.884
1000,0.5,0.5,"DML-IVQR","coverage",0.928
1000,0.5,0.5,"Full-GMM","coverage",0.932
1000,0.5,0.5,"Oracle-GMM","coverage",0.928
1000,0.5,0.25,"DML-IVQR","coverage",0.942
1000,0.5,0.25,"Full-GMM","coverage",0.942
1000,0.5,0.25,"Oracle-GMM","coverage",0.948
1000,0.5,0.1,"DML-IVQR","coverage",0.938
1000,0.5,0.1,"Full-GMM","coverage",0.93
1000,0.5,0.1,"Oracle-GMM","coverage",0.954
1000,0.75,1,"DML-IVQR","coverage",0.708
1000,0.75,1,"Full-GMM","coverage",0.816
1000,0.75,1,"Oracle-GMM","coverage",0.9
1000,0.75,0.5,"DML-IVQR","coverage",0.892
1000,0.75,0.5,"Full-GMM","coverage",0.912
1000,0.75,0.5,"Oracle-GMM","coverage",0.93
1000,0.75,0.25,"DML-IVQR","coverage",0.938
1000,0.75,0.25,"Full-GMM","coverage",0.95
1000,0.75,0.25,"Oracle-GMM","coverage",0.942
1000,0.75,0.1,"DML-IVQR","coverage",0.944
1000,0.75,0.1,"Full-GMM","coverage",0.95
1000,0.75,0.1,"Oracle-GMM","coverage",0.946
1000,0.9,1,"DML-IVQR","coverage",0.526
1000,0.9,1,"Full-GMM","coverage",0.538
1000,0.9,1,"Oracle-GMM","coverage",0.878
1000,0.9,0.5,"DML-IVQR","coverage",0.852
1000,0.9,0.5,"Full-GMM","coverage",0.848
1000,0.9,0.5,"Oracle-GMM","coverage",0.924
1000,0.9,0.25,"DML-IVQR","coverage",0.936
1000,0.9,0.25,"Full-GMM","coverage",0.924
1000,0.9,0.25,"Oracle-GMM","coverage",0.956
1000,0.9,0.1,"DML-IVQR","coverage",0.94
1000,0.9,0.1,"Full-GMM","coverage",0.95
1000,0.9,0.1,"Oracle-GMM","coverage",0.962
