"n","tau","kappa","estimator","metric","value"
500,0.1,1,"DML-IVQR","median_accepted_set_measure_A",2.15
500,0.1,1,"Full-GMM","median_accepted_set_measure_A",1.6
500,0.1,1,"Oracle-GMM","median_accepted_set_measure_A",0.7
500,0.1,0.5,"DML-IVQR","median_accepted_set_measure_A",3.725
500,0.1,0.5,"Full-GMM","median_accepted_set_measure_A",3.05
500,0.1,0.5,"Oracle-GMM","median_accepted_set_measure_A",2.45
500,0.1,0.25,"DML-IVQR","median_accepted_set_measure_A",3.9
500,0.1,0.25,"Full-GMM","median_accepted_set_measure_A",3.75
500,0.1,0.25,"Oracle-GMM","median_accepted_set_measure_A",3.825
500,0.1,0.1,"DML-IVQR","median_accepted_set_measure_A",3.95
500,0.1,0.1,"Full-GMM","median_accepted_set_measure_A",3.85
500,0.1,0.1,"Oracle-GMM","median_accepted_set_measure_A",4
500,0.25,1,"DML-IVQR","median_accepted_set_measure_A",0.7
500,0.25,1,"Full-GMM","median_accepted_set_measure_A",0.85
500,0.25,1,"Oracle-GMM","median_accepted_set_measure_A",0.4
500,0.25,0.5,"DML-IVQR","median_accepted_set_measure_A",2.3
500,0.25,0.5,"Full-GMM","median_accepted_set_measure_A",2.075
500,0.25,0.5,"Oracle-GMM","median_accepted_set_measure_A",1.1625
500,0.25,0.25,"DML-IVQR","median_accepted_set_measure_A",3.525
500,0.25,0.25,"Full-GMM","median_accepted_set_measure_A",3.575
500,0.25,0.25,"Oracle-GMM","median_accepted_set_measure_A",3.325
500,0.25,0.1,"DML-IVQR","median_accepted_set_measure_A",3.95
500,0.25,0.1,"Full-GMM","median_accepted_set_measure_A",3.9
500,0.25,0.1,"Oracle-GMM","median_accepted_set_measure_A",4
500,0.5,1,"DML-IVQR","median_accepted_set_measure_A",0.45
500,0.5,1,"Full-GMM","median_accepted_set_measure_A",0.7
500,0.5,1,"Oracle-GMM","median_accepted_set_measure_A",0.4
500,0.5,0.5,"DML-IVQR","median_accepted_set_measure_A",1.25
500,0.5,0.5,"Full-GMM","median_accepted_set_measure_A",1.7
