"n","tau","kappa","estimator","Delta","metric","value","MCSE"
500,0.1,1,"DML-IVQR",-0.5,"rejection_probability",0.782,0.0184648855940133
500,0.1,1,"DML-IVQR",-0.25,"rejection_probability",0.294,0.0203746901816936
500,0.1,1,"DML-IVQR",0.25,"rejection_probability",0.042,0.00897061870775924
500,0.1,1,"DML-IVQR",0.5,"rejection_probability",0.062,0.0107848041243223
500,0.1,0.5,"DML-IVQR",-0.5,"rejection_probability",0.418,0.0220579237463547
500,0.1,0.5,"DML-IVQR",-0.25,"rejection_probability",0.182,0.0172554918793989
500,0.1,0.5,"DML-IVQR",0.25,"rejection_probability",0.028,0.00737780455149091
500,0.1,0.5,"DML-IVQR",0.5,"rejection_probability",0.028,0.00737780455149091
500,0.1,0.25,"DML-IVQR",-0.5,"rejection_probability",0.226,0.0187042241218394
500,0.1,0.25,"DML-IVQR",-0.25,"rejection_probability",0.13,0.0150399468084166
500,0.1,0.25,"DML-IVQR",0.25,"rejection_probability",0.052,0.00992935043192655
500,0.1,0.25,"DML-IVQR",0.5,"rejection_probability",0.036,0.0083311463797007
500,0.1,0.1,"DML-IVQR",-0.5,"rejection_probability",0.128,0.0149409504383088
500,0.1,0.1,"DML-IVQR",-0.25,"rejection_probability",0.09,0.0127984374046209
500,0.1,0.1,"DML-IVQR",0.25,"rejection_probability",0.074,0.0117067501895274
500,0.1,0.1,"DML-IVQR",0.5,"rejection_probability",0.044,0.00917213170424411
500,0.25,1,"DML-IVQR",-0.5,"rejection_probability",0.96,0.00876356092008266
500,0.25,1,"DML-IVQR",-0.25,"rejection_probability",0.41,0.0219954540757858
500,0.25,1,"DML-IVQR",0.25,"rejection_probability",0.24,0.0190997382181013
500,0.25,1,"DML-IVQR",0.5,"rejection_probability",0.652,0.0213023942316351
500,0.25,0.5,"DML-IVQR",-0.5,"rejection_probability",0.554,0.0222298897883008
500,0.25,0.5,"DML-IVQR",-0.25,"rejection_probability",0.168,0.0167198086113448
500,0.25,0.5,"DML-IVQR",0.25,"rejection_probability",0.08,0.0121326007104825
500,0.25,0.5,"DML-IVQR",0.5,"rejection_probability",0.138,0.01542439626047
500,0.25,0.25,"DML-IVQR",-0.5,"rejection_probability",0.224,0.0186453211289052
500,0.25,0.25,"DML-IVQR",-0.25,"rejection_probability",0.078,0.0119929979571415
500,0.25,0.25,"DML-IVQR",0.25,"rejection_probability",0.046,0.00936845771725528
500,0.25,0.25,"DML-IVQR",0.5,"rejection_probability",0.048,0.00955991631762538
500,0.25,0.1,"DML-IVQR",-0.5,"rejection_probability",0.118,0.0144274737913468
500,0.25,0.1,"DML-IVQR",-0.25,"rejection_probability",0.058,0.0104533248299285
500,0.25,0.1,"DML-IVQR",0.25,"rejection_probability",0.056,0.0102824121683582
500,0.25,0.1,"DML-IVQR",0.5,"rejection_probability",0.042,0.00897061870775924
500,0.5,1,"DML-IVQR",-0.5,"rejection_probability",0.954,0.00936845771725528
500,0.5,1,"DML-IVQR",-0.25,"rejection_probability",0.388,0.0217924757657316
500,0.5,1,"DML-IVQR",0.25,"rejection_probability",0.694,0.0206089301032344
500,0.5,1,"DML-IVQR",0.5,"rejection_probability",0.986,0.00525433154644813
500,0.5,0.5,"DML-IVQR",-0.5,"rejection_probability",0.486,0.0223519126698366
500,0.5,0.5,"DML-IVQR",-0.25,"rejection_probability",0.174,0.0169542914921267
500,0.5,0.5,"DML-IVQR",0.25,"rejection_probability",0.146,0.015791390059143
500,0.5,0.5,"DML-IVQR",0.5,"rejection_probability",0.382,0.0217290588843604
500,0.5,0.25,"DML-IVQR",-0.5,"rejection_probability",0.196,0.017752971582245
500,0.5,0.25,"DML-IVQR",-0.25,"rejection_probability",0.086,0.0125382614424808
500,0.5,0.25,"DML-IVQR",0.25,"rejection_probability",0.058,0.0104533248299285
500,0.5,0.25,"DML-IVQR",0.5,"rejection_probability",0.1,0.0134164078649987
500,0.5,0.1,"DML-IVQR",-0.5,"rejection_probability",0.104,0.013651666564929
500,0.5,0.1,"DML-IVQR",-0.25,"rejection_probability",0.052,0.00992935043192655
