"n","tau","kappa","estimator","metric","value"
500,0.1,1,"DML-IVQR","full_A_acceptance_rate",0
500,0.1,1,"Full-GMM","full_A_acceptance_rate",0
500,0.1,1,"Oracle-GMM","full_A_acceptance_rate",0
500,0.1,0.5,"DML-IVQR","full_A_acceptance_rate",0.146292585170341
500,0.1,0.5,"Full-GMM","full_A_acceptance_rate",0.004
500,0.1,0.5,"Oracle-GMM","full_A_acceptance_rate",0.032
500,0.1,0.25,"DML-IVQR","full_A_acceptance_rate",0.34
500,0.1,0.25,"Full-GMM","full_A_acceptance_rate",0.072
500,0.1,0.25,"Oracle-GMM","full_A_acceptance_rate",0.312
500,0.1,0.1,"DML-IVQR","full_A_acceptance_rate",0.452
500,0.1,0.1,"Full-GMM","full_A_acceptance_rate",0.144
500,0.1,0.1,"Oracle-GMM","full_A_acceptance_rate",0.504
500,0.25,1,"DML-IVQR","full_A_acceptance_rate",0
500,0.25,1,"Full-GMM","full_A_acceptance_rate",0
500,0.25,1,"Oracle-GMM","full_A_acceptance_rate",0
500,0.25,0.5,"DML-IVQR","full_A_acceptance_rate",0
500,0.25,0.5,"Full-GMM","full_A_acceptance_rate",0.002
500,0.25,0.5,"Oracle-GMM","full_A_acceptance_rate",0
500,0.25,0.25,"DML-IVQR","full_A_acceptance_rate",0.19
500,0.25,0.25,"Full-GMM","full_A_acceptance_rate",0.104
500,0.25,0.25,"Oracle-GMM","full_A_acceptance_rate",0.184
500,0.25,0.1,"DML-IVQR","full_A_acceptance_rate",0.456
500,0.25,0.1,"Full-GMM","full_A_acceptance_rate",0.298
500,0.25,0.1,"Oracle-GMM","full_A_acceptance_rate",0.506
500,0.5,1,"DML-IVQR","full_A_acceptance_rate",0
500,0.5,1,"Full-GMM","full_A_acceptance_rate",0
500,0.5,1,"Oracle-GMM","full_A_acceptance_rate",0
500,0.5,0.5,"DML-IVQR","full_A_acceptance_rate",0
500,0.5,0.5,"Full-GMM","full_A_acceptance_rate",0
500,0.5,0.5,"Oracle-GMM","full_A_acceptance_rate",0
500,0.5,0.25,"DML-IVQR","full_A_acceptance_rate",0.152
500,0.5,0.25,"Full-GMM","full_A_acceptance_rate",0.09
500,0.5,0.25,"Oracle-GMM","full_A_acceptance_rate",0.148
500,0.5,0.1,"DML-IVQR","full_A_acceptance_rate",0.488
500,0.5,0.1,"Full-GMM","full_A_acceptance_rate",0.386
500,0.5,0.1,"Oracle-GMM","full_A_acceptance_rate",0.476
500,0.75,1,"DML-IVQR","full_A_acceptance_rate",0
500,0.75,1,"Full-GMM","full_A_acceptance_rate",0
500,0.75,1,"Oracle-GMM","full_A_acceptance_rate",0
500,0.75,0.5,"DML-IVQR","full_A_acceptance_rate",0
500,0.75,0.5,"Full-GMM","full_A_acceptance_rate",0
500,0.75,0.5,"Oracle-GMM","full_A_acceptance_rate",0
500,0.75,0.25,"DML-IVQR","full_A_acceptance_rate",0.176
500,0.75,0.25,"Full-GMM","full_A_acceptance_rate",0.088
500,0.75,0.25,"Oracle-GMM","full_A_acceptance_rate",0.18
500,0.75,0.1,"DML-IVQR","full_A_acceptance_rate",0.516
500,0.75,0.1,"Full-GMM","full_A_acceptance_rate",0.32
500,0.75,0.1,"Oracle-GMM","full_A_acceptance_rate",0.53
500,0.9,1,"DML-IVQR","full_A_acceptance_rate",0
500,0.9,1,"Full-GMM","full_A_acceptance_rate",0
500,0.9,1,"Oracle-GMM","full_A_acceptance_rate",0
500,0.9,0.5,"DML-IVQR","full_A_acceptance_rate",0.028
500,0.9,0.5,"Full-GMM","full_A_acceptance_rate",0.004
500,0.9,0.5,"Oracle-GMM","full_A_acceptance_rate",0.044
500,0.9,0.25,"DML-IVQR","full_A_acceptance_rate",0.296
500,0.9,0.25,"Full-GMM","full_A_acceptance_rate",0.084
500,0.9,0.25,"Oracle-GMM","full_A_acceptance_rate",0.364
500,0.9,0.1,"DML-IVQR","full_A_acceptance_rate",0.518
500,0.9,0.1,"Full-GMM","full_A_acceptance_rate",0.202
500,0.9,0.1,"Oracle-GMM","full_A_acceptance_rate",0.564
1000,0.1,1,"DML-IVQR","full_A_acceptance_rate",0
1000,0.1,1,"Full-GMM","full_A_acceptance_rate",0
1000,0.1,1,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.1,0.5,"DML-IVQR","full_A_acceptance_rate",0.012
1000,0.1,0.5,"Full-GMM","full_A_acceptance_rate",0
1000,0.1,0.5,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.1,0.25,"DML-IVQR","full_A_acceptance_rate",0.234
1000,0.1,0.25,"Full-GMM","full_A_acceptance_rate",0.072
1000,0.1,0.25,"Oracle-GMM","full_A_acceptance_rate",0.168
1000,0.1,0.1,"DML-IVQR","full_A_acceptance_rate",0.502
1000,0.1,0.1,"Full-GMM","full_A_acceptance_rate",0.254
1000,0.1,0.1,"Oracle-GMM","full_A_acceptance_rate",0.514
1000,0.25,1,"DML-IVQR","full_A_acceptance_rate",0
1000,0.25,1,"Full-GMM","full_A_acceptance_rate",0
1000,0.25,1,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.25,0.5,"DML-IVQR","full_A_acceptance_rate",0
1000,0.25,0.5,"Full-GMM","full_A_acceptance_rate",0
1000,0.25,0.5,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.25,0.25,"DML-IVQR","full_A_acceptance_rate",0.042
1000,0.25,0.25,"Full-GMM","full_A_acceptance_rate",0.032
1000,0.25,0.25,"Oracle-GMM","full_A_acceptance_rate",0.044
1000,0.25,0.1,"DML-IVQR","full_A_acceptance_rate",0.446
1000,0.25,0.1,"Full-GMM","full_A_acceptance_rate",0.308
1000,0.25,0.1,"Oracle-GMM","full_A_acceptance_rate",0.428
1000,0.5,1,"DML-IVQR","full_A_acceptance_rate",0
1000,0.5,1,"Full-GMM","full_A_acceptance_rate",0
1000,0.5,1,"Oracle-GMM","full_A_acceptance_rate",0
1000,0.5,0.5,"DML-IVQR","full_A_acceptance_rate",0
1000,0.5,0.5,"Full-GMM","full_A_acceptance_rate",0
1000,0.5,0.5,"Oracle-GMM","full_A_acceptance_rate",0
