"figure_id","figure_file_pdf","figure_file_png","figure_data_csv","metric","n_values","tau_values","kappa_values","estimators","notes"
"Figure 1","thesis_extension/final/figures/main/fig1_rmse_vs_kappa.pdf","thesis_extension/final/figures/main/fig1_rmse_vs_kappa.png","thesis_extension/final/figure_data/fig1_rmse_vs_kappa.csv","RMSE","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Saved final RMSE values."
"Figure 2","thesis_extension/final/figures/main/fig2_coverage_vs_kappa.pdf","thesis_extension/final/figures/main/fig2_coverage_vs_kappa.png","thesis_extension/final/figure_data/fig2_coverage_vs_kappa.csv","coverage","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Gray band is the nominal 95% Monte Carlo reference band for R_MC=500; not an estimator confidence interval."
"Figure 3","thesis_extension/final/figures/main/fig3_median_accepted_measure_vs_kappa.pdf","thesis_extension/final/figures/main/fig3_median_accepted_measure_vs_kappa.png","thesis_extension/final/figure_data/fig3_median_accepted_measure_vs_kappa.csv","median_accepted_set_measure_A","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Grid-based measure within prespecified A=[-1,3]; maximum 4."
"Figure 4","thesis_extension/final/figures/main/fig4_dml_power_vs_kappa.pdf","thesis_extension/final/figures/main/fig4_dml_power_vs_kappa.png","thesis_extension/final/figure_data/fig4_dml_power_vs_kappa.csv","rejection_probability","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","DML-IVQR","Directional alternatives are shown separately; saved MCSE is retained in figure data."
"Figure 5","thesis_extension/final/figures/main/fig5_full_grid_acceptance_vs_kappa.pdf","thesis_extension/final/figures/main/fig5_full_grid_acceptance_vs_kappa.png","thesis_extension/final/figure_data/fig5_full_grid_acceptance_vs_kappa.csv","full_A_acceptance_rate","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Full acceptance means all 81 evaluated CR-grid points in A=[-1,3] are accepted."
"Appendix Figure A1","thesis_extension/final/figures/appendix/appendix_figA1_mae_vs_kappa.pdf","thesis_extension/final/figures/appendix/appendix_figA1_mae_vs_kappa.png","thesis_extension/final/figure_data/appendix_figA1_mae_vs_kappa.csv","MAE","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Saved final MAE values."
"Appendix Figure A2","thesis_extension/final/figures/appendix/appendix_figA2_bias_vs_kappa.pdf","thesis_extension/final/figures/appendix/appendix_figA2_bias_vs_kappa.png","thesis_extension/final/figure_data/appendix_figA2_bias_vs_kappa.csv","Bias","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Authors' convention: alpha_true - alpha_hat; zero reference line shown."
"Appendix Figure A3a","thesis_extension/final/figures/appendix/appendix_figA3a_power_delta_m050.pdf","thesis_extension/final/figures/appendix/appendix_figA3a_power_delta_m050.png","thesis_extension/final/figure_data/appendix_figA3a_power_delta_m050.csv","rejection_probability","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Estimator comparison at Delta=-0.50; saved MCSE retained in figure data."
"Appendix Figure A3b","thesis_extension/final/figures/appendix/appendix_figA3b_power_delta_m025.pdf","thesis_extension/final/figures/appendix/appendix_figA3b_power_delta_m025.png","thesis_extension/final/figure_data/appendix_figA3b_power_delta_m025.csv","rejection_probability","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Estimator comparison at Delta=-0.25; saved MCSE retained in figure data."
"Appendix Figure A3c","thesis_extension/final/figures/appendix/appendix_figA3c_power_delta_p025.pdf","thesis_extension/final/figures/appendix/appendix_figA3c_power_delta_p025.png","thesis_extension/final/figure_data/appendix_figA3c_power_delta_p025.csv","rejection_probability","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Estimator comparison at Delta=+0.25; saved MCSE retained in figure data."
"Appendix Figure A3d","thesis_extension/final/figures/appendix/appendix_figA3d_power_delta_p050.pdf","thesis_extension/final/figures/appendix/appendix_figA3d_power_delta_p050.png","thesis_extension/final/figure_data/appendix_figA3d_power_delta_p050.csv","rejection_probability","500;1000",".10;.25;.50;.75;.90","1.00;.50;.25;.10","Oracle-GMM;Full-GMM;DML-IVQR","Estimator comparison at Delta=+0.50; saved MCSE retained in figure data."
