"n","tau","kappa","estimator","mean_signed_error","Bias","MAE","RMSE","coverage","size_null_rejection_rate","MCSE_coverage","median_accepted_set_measure_A","mean_accepted_set_measure_A","full_A_acceptance_rate","left_CR_boundary_contact_rate","right_CR_boundary_contact_rate","point_left_boundary_rate","point_right_boundary_rate","numerical_failure_rate","successful_replications","failed_replications"
1000,0.1,1,"DML-IVQR",-0.00324843445539913,0.00324843445539913,0.112280036793653,0.145118959224531,0.954,0.046,0.00936845771725528,0.65,0.6639,0,0,0,0,0,0,500,0
1000,0.1,1,"Full-GMM",0.336751565544601,-0.336751565544601,0.348755727581822,0.396275884828663,0.466,0.534,0.0223089219820232,0.75,0.76805,0,0.002,0,0,0,0,500,0
1000,0.1,1,"Oracle-GMM",0.0647515655446009,-0.0647515655446009,0.0969199632063474,0.124380566168822,0.86,0.14,0.0155177317930167,0.35,0.3832,0,0,0,0,0,0,500,0
1000,0.1,0.5,"DML-IVQR",0.156751565544601,-0.156751565544601,0.29539791898139,0.479662395128786,0.964,0.036,0.0083311463797007,2.25,2.3312,0.012,0.096,0.324,0,0,0,500,0
1000,0.1,0.5,"Full-GMM",0.442151565544601,-0.442151565544601,0.496350239521615,0.652169952476762,0.792,0.208,0.0181513635851415,1.825,1.92105,0,0.14,0.118,0.002,0,0,500,0
1000,0.1,0.5,"Oracle-GMM",0.100151565544601,-0.100151565544601,0.165236519371099,0.227121940994336,0.942,0.058,0.0104533248299285,1.0375,1.2386,0,0.04,0.052,0,0,0,500,0
1000,0.1,0.25,"DML-IVQR",0.682751565544601,-0.682751565544601,0.835999245004376,1.20675940446039,0.962,0.038,0.00855055553750749,3.8,3.591,0.234,0.536,0.888,0.016,0.014,0,500,0
1000,0.1,0.25,"Full-GMM",0.815151565544601,-0.815151565544601,0.936290257918441,1.27143348815808,0.914,0.086,0.0125382614424808,3.45,3.27875,0.072,0.618,0.696,0.008,0.002,0,500,0
1000,0.1,0.25,"Oracle-GMM",0.362351565544601,-0.362351565544601,0.514636519371099,0.831149816250129,0.964,0.036,0.0083311463797007,3.475,3.0641,0.168,0.578,0.642,0.008,0.006,0,500,0
1000,0.1,0.1,"DML-IVQR",0.854151565544601,-0.854151565544601,1.03048268883962,1.40224253855112,0.962,0.038,0.00855055553750749,4,3.8208,0.502,0.836,0.976,0.026,0.022,0,500,0
1000,0.1,0.1,"Full-GMM",1.0083515655446,-1.0083515655446,1.16800681408319,1.51733142053285,0.946,0.054,0.0101078187557949,3.875,3.7423,0.254,0.906,0.91,0.028,0.012,0,500,0
1000,0.1,0.1,"Oracle-GMM",0.589351565544601,-0.589351565544601,0.850584106846742,1.22986764646033,0.96,0.04,0.00876356092008266,4,3.73165,0.514,0.904,0.906,0.046,0.01,0,500,0
1000,0.25,1,"DML-IVQR",-0.0355102498039182,0.0355102498039182,0.0735877808894099,0.0912193939967629,0.92,0.08,0.0121326007104825,0.35,0.3502,0,0,0,0,0,0,500,0
1000,0.25,1,"Full-GMM",0.114489750196082,-0.114489750196082,0.135595891116865,0.16157940122417,0.764,0.236,0.0189896814085966,0.45,0.4345,0,0,0,0,0,0,500,0
1000,0.25,1,"Oracle-GMM",0.0256897501960818,-0.0256897501960818,0.0643918360031373,0.0774501340549975,0.894,0.106,0.0137669168661687,0.25,0.2538,0,0,0,0,0,0,500,0
1000,0.25,0.5,"DML-IVQR",0.0144897501960818,-0.0144897501960818,0.137187762966274,0.180692979555778,0.96,0.04,0.00876356092008266,0.8,0.9042,0,0,0.004,0,0,0,500,0
1000,0.25,0.5,"Full-GMM",0.140689750196082,-0.140689750196082,0.214122433068236,0.272967334694531,0.928,0.072,0.0115599307956406,0.95,0.99265,0,0.002,0.004,0,0,0,500,0
