"n","tau","kappa","estimator","total_profiles","W_failures","non_OK_statuses","CR_length_NA_count","point_boundary_hits","CR_left_boundary_contacts","CR_right_boundary_contacts","full_A_CR_count"
500,0.1,1,"DML-IVQR",50,0,0,0,0,1,10,0
500,0.1,1,"Full-GMM",50,0,0,0,0,7,1,0
500,0.1,1,"Oracle-GMM",50,0,0,0,0,0,0,0
500,0.1,0.5,"DML-IVQR",50,0,0,0,2,17,47,7
500,0.1,0.5,"Full-GMM",50,0,0,0,0,23,31,0
500,0.1,0.5,"Oracle-GMM",50,0,0,0,0,14,25,1
500,0.1,0.25,"DML-IVQR",50,0,0,0,3,34,46,21
500,0.1,0.25,"Full-GMM",50,0,0,0,1,43,40,5
500,0.1,0.25,"Oracle-GMM",50,0,0,0,2,37,41,11
500,0.1,0.1,"DML-IVQR",50,0,0,0,4,42,47,24
500,0.1,0.1,"Full-GMM",50,0,0,0,5,49,44,6
500,0.1,0.1,"Oracle-GMM",50,0,0,0,2,46,46,23
500,0.25,1,"DML-IVQR",50,0,0,0,0,0,0,0
500,0.25,1,"Full-GMM",50,0,0,0,0,0,0,0
500,0.25,1,"Oracle-GMM",50,0,0,0,0,0,0,0
500,0.25,0.5,"DML-IVQR",50,0,0,0,0,1,21,0
500,0.25,0.5,"Full-GMM",50,0,0,0,0,10,8,0
500,0.25,0.5,"Oracle-GMM",50,0,0,0,1,3,6,0
500,0.25,0.25,"DML-IVQR",50,0,0,0,0,22,46,9
500,0.25,0.25,"Full-GMM",50,0,0,0,2,37,33,5
500,0.25,0.25,"Oracle-GMM",50,0,0,0,0,32,28,7
500,0.25,0.1,"DML-IVQR",50,0,0,0,3,38,45,23
500,0.25,0.1,"Full-GMM",50,0,0,0,4,48,46,11
500,0.25,0.1,"Oracle-GMM",50,0,0,0,3,42,44,23
500,0.5,1,"DML-IVQR",50,0,0,0,0,0,0,0
500,0.5,1,"Full-GMM",50,0,0,0,0,0,0,0
500,0.5,1,"Oracle-GMM",50,0,0,0,0,0,0,0
500,0.5,0.5,"DML-IVQR",50,0,0,0,0,0,7,0
500,0.5,0.5,"Full-GMM",50,0,0,0,0,4,3,0
500,0.5,0.5,"Oracle-GMM",50,0,0,0,0,1,2,0
500,0.5,0.25,"DML-IVQR",50,0,0,0,1,21,36,7
500,0.5,0.25,"Full-GMM",50,0,0,0,2,34,28,6
500,0.5,0.25,"Oracle-GMM",50,0,0,0,1,29,23,6
500,0.5,0.1,"DML-IVQR",50,0,0,0,5,41,48,23
500,0.5,0.1,"Full-GMM",50,0,0,0,1,48,44,17
500,0.5,0.1,"Oracle-GMM",50,0,0,0,1,46,42,24
500,0.75,1,"DML-IVQR",50,0,0,0,0,0,0,0
500,0.75,1,"Full-GMM",50,0,0,0,0,0,0,0
500,0.75,1,"Oracle-GMM",50,0,0,0,0,0,0,0
500,0.75,0.5,"DML-IVQR",50,0,0,0,0,2,3,0
500,0.75,0.5,"Full-GMM",50,0,0,0,0,14,10,0
500,0.75,0.5,"Oracle-GMM",50,0,0,0,0,6,2,0
500,0.75,0.25,"DML-IVQR",50,0,0,0,2,28,36,11
500,0.75,0.25,"Full-GMM",50,0,0,0,2,36,34,7
500,0.75,0.25,"Oracle-GMM",50,0,0,0,0,38,27,9
500,0.75,0.1,"DML-IVQR",50,0,0,0,3,42,44,22
500,0.75,0.1,"Full-GMM",50,0,0,0,0,43,43,13
500,0.75,0.1,"Oracle-GMM",50,0,0,0,2,45,42,24
500,0.9,1,"DML-IVQR",50,0,0,0,0,0,0,0
500,0.9,1,"Full-GMM",50,0,0,0,0,9,5,0
500,0.9,1,"Oracle-GMM",50,0,0,0,0,0,0,0
500,0.9,0.5,"DML-IVQR",50,0,0,0,0,14,14,0
500,0.9,0.5,"Full-GMM",50,0,0,0,1,35,24,0
500,0.9,0.5,"Oracle-GMM",50,0,0,0,1,29,14,4
500,0.9,0.25,"DML-IVQR",50,0,0,0,1,41,38,17
500,0.9,0.25,"Full-GMM",50,0,0,0,2,48,39,2
500,0.9,0.25,"Oracle-GMM",50,0,0,0,0,45,39,21
500,0.9,0.1,"DML-IVQR",50,0,0,0,3,44,45,27
500,0.9,0.1,"Full-GMM",50,0,0,0,2,47,44,6
500,0.9,0.1,"Oracle-GMM",50,0,0,0,3,49,46,30
1000,0.1,1,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.1,1,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.1,1,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.1,0.5,"DML-IVQR",50,0,0,0,1,3,15,0
1000,0.1,0.5,"Full-GMM",50,0,0,0,0,7,4,0
1000,0.1,0.5,"Oracle-GMM",50,0,0,0,0,0,2,0
1000,0.1,0.25,"DML-IVQR",50,0,0,0,0,23,44,11
1000,0.1,0.25,"Full-GMM",50,0,0,0,0,31,36,2
1000,0.1,0.25,"Oracle-GMM",50,0,0,0,0,29,27,7
1000,0.1,0.1,"DML-IVQR",50,0,0,0,1,42,48,23
1000,0.1,0.1,"Full-GMM",50,0,0,0,2,43,48,11
1000,0.1,0.1,"Oracle-GMM",50,0,0,0,4,44,45,21
1000,0.25,1,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.25,1,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.25,1,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.25,0.5,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.25,0.5,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.25,0.5,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.25,0.25,"DML-IVQR",50,0,0,0,2,7,31,0
1000,0.25,0.25,"Full-GMM",50,0,0,0,0,14,20,0
1000,0.25,0.25,"Oracle-GMM",50,0,0,0,1,13,14,0
1000,0.25,0.1,"DML-IVQR",50,0,0,0,0,30,47,19
1000,0.25,0.1,"Full-GMM",50,0,0,0,1,42,42,11
1000,0.25,0.1,"Oracle-GMM",50,0,0,0,1,42,40,18
1000,0.5,1,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.5,1,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.5,1,"Oracle-GMM",50,0,0,0,0,0,0,0
1000,0.5,0.5,"DML-IVQR",50,0,0,0,0,0,0,0
1000,0.5,0.5,"Full-GMM",50,0,0,0,0,0,0,0
1000,0.5,0.5,"Oracle-GMM",50,0,0,0,0,0,0,0
