"replication","n","tau","kappa","estimator","delta","alpha_false","W_false","rejected_false","status"
1,500,0.1,1,"Oracle-GMM",-0.5,-0.781551565544601,32.3220105672089,TRUE,"OK"
1,500,0.1,1,"Oracle-GMM",-0.25,-0.531551565544601,19.6043066997164,TRUE,"OK"
1,500,0.1,1,"Oracle-GMM",0.25,-0.0315515655446008,0.793333099833428,FALSE,"OK"
1,500,0.1,1,"Oracle-GMM",0.5,0.218448434455399,0.122729080540783,FALSE,"OK"
1,500,0.1,1,"Full-GMM",-0.5,-0.781551565544601,33.1651123696506,TRUE,"OK"
1,500,0.1,1,"Full-GMM",-0.25,-0.531551565544601,26.743867916462,TRUE,"OK"
1,500,0.1,1,"Full-GMM",0.25,-0.0315515655446008,7.87503180892158,TRUE,"OK"
1,500,0.1,1,"Full-GMM",0.5,0.218448434455399,8.87578950298442,TRUE,"OK"
1,500,0.1,1,"DML-IVQR",-0.5,-0.781551565544601,22.3917623656397,TRUE,"OK"
1,500,0.1,1,"DML-IVQR",-0.25,-0.531551565544601,9.30624328020228,TRUE,"OK"
1,500,0.1,1,"DML-IVQR",0.25,-0.0315515655446008,1.24960486582054,FALSE,"OK"
1,500,0.1,1,"DML-IVQR",0.5,0.218448434455399,1.09826531327081,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.5,-0.781551565544601,22.4339358349899,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.25,-0.531551565544601,12.3826337742526,TRUE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0.25,-0.0315515655446008,1.10851526273074,FALSE,"OK"
1,500,0.1,0.5,"Oracle-GMM",0.5,0.218448434455399,1.31219461708189,FALSE,"OK"
1,500,0.1,0.5,"Full-GMM",-0.5,-0.781551565544601,5.37987753105804,FALSE,"OK"
1,500,0.1,0.5,"Full-GMM",-0.25,-0.531551565544601,12.1247447653354,TRUE,"OK"
1,500,0.1,0.5,"Full-GMM",0.25,-0.0315515655446008,4.17457002553954,FALSE,"OK"
1,500,0.1,0.5,"Full-GMM",0.5,0.218448434455399,1.22707292652394,FALSE,"OK"
1,500,0.1,0.5,"DML-IVQR",-0.5,-0.781551565544601,14.2618928467834,TRUE,"OK"
1,500,0.1,0.5,"DML-IVQR",-0.25,-0.531551565544601,8.09466966887203,TRUE,"OK"
1,500,0.1,0.5,"DML-IVQR",0.25,-0.0315515655446008,5.44463895064853,FALSE,"OK"
1,500,0.1,0.5,"DML-IVQR",0.5,0.218448434455399,3.52480331932057,FALSE,"OK"
1,500,0.1,0.25,"Oracle-GMM",-0.5,-0.781551565544601,13.8342559736306,TRUE,"OK"
1,500,0.1,0.25,"Oracle-GMM",-0.25,-0.531551565544601,11.9445908565356,TRUE,"OK"
1,500,0.1,0.25,"Oracle-GMM",0.25,-0.0315515655446008,3.67547972863558,FALSE,"OK"
1,500,0.1,0.25,"Oracle-GMM",0.5,0.218448434455399,4.31155233228438,FALSE,"OK"
1,500,0.1,0.25,"Full-GMM",-0.5,-0.781551565544601,0.0298658441640779,FALSE,"OK"
1,500,0.1,0.25,"Full-GMM",-0.25,-0.531551565544601,0.752876205403186,FALSE,"OK"
1,500,0.1,0.25,"Full-GMM",0.25,-0.0315515655446008,0.144837442819978,FALSE,"OK"
1,500,0.1,0.25,"Full-GMM",0.5,0.218448434455399,0.437625652734118,FALSE,"OK"
1,500,0.1,0.25,"DML-IVQR",-0.5,-0.781551565544601,6.56029043243192,TRUE,"OK"
1,500,0.1,0.25,"DML-IVQR",-0.25,-0.531551565544601,5.97666626001726,FALSE,"OK"
1,500,0.1,0.25,"DML-IVQR",0.25,-0.0315515655446008,6.05307032173292,TRUE,"OK"
1,500,0.1,0.25,"DML-IVQR",0.5,0.218448434455399,8.86687934200811,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.5,-0.781551565544601,10.9606006044,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.25,-0.531551565544601,7.81616439916679,TRUE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.25,-0.0315515655446008,4.8411900140562,FALSE,"OK"
1,500,0.1,0.1,"Oracle-GMM",0.5,0.218448434455399,3.14432270102724,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.5,-0.781551565544601,0.329646780430605,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",-0.25,-0.531551565544601,2.19819935994092,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",0.25,-0.0315515655446008,0.513110507045777,FALSE,"OK"
1,500,0.1,0.1,"Full-GMM",0.5,0.218448434455399,3.02037516172442,FALSE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.5,-0.781551565544601,6.52384471986027,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",-0.25,-0.531551565544601,4.05083340836044,FALSE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.25,-0.0315515655446008,6.97728509196144,TRUE,"OK"
1,500,0.1,0.1,"DML-IVQR",0.5,0.218448434455399,5.54666922387746,FALSE,"OK"
1,500,0.25,1,"Oracle-GMM",-0.5,-0.174489750196082,30.2732074555024,TRUE,"OK"
1,500,0.25,1,"Oracle-GMM",-0.25,0.0755102498039183,16.0753682056,TRUE,"OK"
1,500,0.25,1,"Oracle-GMM",0.25,0.575510249803918,3.3153360521456,FALSE,"OK"
1,500,0.25,1,"Oracle-GMM",0.5,0.825510249803918,11.2549146928777,TRUE,"OK"
1,500,0.25,1,"Full-GMM",-0.5,-0.174489750196082,23.4073525474346,TRUE,"OK"
1,500,0.25,1,"Full-GMM",-0.25,0.0755102498039183,21.4090647584233,TRUE,"OK"
1,500,0.25,1,"Full-GMM",0.25,0.575510249803918,0.693055431437026,FALSE,"OK"
1,500,0.25,1,"Full-GMM",0.5,0.825510249803918,0.116439960000398,FALSE,"OK"
1,500,0.25,1,"DML-IVQR",-0.5,-0.174489750196082,21.4479233343989,TRUE,"OK"
1,500,0.25,1,"DML-IVQR",-0.25,0.0755102498039183,9.1002003235183,TRUE,"OK"
1,500,0.25,1,"DML-IVQR",0.25,0.575510249803918,2.13745164533989,FALSE,"OK"
1,500,0.25,1,"DML-IVQR",0.5,0.825510249803918,4.36464999358419,FALSE,"OK"
1,500,0.25,0.5,"Oracle-GMM",-0.5,-0.174489750196082,15.3522198736288,TRUE,"OK"
1,500,0.25,0.5,"Oracle-GMM",-0.25,0.0755102498039183,6.33434913283796,TRUE,"OK"
1,500,0.25,0.5,"Oracle-GMM",0.25,0.575510249803918,0.641476386101282,FALSE,"OK"
1,500,0.25,0.5,"Oracle-GMM",0.5,0.825510249803918,1.84735019883315,FALSE,"OK"
1,500,0.25,0.5,"Full-GMM",-0.5,-0.174489750196082,6.73649691402737,TRUE,"OK"
1,500,0.25,0.5,"Full-GMM",-0.25,0.0755102498039183,10.2025764310321,TRUE,"OK"
1,500,0.25,0.5,"Full-GMM",0.25,0.575510249803918,2.41353580967619,FALSE,"OK"
1,500,0.25,0.5,"Full-GMM",0.5,0.825510249803918,0.121937228700895,FALSE,"OK"
1,500,0.25,0.5,"DML-IVQR",-0.5,-0.174489750196082,15.2284224719131,TRUE,"OK"
1,500,0.25,0.5,"DML-IVQR",-0.25,0.0755102498039183,7.66551333422121,TRUE,"OK"
1,500,0.25,0.5,"DML-IVQR",0.25,0.575510249803918,1.40659004962159,FALSE,"OK"
1,500,0.25,0.5,"DML-IVQR",0.5,0.825510249803918,1.43057305358289,FALSE,"OK"
1,500,0.25,0.25,"Oracle-GMM",-0.5,-0.174489750196082,5.26935296313848,FALSE,"OK"
1,500,0.25,0.25,"Oracle-GMM",-0.25,0.0755102498039183,3.40512514423533,FALSE,"OK"
1,500,0.25,0.25,"Oracle-GMM",0.25,0.575510249803918,0.915497608498447,FALSE,"OK"
1,500,0.25,0.25,"Oracle-GMM",0.5,0.825510249803918,2.6944912637208,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",-0.5,-0.174489750196082,3.18424814626841,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",-0.25,0.0755102498039183,2.27469689899773,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",0.25,0.575510249803918,1.78468872055871,FALSE,"OK"
1,500,0.25,0.25,"Full-GMM",0.5,0.825510249803918,1.8591520656178,FALSE,"OK"
1,500,0.25,0.25,"DML-IVQR",-0.5,-0.174489750196082,10.9969665782834,TRUE,"OK"
1,500,0.25,0.25,"DML-IVQR",-0.25,0.0755102498039183,3.19910058743729,FALSE,"OK"
1,500,0.25,0.25,"DML-IVQR",0.25,0.575510249803918,1.92388263958673,FALSE,"OK"
1,500,0.25,0.25,"DML-IVQR",0.5,0.825510249803918,2.41252367059438,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",-0.5,-0.174489750196082,2.37581529065454,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",-0.25,0.0755102498039183,0.953689061632895,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",0.25,0.575510249803918,0.978034802739339,FALSE,"OK"
1,500,0.25,0.1,"Oracle-GMM",0.5,0.825510249803918,0.777396454234898,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",-0.5,-0.174489750196082,4.75746999148276,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",-0.25,0.0755102498039183,2.24493408735663,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",0.25,0.575510249803918,1.83027794613399,FALSE,"OK"
1,500,0.25,0.1,"Full-GMM",0.5,0.825510249803918,3.97034220196627,FALSE,"OK"
1,500,0.25,0.1,"DML-IVQR",-0.5,-0.174489750196082,9.00870000792369,TRUE,"OK"
1,500,0.25,0.1,"DML-IVQR",-0.25,0.0755102498039183,3.12120478254856,FALSE,"OK"
1,500,0.25,0.1,"DML-IVQR",0.25,0.575510249803918,3.35107188889426,FALSE,"OK"
1,500,0.25,0.1,"DML-IVQR",0.5,0.825510249803918,3.84785135510079,FALSE,"OK"
1,500,0.5,1,"Oracle-GMM",-0.5,0.5,23.024990399451,TRUE,"OK"
1,500,0.5,1,"Oracle-GMM",-0.25,0.75,2.86785065494301,FALSE,"OK"
