"replication","n","tau","kappa","estimator","alpha_true","alpha_hat","bias","abs_error","squared_error","W_true","covered","rejected_true","cr_length","cr_any_accepted","cr_all_accepted","cr_left_boundary_accepted","cr_right_boundary_accepted","cr_n_components_grid","point_left_boundary","point_right_boundary","n_W_success","n_W_failure","status"
1,500,0.1,1,"Oracle-GMM",-0.281551565544601,0.1,0.381551565544601,0.381551565544601,0.145581597169536,2.73351153261993,TRUE,FALSE,1.3,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE,86,0,"OK"
1,500,0.1,1,"Full-GMM",-0.281551565544601,0.5,0.781551565544601,0.781551565544601,0.610822849605216,11.5136512095416,FALSE,TRUE,1.75,TRUE,FALSE,FALSE,FALSE,10,FALSE,FALSE,86,0,"OK"
1,500,0.1,1,"DML-IVQR",-0.281551565544601,0.6,0.881551565544601,0.881551565544601,0.777133162714137,4.97813577521267,TRUE,FALSE,3.275,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.5,"Oracle-GMM",-0.281551565544601,1,1.2815515655446,1.2815515655446,1.64237441514982,6.59842822838866,FALSE,TRUE,3.375,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.5,"Full-GMM",-0.281551565544601,0.2,0.481551565544601,0.481551565544601,0.231891910278456,8.03798226443504,FALSE,TRUE,3.475,TRUE,FALSE,TRUE,FALSE,6,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.5,"DML-IVQR",-0.281551565544601,1,1.2815515655446,1.2815515655446,1.64237441514982,6.20776923164834,FALSE,TRUE,3.175,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.25,"Oracle-GMM",-0.281551565544601,1.4,1.6815515655446,1.6815515655446,2.8276156675855,6.15427796054769,FALSE,TRUE,3.425,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.25,"Full-GMM",-0.281551565544601,1.4,1.6815515655446,1.6815515655446,2.8276156675855,3.81699771257634,TRUE,FALSE,3.9,TRUE,FALSE,TRUE,TRUE,3,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.25,"DML-IVQR",-0.281551565544601,1.9,2.1815515655446,2.1815515655446,4.7591672331301,4.50394151038385,TRUE,FALSE,2.35,TRUE,FALSE,FALSE,FALSE,8,FALSE,FALSE,86,0,"OK"
1,500,0.1,0.1,"Oracle-GMM",-0.281551565544601,1.8,2.0815515655446,2.0815515655446,4.33285692002118,8.05455075857628,FALSE,TRUE,3.45,TRUE,FALSE,TRUE,TRUE,6,FALSE,FALSE,86,0,"OK"
