"n","tau","kappa","estimator","mean_bias","MAE","RMSE","coverage","rejection_at_truth","MCSE_coverage","MCSE_size","mean_CR_length","median_CR_length","proportion_CR_all_A","proportion_CR_left_boundary","proportion_CR_right_boundary","point_left_boundary_rate","point_right_boundary_rate","successful_replications","failed_replications"
500,0.1,1,"DML-IVQR",0.133551565544601,0.254524125243568,0.364324059951321,0.96,0.04,0.027712812921102,0.027712812921102,2.3105,2.375,0,0.02,0.2,0,0,50,0
500,0.1,1,"Full-GMM",0.671551565544601,0.685765377679249,0.828179633404133,0.48,0.52,0.0706540869306228,0.0706540869306228,1.599,1.6125,0,0.14,0.02,0,0,50,0
500,0.1,1,"Oracle-GMM",0.103551565544601,0.17831031310892,0.237568783148666,0.82,0.18,0.0543323108288245,0.0543323108288245,0.675,0.6,0,0,0,0,0,50,0
500,0.1,0.5,"DML-IVQR",0.757551565544601,0.85262062621784,1.22560530941208,0.94,0.06,0.0335857112474933,0.0335857112474933,3.591,3.7625,0.14,0.34,0.94,0,0.04,50,0
500,0.1,0.5,"Full-GMM",0.727551565544601,0.834193001948545,1.04528239271806,0.88,0.12,0.0459565011723042,0.0459565011723042,3.107,3.1375,0,0.46,0.62,0,0,50,0
500,0.1,0.5,"Oracle-GMM",0.195551565544601,0.332524125243568,0.482746739799395,0.84,0.16,0.0518459255872629,0.0518459255872629,2.3125,2.125,0.02,0.28,0.5,0,0,50,0
500,0.1,0.25,"DML-IVQR",0.963551565544601,1.12514475146141,1.54191686528926,0.92,0.08,0.0383666521865017,0.0383666521865018,3.741,3.925,0.42,0.68,0.92,0.04,0.02,50,0
500,0.1,0.25,"Full-GMM",1.0875515655446,1.27419300194854,1.61174824576251,0.94,0.06,0.0335857112474933,0.0335857112474933,3.6515,3.8,0.1,0.86,0.8,0.02,0,50,0
500,0.1,0.25,"Oracle-GMM",0.657551565544601,0.913786187865352,1.39017914721454,0.94,0.06,0.0335857112474933,0.0335857112474933,3.348,3.675,0.22,0.74,0.82,0.02,0.02,50,0
500,0.1,0.1,"DML-IVQR",1.0435515655446,1.20040681408319,1.61547388401998,0.92,0.08,0.0383666521865017,0.0383666521865018,3.6715,3.9625,0.48,0.84,0.94,0.04,0.04,50,0
500,0.1,0.1,"Full-GMM",0.953551565544601,1.20388268883962,1.55347242915752,0.98,0.02,0.0197989898732233,0.0197989898732233,3.7545,3.8625,0.12,0.98,0.88,0.06,0.04,50,0
500,0.1,0.1,"Oracle-GMM",0.773551565544601,1.0555723757307,1.43552012335477,0.9,0.1,0.0424264068711928,0.0424264068711929,3.688,3.95,0.46,0.92,0.92,0.04,0,50,0
500,0.25,1,"DML-IVQR",-0.0175102498039182,0.12306122997647,0.154410520523038,0.94,0.06,0.0335857112474933,0.0335857112474933,0.678,0.65,0,0,0,0,0,50,0
500,0.25,1,"Full-GMM",0.248489750196082,0.282693850117649,0.339516061405806,0.82,0.18,0.0543323108288245,0.0543323108288245,0.848,0.85,0,0,0,0,0,50,0
500,0.25,1,"Oracle-GMM",0.0364897501960818,0.10293877002353,0.125249757961333,0.8,0.2,0.0565685424949238,0.0565685424949238,0.432,0.45,0,0,0,0,0,50,0
500,0.25,0.5,"DML-IVQR",0.184489750196082,0.376979590007843,0.565452445327998,0.92,0.08,0.0383666521865017,0.0383666521865018,2.153,2.1875,0,0.02,0.42,0,0,50,0
500,0.25,0.5,"Full-GMM",0.280489750196082,0.503795900078433,0.636269204004925,0.88,0.12,0.0459565011723042,0.0459565011723042,2.14,2,0,0.2,0.16,0,0,50,0
500,0.25,0.5,"Oracle-GMM",0.0584897501960818,0.254979590007843,0.392893179984077,0.92,0.08,0.0383666521865017,0.0383666521865018,1.3745,1.275,0,0.06,0.12,0.02,0,50,0
500,0.25,0.25,"DML-IVQR",0.526489750196082,0.787836720062746,1.13070219645207,0.92,0.08,0.0383666521865017,0.0383666521865018,3.266,3.375,0.18,0.44,0.92,0,0,50,0
500,0.25,0.25,"Full-GMM",0.396489750196082,0.761836720062746,1.01573624628176,0.96,0.04,0.027712812921102,0.027712812921102,3.326,3.625,0.1,0.74,0.66,0.02,0.02,50,0
500,0.25,0.25,"Oracle-GMM",0.252489750196082,0.618,0.91294417899129,0.9,0.1,0.0424264068711928,0.0424264068711929,2.909,3.3125,0.14,0.64,0.56,0,0,50,0
500,0.25,0.1,"DML-IVQR",0.534489750196082,1.04391836003137,1.33104443692338,0.92,0.08,0.0383666521865017,0.0383666521865018,3.6055,3.925,0.46,0.76,0.9,0,0.06,50,0
500,0.25,0.1,"Full-GMM",0.434489750196082,0.971918360031373,1.23401026860616,0.94,0.06,0.0335857112474933,0.0335857112474933,3.659,3.85,0.22,0.96,0.92,0.06,0.02,50,0
500,0.25,0.1,"Oracle-GMM",-0.00551024980391822,0.856081639968627,1.05661268346206,0.88,0.12,0.0459565011723042,0.0459565011723042,3.546,3.95,0.46,0.84,0.88,0.06,0,50,0
500,0.5,1,"DML-IVQR",-0.0519999999999999,0.088,0.123288280059379,0.94,0.06,0.0335857112474933,0.0335857112474933,0.507,0.5,0,0,0,0,0,50,0
500,0.5,1,"Full-GMM",0.0240000000000001,0.132,0.174355957741627,0.94,0.06,0.0335857112474933,0.0335857112474933,0.668,0.65,0,0,0,0,0,50,0
