"row_type","dataset_id","estimator","comparison","alpha","max_abs_latent_d_difference","max_abs_D_difference","exact_latent_d_identity","exact_D_identity","max_abs_W_difference","W_reference","W_thesis","difference","alpha_hat_reference","alpha_hat_thesis","min_W_reference","min_W_thesis","alpha_hat_exact_match","W_tolerance_match","selected_lambda_reference","lambda_vector_exact_match","status"
"dataset_summary",1,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",2,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",3,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",4,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",5,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",6,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",7,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",8,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",9,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",10,"Treatment DGP","DGP_KAPPA1",NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"dataset_summary",1,"Oracle-GMM","ORACLE_TABLE2",NA,NA,NA,NA,NA,0,NA,NA,NA,0.9,0.9,0.753375197581095,0.753375197581095,TRUE,TRUE,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-1,NA,NA,NA,NA,NA,71.3577213094881,71.3577213094881,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.9,NA,NA,NA,NA,NA,73.8441725375143,73.8441725375143,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.8,NA,NA,NA,NA,NA,74.0042425791706,74.0042425791706,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.7,NA,NA,NA,NA,NA,71.4145472809029,71.4145472809029,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.6,NA,NA,NA,NA,NA,65.2022022017937,65.2022022017937,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.5,NA,NA,NA,NA,NA,72.7401022729856,72.7401022729856,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.4,NA,NA,NA,NA,NA,66.4295835141616,66.4295835141616,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.3,NA,NA,NA,NA,NA,64.952329920175,64.952329920175,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.2,NA,NA,NA,NA,NA,57.7823018216175,57.7823018216175,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",-0.1,NA,NA,NA,NA,NA,56.1522023924677,56.1522023924677,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0,NA,NA,NA,NA,NA,57.3536202160795,57.3536202160795,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.1,NA,NA,NA,NA,NA,41.2124859411958,41.2124859411958,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.2,NA,NA,NA,NA,NA,31.3724068198912,31.3724068198912,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.3,NA,NA,NA,NA,NA,36.4259421456897,36.4259421456897,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.4,NA,NA,NA,NA,NA,30.4082546521704,30.4082546521704,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.5,NA,NA,NA,NA,NA,29.7854409479872,29.7854409479872,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.6,NA,NA,NA,NA,NA,23.7657790539653,23.7657790539653,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.7,NA,NA,NA,NA,NA,8.55722612676948,8.55722612676948,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.8,NA,NA,NA,NA,NA,5.55206541097518,5.55206541097518,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",0.9,NA,NA,NA,NA,NA,0.753375197581095,0.753375197581095,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1,NA,NA,NA,NA,NA,3.08679900046003,3.08679900046003,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.1,NA,NA,NA,NA,NA,7.26139073187298,7.26139073187298,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.2,NA,NA,NA,NA,NA,8.53701021135492,8.53701021135492,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.3,NA,NA,NA,NA,NA,10.3577621463731,10.3577621463731,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.4,NA,NA,NA,NA,NA,22.2298221944269,22.2298221944269,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.5,NA,NA,NA,NA,NA,24.8738102466498,24.8738102466498,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.6,NA,NA,NA,NA,NA,33.199280425623,33.199280425623,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.7,NA,NA,NA,NA,NA,38.762989259497,38.762989259497,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.8,NA,NA,NA,NA,NA,42.7130111885125,42.7130111885125,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",1.9,NA,NA,NA,NA,NA,46.1079774890178,46.1079774890178,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2,NA,NA,NA,NA,NA,59.9442537641329,59.9442537641329,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.1,NA,NA,NA,NA,NA,62.9299005419131,62.9299005419131,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.2,NA,NA,NA,NA,NA,71.6109561607546,71.6109561607546,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
"alpha_detail",1,"Oracle-GMM","ORACLE_TABLE2",2.3,NA,NA,NA,NA,NA,78.826761284189,78.826761284189,0,NA,NA,NA,NA,NA,NA,NA,NA,"PASS"
