"n","tau","kappa","estimator","total_rows","R_available","number_missing","number_non_finite","empirical_coverage","empirical_size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","nominal_0p95_inside_mc_interval","mean_W_true","sd_W_true","min_W_true","q10_W_true","q25_W_true","median_W_true","q75_W_true","q90_W_true","q95_W_true","q99_W_true","max_W_true","empirical_rejection_rate","q95_ratio_to_chisq2_q95","mean_minus_chisq2_mean","variance_minus_chisq2_variance","max_abs_ecdf_difference_chisq2","summary_reported_coverage","summary_reported_size","summary_coverage_abs_difference","summary_size_abs_difference"
500,0.1,1,"Oracle-GMM",500,500,0,0,0.858,0.142,0.0156099967969247,0.824670332675225,0.885870639554304,FALSE,3.09005184421545,3.07164029200655,0.0065252251305511,0.281890741331938,0.857386672549225,2.16800289908527,4.52612153877319,7.2563063553919,8.52078696655855,13.2061814358116,20.9610370474627,0.142,1.42215428290758,1.09005184421545,5.43497408347807,0.173934604408157,0.858,0.142,0,2.77555756156289e-17
500,0.1,1,"Full-GMM",500,500,0,0,0.442,0.558,0.0222097275985096,0.399075953142823,0.485808470350717,FALSE,7.89024958186799,5.71209810399924,0.0545309285424816,1.68858504588016,3.332296772746,6.95236124582303,11.0652608213538,15.5228947849376,18.8590288796742,25.8726718014916,33.3266413118637,0.558,3.1476492485927,5.89024958186799,28.6280647497118,0.564685033269152,0.442,0.558,0,0
500,0.1,1,"DML-IVQR-BC",500,500,0,0,0.958,0.042,0.00897061870775924,0.93664841424567,0.972367689891548,TRUE,1.96159205331371,2.02385245158454,0.000474321439189768,0.206920814347521,0.556539826144373,1.36574315809216,2.73300300718278,4.39952816709136,5.71072704799582,10.0445470756765,12.4744058474017,0.042,0.953143760276831,-0.0384079466862894,0.0959787457847421,0.028872688062432,0.958,0.042,0,3.46944695195361e-17
500,0.1,0.5,"Oracle-GMM",500,500,0,0,0.904,0.096,0.0131745208641529,0.875013037572485,0.926826495334581,FALSE,2.50695821183994,2.34079199532288,0.000186409991300718,0.240270839066658,0.685173302124554,1.91731634629677,3.64103713786218,5.7863757866259,7.22799632229231,9.33518032927751,17.5277566162187,0.096,1.20638222348844,0.506958211839942,1.47930716536766,0.121449449925303,0.904,0.096,0,2.77555756156289e-17
500,0.1,0.5,"Full-GMM",500,500,0,0,0.816,0.184,0.0173288199251998,0.77967089620646,0.847510520621839,FALSE,3.52945379356263,3.17727928972259,0.00404674740942908,0.454917259419145,1.27676426345492,2.62402895544763,4.82964489676626,7.68858357029021,9.27031610889447,13.7474812850869,23.818450577435,0.184,1.54725377009352,1.52945379356263,6.09510368490009,0.243687671405909,0.816,0.184,0,5.55111512312578e-17
500,0.1,0.5,"DML-IVQR-BC",500,500,0,0,0.928,0.072,0.0115599307956406,0.901931595983038,0.947541968581874,FALSE,2.2475839452698,2.29377081084246,0.00186662390258879,0.186668020893601,0.662854863513039,1.57994591521661,2.96279829978664,5.12225642351023,6.77231157568455,10.3147717126579,19.0488899712035,0.072,1.13032657081372,0.247583945269803,1.26138453267287,0.060641731839841,0.928,0.072,0,4.16333634234434e-17
500,0.1,0.25,"Oracle-GMM",500,500,0,0,0.944,0.056,0.0102824121683582,0.920255206353293,0.960974379316848,TRUE,2.24463625418447,2.09484814995285,0.00419336233429227,0.221390129106607,0.594912775936172,1.7289315125731,3.33438944915406,4.92105444865597,6.16426335358184,9.73721243923515,14.8755700490968,0.056,1.02884082933567,0.24463625418447,0.388388771360895,0.0895604931358732,0.944,0.056,0,4.85722573273506e-17
500,0.1,0.25,"Full-GMM",500,500,0,0,0.928,0.072,0.0115599307956406,0.901931595983038,0.947541968581874,FALSE,2.43134672868239,2.20065271990851,0.000957351555405448,0.23491586508785,0.798426514043151,1.79352942318272,3.58533936683974,5.52123482243594,6.73154826943866,9.58681088485031,13.0412141085651,0.072,1.12352300785755,0.431346728682386,0.842872393640723,0.101953938795477,0.928,0.072,0,4.16333634234434e-17
500,0.1,0.25,"DML-IVQR-BC",500,500,0,0,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE,2.19762708461126,2.35148914675057,0.000533338517035641,0.205489635325962,0.617080762681927,1.52245295255086,2.93713192918829,4.98843587647184,7.01109623464358,10.4484107846661,17.7400335625264,0.07,1.1701807094941,0.197627084611264,1.52950120728572,0.0341655556943069,0.93,0.07,0,5.55111512312578e-17
500,0.1,0.1,"Oracle-GMM",500,500,0,0,0.954,0.046,0.00936845771725528,0.931922207231727,0.969154891629184,TRUE,2.10181223654209,1.91911914451304,0.00242254858664249,0.177334968789499,0.607635363446685,1.59073678533467,3.11505124460355,4.82448608541179,5.56355783717555,8.02808540776128,12.9340510838776,0.046,0.928580615545997,0.101812236542086,-0.31698170916354,0.0638002134667567,0.954,0.046,0,4.16333634234434e-17
