"n","tau","kappa","estimator","upper_tail_rank","replication","W_true","rejected_true","above_chisq2_q99","above_chisq2_q999"
1000,0.5,1,"Oracle-GMM",1,283,15.6712103750993,TRUE,TRUE,TRUE
1000,0.5,1,"Oracle-GMM",2,159,13.6454275240736,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",3,482,13.4368340331054,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",4,181,12.8248079100385,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",5,3,11.7091813013209,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",6,360,11.4554558696884,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",7,15,11.4466424827886,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",8,249,11.2880223553272,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",9,82,10.991926423832,TRUE,TRUE,FALSE
1000,0.5,1,"Oracle-GMM",10,359,10.9005702127121,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",1,2,20.0257455662914,TRUE,TRUE,TRUE
1000,0.5,1,"Full-GMM",2,82,13.1767491809863,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",3,310,12.3723925606311,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",4,487,12.2716816381569,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",5,157,12.1871294258484,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",6,253,11.9756897356977,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",7,15,11.4041345872667,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",8,183,11.2065867583961,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",9,142,10.6205296493752,TRUE,TRUE,FALSE
1000,0.5,1,"Full-GMM",10,104,10.0943690185679,TRUE,TRUE,FALSE
1000,0.5,1,"DML-IVQR-BC",1,52,19.7849013941372,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",2,181,19.5079605101289,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",3,310,18.3533958477752,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",4,283,17.9486798970953,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",5,482,15.3600773027835,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",6,258,14.8949051436146,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",7,253,14.6678848212054,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",8,359,14.6463245612546,TRUE,TRUE,TRUE
1000,0.5,1,"DML-IVQR-BC",9,82,13.6392153398685,TRUE,TRUE,FALSE
1000,0.5,1,"DML-IVQR-BC",10,42,13.6339106327143,TRUE,TRUE,FALSE
1000,0.75,1,"Oracle-GMM",1,254,20.2177741478538,TRUE,TRUE,TRUE
1000,0.75,1,"Oracle-GMM",2,460,15.5323175889259,TRUE,TRUE,TRUE
1000,0.75,1,"Oracle-GMM",3,258,15.4511153956892,TRUE,TRUE,TRUE
1000,0.75,1,"Oracle-GMM",4,359,14.4673864482593,TRUE,TRUE,TRUE
1000,0.75,1,"Oracle-GMM",5,396,14.2797425793307,TRUE,TRUE,TRUE
1000,0.75,1,"Oracle-GMM",6,362,14.0291737154337,TRUE,TRUE,TRUE
1000,0.75,1,"Oracle-GMM",7,360,12.6808447215672,TRUE,TRUE,FALSE
1000,0.75,1,"Oracle-GMM",8,278,12.4518604663188,TRUE,TRUE,FALSE
1000,0.75,1,"Oracle-GMM",9,310,11.6930840564728,TRUE,TRUE,FALSE
1000,0.75,1,"Oracle-GMM",10,486,11.3162442254745,TRUE,TRUE,FALSE
1000,0.75,1,"Full-GMM",1,426,30.7114583905969,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",2,461,26.4296077480734,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",3,125,26.0492210001102,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",4,199,19.3520439137966,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",5,384,18.2355522917162,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",6,218,18.0719988823677,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",7,441,17.4970343720159,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",8,12,17.288755609494,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",9,172,16.8770798005185,TRUE,TRUE,TRUE
1000,0.75,1,"Full-GMM",10,377,16.7121978750461,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",1,254,38.6875005850522,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",2,359,27.653105259413,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",3,399,25.3852717301906,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",4,7,22.1000961497891,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",5,201,22.0825983927378,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",6,310,21.7451307655069,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",7,118,21.6579894857861,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",8,172,20.6264170623331,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",9,384,20.4627872438052,TRUE,TRUE,TRUE
1000,0.75,1,"DML-IVQR-BC",10,8,20.3276718374765,TRUE,TRUE,TRUE
1000,0.9,1,"Oracle-GMM",1,461,16.8467663331536,TRUE,TRUE,TRUE
1000,0.9,1,"Oracle-GMM",2,125,16.0396910711232,TRUE,TRUE,TRUE
1000,0.9,1,"Oracle-GMM",3,399,15.6626079736678,TRUE,TRUE,TRUE
1000,0.9,1,"Oracle-GMM",4,8,14.8058812638681,TRUE,TRUE,TRUE
1000,0.9,1,"Oracle-GMM",5,261,12.6190899789443,TRUE,TRUE,FALSE
1000,0.9,1,"Oracle-GMM",6,466,12.42324034413,TRUE,TRUE,FALSE
1000,0.9,1,"Oracle-GMM",7,254,12.3843277357651,TRUE,TRUE,FALSE
1000,0.9,1,"Oracle-GMM",8,488,12.2503654562609,TRUE,TRUE,FALSE
1000,0.9,1,"Oracle-GMM",9,120,12.110424309485,TRUE,TRUE,FALSE
1000,0.9,1,"Oracle-GMM",10,293,10.1055467725194,TRUE,TRUE,FALSE
1000,0.9,1,"Full-GMM",1,226,35.9567744075952,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",2,8,31.6475752389447,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",3,364,31.0764348524655,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",4,218,29.7017963766577,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",5,399,29.0724676450078,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",6,73,28.0445383078592,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",7,284,26.4082670450405,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",8,360,26.3007795405722,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",9,12,25.1802787471906,TRUE,TRUE,TRUE
1000,0.9,1,"Full-GMM",10,473,25.1068168680689,TRUE,TRUE,TRUE
1000,0.9,1,"DML-IVQR-BC",1,125,36.5602974285326,TRUE,TRUE,TRUE
1000,0.9,1,"DML-IVQR-BC",2,399,26.0104435335387,TRUE,TRUE,TRUE
1000,0.9,1,"DML-IVQR-BC",3,120,25.1979103521013,TRUE,TRUE,TRUE
1000,0.9,1,"DML-IVQR-BC",4,309,25.1569343080694,TRUE,TRUE,TRUE
1000,0.9,1,"DML-IVQR-BC",5,254,25.0954503361613,TRUE,TRUE,TRUE
1000,0.9,1,"DML-IVQR-BC",6,467,24.2303662802821,TRUE,TRUE,TRUE
1000,0.9,1,"DML-IVQR-BC",7,466,23.9209595228256,TRUE,TRUE,TRUE
