"n","kappa","tau","comparison","estimator_A","estimator_B","paired_R_available","missing_or_unmatched","correlation_W_true","mean_paired_W_difference_A_minus_B","median_paired_W_difference_A_minus_B","q90_paired_W_difference_A_minus_B","q95_paired_W_difference_A_minus_B","fraction_A_rejects_B_accepts","fraction_A_accepts_B_rejects","fraction_both_reject","fraction_both_accept"
1000,1,0.1,"DML vs Oracle","DML-IVQR-BC","Oracle-GMM",500,0,0.40190035825584,-1.13964504264806,-0.554105730829359,1.78881628827736,2.47549306560678,0.012,0.12,0.02,0.848
1000,1,0.1,"DML vs Full","DML-IVQR-BC","Full-GMM",500,0,0.0798735083458567,-5.87467328267667,-4.43777965331687,1.09742892163791,2.34573463265536,0.014,0.48,0.018,0.488
1000,1,0.1,"Oracle vs Full","Oracle-GMM","Full-GMM",500,0,0.430810786888685,-4.73502824002861,-3.5045190104948,1.69044384270291,3.12954616747152,0.038,0.396,0.102,0.464
1000,1,0.25,"DML vs Oracle","DML-IVQR-BC","Oracle-GMM",500,0,0.420743639666584,-0.181115017496229,-0.149309687352752,3.10787488441147,4.67515519096722,0.064,0.084,0.042,0.81
1000,1,0.25,"DML vs Full","DML-IVQR-BC","Full-GMM",500,0,-0.072700676341537,-1.22108129461852,-0.71676115968682,4.01675781233613,5.43158829159692,0.094,0.198,0.012,0.696
1000,1,0.25,"Oracle vs Full","Oracle-GMM","Full-GMM",500,0,0.389093973798314,-1.03996627712229,-0.595219227135154,2.88106470739479,4.33420334301131,0.066,0.15,0.06,0.724
1000,1,0.5,"DML vs Oracle","DML-IVQR-BC","Oracle-GMM",500,0,0.527730623892477,1.08935889498583,0.911527880457067,5.41307095854417,6.54768432059207,0.164,0.068,0.06,0.708
1000,1,0.5,"DML vs Full","DML-IVQR-BC","Full-GMM",500,0,0.427747041941882,1.41126741130939,1.05872338047617,6.00090933253658,7.66608358712561,0.166,0.046,0.058,0.73
1000,1,0.5,"Oracle vs Full","Oracle-GMM","Full-GMM",500,0,0.527302124418625,0.321908516323561,0.24492060054795,3.26754329996981,5.22457710778126,0.084,0.06,0.044,0.812
1000,1,0.75,"DML vs Oracle","DML-IVQR-BC","Oracle-GMM",500,0,0.655670233836713,2.9689789624682,2.43560892973034,8.09099422269457,10.3269111258104,0.256,0.028,0.112,0.604
1000,1,0.75,"DML vs Full","DML-IVQR-BC","Full-GMM",500,0,0.607461486718254,1.99096723032805,1.31787014697904,7.23850619963832,9.49301693280161,0.206,0.048,0.162,0.584
1000,1,0.75,"Oracle vs Full","Oracle-GMM","Full-GMM",500,0,0.436316657242912,-0.978011732140148,-0.440091255264315,2.90182998327927,4.32985662596873,0.066,0.136,0.074,0.724
1000,1,0.9,"DML vs Oracle","DML-IVQR-BC","Oracle-GMM",500,0,0.685319565099341,4.39032176874862,3.7881027075027,10.4400403434771,12.5351481069909,0.416,0.01,0.086,0.488
1000,1,0.9,"DML vs Full","DML-IVQR-BC","Full-GMM",500,0,0.496740912152695,-0.227431689182863,0.0330327278003497,7.37444721312792,9.44374845039201,0.184,0.152,0.318,0.346
1000,1,0.9,"Oracle vs Full","Oracle-GMM","Full-GMM",500,0,0.351045271183775,-4.61775345793149,-2.79993089186984,1.6686928887954,2.91388853778916,0.02,0.394,0.076,0.51
