"n","tau","kappa","estimator","range","total_replications","successful_profiles","failed_profiles","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","median_number_accepted_grid_points","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_grid_points_acceptance_rate"
1000,0.5,0.1,"DML-IVQR-BC","A_1_-1_3",1,1,0,4,4,1,1,41,41,1,1,1,1,1
1000,0.5,0.1,"DML-IVQR-BC","A_2_-3_5",1,1,0,8,8,1,1,81,81,1,1,1,1,1
1000,0.5,0.1,"DML-IVQR-BC","A_3_-5_7",1,1,0,12,12,1,1,121,121,1,1,1,1,1
1000,0.5,0.1,"Full-GMM","A_1_-1_3",1,1,0,4,4,1,1,41,41,1,1,1,1,1
1000,0.5,0.1,"Full-GMM","A_2_-3_5",1,1,0,8,8,1,1,81,81,1,1,1,1,1
1000,0.5,0.1,"Full-GMM","A_3_-5_7",1,1,0,12,12,1,1,121,121,1,1,1,1,1
1000,0.5,0.1,"Oracle-GMM","A_1_-1_3",1,1,0,4,4,1,1,41,41,1,1,1,1,1
1000,0.5,0.1,"Oracle-GMM","A_2_-3_5",1,1,0,8,8,1,1,81,81,1,1,1,1,1
1000,0.5,0.1,"Oracle-GMM","A_3_-5_7",1,1,0,12,12,1,1,121,121,1,1,1,1,1
1000,0.5,1,"DML-IVQR-BC","A_1_-1_3",1,1,0,0.2,0.2,0.0487804878048781,0.0487804878048781,2,2,0,0,0,0,0
1000,0.5,1,"DML-IVQR-BC","A_2_-3_5",1,1,0,0.2,0.2,0.0246913580246914,0.0246913580246914,2,2,0,0,0,0,0
1000,0.5,1,"DML-IVQR-BC","A_3_-5_7",1,1,0,0.2,0.2,0.0165289256198347,0.0165289256198347,2,2,0,0,0,0,0
1000,0.5,1,"Full-GMM","A_1_-1_3",1,1,0,0.5,0.5,0.121951219512195,0.121951219512195,5,5,0,0,0,0,0
1000,0.5,1,"Full-GMM","A_2_-3_5",1,1,0,0.5,0.5,0.0617283950617284,0.0617283950617284,5,5,0,0,0,0,0
1000,0.5,1,"Full-GMM","A_3_-5_7",1,1,0,0.5,0.5,0.0413223140495868,0.0413223140495868,5,5,0,0,0,0,0
1000,0.5,1,"Oracle-GMM","A_1_-1_3",1,1,0,0.3,0.3,0.0731707317073171,0.0731707317073171,3,3,0,0,0,0,0
1000,0.5,1,"Oracle-GMM","A_2_-3_5",1,1,0,0.3,0.3,0.037037037037037,0.037037037037037,3,3,0,0,0,0,0
1000,0.5,1,"Oracle-GMM","A_3_-5_7",1,1,0,0.3,0.3,0.0247933884297521,0.0247933884297521,3,3,0,0,0,0,0
