"n","tau","kappa","estimator","total_replications","median_added_measure_A0_to_A1","mean_added_measure_A0_to_A1","median_accepted_share_A0","mean_accepted_share_A0","median_accepted_share_A1","mean_accepted_share_A1","boundary_acceptance_rate_A0","boundary_acceptance_rate_A1","all_grid_acceptance_rate_A0","all_grid_acceptance_rate_A1","outer_band_contact_rate"
1000,0.1,0.1,"DML-IVQR-BC",100,3.7,3.374,1,0.959756097560976,0.944444444444444,0.901234567901235,1,0.99,0.56,0.26,1
1000,0.1,0.1,"Full-GMM",100,3.85,3.6095,0.975609756097561,0.94609756097561,0.975308641975309,0.923703703703704,0.99,0.98,0.43,0.21,1
1000,0.1,0.1,"Oracle-GMM",100,4,3.636,1,0.935853658536585,0.987654320987654,0.922345679012346,1,1,0.58,0.43,1
1000,0.1,0.25,"DML-IVQR-BC",100,2.15,2.4325,0.926829268292683,0.897804878048781,0.740740740740741,0.752716049382716,0.95,0.98,0.24,0.06,1
1000,0.1,0.25,"Full-GMM",100,2.5,2.4695,0.841463414634146,0.822439024390244,0.740740740740741,0.720123456790123,0.92,0.84,0.09,0.03,0.98
1000,0.1,0.25,"Oracle-GMM",100,2,1.974,0.841463414634146,0.750975609756098,0.666666666666667,0.622098765432099,0.88,0.77,0.15,0.07,0.83
1000,0.1,1,"DML-IVQR-BC",100,0,0,0.146341463414634,0.171951219512195,0.0740740740740741,0.087037037037037,0,0,0,0,0
1000,0.1,1,"Full-GMM",100,0,0,0.195121951219512,0.184634146341463,0.0987654320987654,0.0934567901234568,0,0,0,0,0
1000,0.1,1,"Oracle-GMM",100,0,0,0.0975609756097561,0.0941463414634146,0.0493827160493827,0.0476543209876543,0,0,0,0,0
1000,0.25,0.1,"DML-IVQR-BC",100,3.95,3.275,1,0.911707317073171,0.962962962962963,0.864691358024691,0.98,0.99,0.55,0.4,1
1000,0.25,0.1,"Full-GMM",100,3.8,3.296,0.951219512195122,0.897073170731707,0.950617283950617,0.860864197530864,0.96,0.93,0.32,0.25,0.99
1000,0.25,0.1,"Oracle-GMM",100,3.9,3.2065,0.975609756097561,0.871463414634146,0.962962962962963,0.836913580246914,0.94,0.93,0.47,0.38,0.97
1000,0.25,0.25,"DML-IVQR-BC",100,1.75,1.4995,0.682926829268293,0.650731707317073,0.580246913580247,0.514691358024691,0.61,0.74,0.09,0.05,0.81
1000,0.25,0.25,"Full-GMM",100,1.025,1.251,0.609756097560976,0.622682926829268,0.432098765432099,0.468024691358025,0.56,0.39,0.06,0.03,0.64
1000,0.25,0.25,"Oracle-GMM",100,0.275,0.933,0.536585365853659,0.548780487804878,0.345679012345679,0.392592592592593,0.4,0.36,0.07,0.05,0.45
1000,0.25,1,"DML-IVQR-BC",100,0,0,0.0731707317073171,0.084390243902439,0.037037037037037,0.042716049382716,0,0,0,0,0
1000,0.25,1,"Full-GMM",100,0,0,0.0975609756097561,0.104634146341463,0.0493827160493827,0.052962962962963,0,0,0,0,0
1000,0.25,1,"Oracle-GMM",100,0,0,0.0731707317073171,0.0631707317073171,0.037037037037037,0.0319753086419753,0,0,0,0,0
1000,0.5,0.1,"DML-IVQR-BC",100,3.85,3.1335,0.975609756097561,0.882682926829268,0.938271604938272,0.832962962962963,0.9,0.93,0.45,0.36,0.94
1000,0.5,0.1,"Full-GMM",100,3.9,3.1815,0.975609756097561,0.882926829268293,0.950617283950617,0.839135802469136,0.94,0.89,0.45,0.32,0.92
1000,0.5,0.1,"Oracle-GMM",100,3.9,3.1195,0.951219512195122,0.878536585365854,0.950617283950617,0.829506172839506,0.91,0.89,0.42,0.35,0.89
1000,0.5,0.25,"DML-IVQR-BC",100,0.25,0.8955,0.48780487804878,0.525121951219512,0.308641975308642,0.375185185185185,0.44,0.34,0.06,0.02,0.44
1000,0.5,0.25,"Full-GMM",100,0.1,0.8035,0.548780487804878,0.58390243902439,0.296296296296296,0.393703703703704,0.4,0.24,0.05,0.02,0.4
