"n","tau","kappa","estimator","total_replications","failed_profiles","either_boundary_acceptance_count","either_boundary_acceptance_rate","outer_band_contact_count","outer_band_contact_rate","boundary_rule_triggered","outer_band_rule_triggered","cell_triggered"
1000,0.1,0.1,"DML-IVQR-BC",100,0,99,0.99,100,1,TRUE,TRUE,TRUE
1000,0.1,0.1,"Full-GMM",100,0,98,0.98,100,1,TRUE,TRUE,TRUE
1000,0.1,0.1,"Oracle-GMM",100,0,100,1,100,1,TRUE,TRUE,TRUE
1000,0.1,0.25,"DML-IVQR-BC",100,0,98,0.98,100,1,TRUE,TRUE,TRUE
1000,0.1,0.25,"Full-GMM",100,0,84,0.84,98,0.98,TRUE,TRUE,TRUE
1000,0.1,0.25,"Oracle-GMM",100,0,77,0.77,83,0.83,TRUE,TRUE,TRUE
1000,0.25,0.1,"DML-IVQR-BC",100,0,99,0.99,100,1,TRUE,TRUE,TRUE
1000,0.25,0.1,"Full-GMM",100,0,93,0.93,99,0.99,TRUE,TRUE,TRUE
1000,0.25,0.1,"Oracle-GMM",100,0,93,0.93,97,0.97,TRUE,TRUE,TRUE
1000,0.25,0.25,"DML-IVQR-BC",100,0,74,0.74,81,0.81,TRUE,TRUE,TRUE
1000,0.25,0.25,"Full-GMM",100,0,39,0.39,64,0.64,TRUE,TRUE,TRUE
1000,0.25,0.25,"Oracle-GMM",100,0,36,0.36,45,0.45,TRUE,TRUE,TRUE
1000,0.5,0.1,"DML-IVQR-BC",100,0,93,0.93,94,0.94,TRUE,TRUE,TRUE
1000,0.5,0.1,"Full-GMM",100,0,89,0.89,92,0.92,TRUE,TRUE,TRUE
1000,0.5,0.1,"Oracle-GMM",100,0,89,0.89,89,0.89,TRUE,TRUE,TRUE
1000,0.5,0.25,"DML-IVQR-BC",100,0,34,0.34,44,0.44,TRUE,TRUE,TRUE
1000,0.5,0.25,"Full-GMM",100,0,24,0.24,40,0.4,TRUE,TRUE,TRUE
1000,0.5,0.25,"Oracle-GMM",100,0,20,0.2,29,0.29,TRUE,TRUE,TRUE
1000,0.75,0.1,"DML-IVQR-BC",100,0,97,0.97,99,0.99,TRUE,TRUE,TRUE
1000,0.75,0.1,"Full-GMM",100,0,92,0.92,99,0.99,TRUE,TRUE,TRUE
1000,0.75,0.1,"Oracle-GMM",100,0,96,0.96,97,0.97,TRUE,TRUE,TRUE
1000,0.75,0.25,"DML-IVQR-BC",100,0,45,0.45,51,0.51,TRUE,TRUE,TRUE
1000,0.75,0.25,"Full-GMM",100,0,55,0.55,70,0.7,TRUE,TRUE,TRUE
1000,0.75,0.25,"Oracle-GMM",100,0,47,0.47,58,0.58,TRUE,TRUE,TRUE
1000,0.9,0.1,"DML-IVQR-BC",100,0,98,0.98,99,0.99,TRUE,TRUE,TRUE
1000,0.9,0.1,"Full-GMM",100,0,99,0.99,100,1,TRUE,TRUE,TRUE
1000,0.9,0.1,"Oracle-GMM",100,0,100,1,100,1,TRUE,TRUE,TRUE
1000,0.9,0.25,"DML-IVQR-BC",100,0,77,0.77,83,0.83,TRUE,TRUE,TRUE
1000,0.9,0.25,"Full-GMM",100,0,80,0.8,96,0.96,TRUE,TRUE,TRUE
1000,0.9,0.25,"Oracle-GMM",100,0,76,0.76,86,0.86,TRUE,TRUE,TRUE
