"package","version","relative_path","description_sha256"
"backports","1.1.1","backports\DESCRIPTION","FBEEDB426164B3FF3C7424A1985BCF3FE1AF282E74B17F296330D4EDA96A9E41"
"checkmate","1.8.5","checkmate\DESCRIPTION","7FA0851874A7F3348ECCBDDCF57C10634A3CA3B6FC24E2B400178B869B8920EE"
"colorspace","1.3-2","colorspace\DESCRIPTION","E6364E1A8B31B8897514DBA9C0178C0DC5B0CE39C0E1CB4DAC68B49839716BF1"
"dichromat","2.0-0","dichromat\DESCRIPTION","8796224DF2F5D066F92A363DC4F024D4E6037ECB16C9FDB43A0AD977766BB535"
"digest","0.6.12","digest\DESCRIPTION","F13F3450197D626F464FFA0C3C5AB5F9109BF2031B2EF94A6E561FA251095A02"
"doSNOW","1.0.16","doSNOW\DESCRIPTION","B59940138090D1779B094385C55B1B9ACC82F9C16240E1B1459A09353D69E92C"
"foreach","1.4.3","foreach\DESCRIPTION","64686C6E57485051DEB7E8E2D59F9A3815040A03B7D6DD55855B2668520BD2EC"
"Formula","1.2-2","Formula\DESCRIPTION","A2B27D6ECD063E32232D5A3CFD454FDACCCCDF6A4EF935AF55B06D868217F69F"
"ggplot2","2.2.1","ggplot2\DESCRIPTION","C453346FA855A57158FD1F949C65DD7D8ED85F3BA215FB478D5A9C9B7E4A9776"
"glmnet","2.0-13","glmnet\DESCRIPTION","033EDC899AE80CD6303F916D1537178571F5C9E2A9FE70D9E48A7A94822CB3F6"
"gtable","0.2.0","gtable\DESCRIPTION","BAC1DEF860999D1233DEEC0EEA1060549D73736B3FCCB345A4A4073A54482656"
"hdm","0.2.0","hdm\DESCRIPTION","DF1AC2A0110817235EA6E9C3E6A9F33574848F44347A6A919C528496BCAD7495"
"hqreg","1.4","hqreg\DESCRIPTION","837CBE81FD221BBF3619917C8C325E45A1AE49D03FAB592CAF21DD9D074C2263"
"iterators","1.0.8","iterators\DESCRIPTION","034C710A1F4026322FA563636584BD30C6EFAF67FB147BB0D5119923A0D40EBB"
"labeling","0.3","labeling\DESCRIPTION","664FBDE90C4F99DE96D75E8C16FA493295BE80523E81CB448EE8E30E8A259B2C"
"lazyeval","0.2.1","lazyeval\DESCRIPTION","9180F812E874216F968DB2663A40197A7409DFA6D27DC9C3EADA7763CF8102F5"
"magrittr","1.5","magrittr\DESCRIPTION","F092F0D3CCB7817F2AB5F11F94C43CD365E6297D410420EDF39EE30880A86F21"
"MatrixModels","0.4-1","MatrixModels\DESCRIPTION","8556E20454FADD1CF6E168850452AED5EFEF29793EF4CE7245F49672F3734B58"
"munsell","0.4.3","munsell\DESCRIPTION","BC15E8735F4155984E3411B57762EECBA7E451FA1EC060D04E65EA2E1034F2CA"
"mvtnorm","1.0-6","mvtnorm\DESCRIPTION","1C2F741D8B531083E8587F1B4AFB1312FCFE3A8A9AC0C90ADFD8CDC1BAA979C9"
"plyr","1.8.4","plyr\DESCRIPTION","367F1E5D27D252A6264AC48228960E1D35F38E49EAA863F748E846A1D482A33B"
"quantreg","5.34","quantreg\DESCRIPTION","B7E491A46A0A0B5D511CCA624674155564D5D226779A18C5CA396D5F965E489D"
"R6","2.2.2","R6\DESCRIPTION","9B16E566B949A9A7F6A143046E7F71D97FA4D53C6C1291D8CCE4ADB85C9AF679"
"RColorBrewer","1.1-2","RColorBrewer\DESCRIPTION","1ED3B901106D705509A4C0F68F041BABCE00AC698A41493A807E434C7C86B85A"
"Rcpp","0.12.14","Rcpp\DESCRIPTION","B77ED2405718A41DFD5D075E5076A6C4F64FE21DC4923284A709C1C8D5BE0B3F"
"reshape2","1.4.2","reshape2\DESCRIPTION","92CBB2FCD2485F45B84FC2CD09795F4989E7DE94434399B03BFC44337761D0B0"
"rlang","0.1.4","rlang\DESCRIPTION","6044523112BBCA7DEE52328CFF04883C389ED43FFCEF9B6A9AFE3F4D1E87C0E7"
"scales","0.5.0","scales\DESCRIPTION","C5C565EEEC96545364DAFB957DA1B08B7B85F56A4AFE3FD2E57CE0BF8F416A7D"
"snow","0.4-2","snow\DESCRIPTION","2958553C990999AB4FE10AD37C789899EE45B548FE5E9878E3D216A689F26F80"
"SparseM","1.77","SparseM\DESCRIPTION","D506B3C8DDE98B5905904A58ECE9B2025C804ABF3C749B2E70CA88935B4A5F39"
"stringi","1.1.6","stringi\DESCRIPTION","1B49782DEC2196734FA1C9DD3A3A76AB47F0F811E061DD6C906E158833BB1FE6"
"stringr","1.2.0","stringr\DESCRIPTION","A3A39108DA3E687C28AB2B233A203814DEB460460E8BEF57C6314D638065467D"
"tibble","1.3.4","tibble\DESCRIPTION","8D0647943EC34C737311400544F38C6A90609F1D6CC4932D4AB6E2CCB94D54D8"
"viridisLite","0.2.0","viridisLite\DESCRIPTION","B22F8C8CE814CC4766B57977FAE12D2407A1834127C513378BD30DB8D86C06EB"
