"n","replication","tau","kappa","estimator","Delta","a_false","W_false","rejected_false","rejection","false_acceptance","power_evaluation_failed"
1000,1,0.1,1,"Oracle-GMM",-1,-1.2815515655446,50.0335512944745,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Oracle-GMM",-0.5,-0.781551565544601,31.5823735156274,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Oracle-GMM",-0.25,-0.531551565544601,10.9198549727848,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Oracle-GMM",0.25,-0.0315515655446008,7.59538586859359,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Oracle-GMM",0.5,0.218448434455399,14.1919790821399,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Oracle-GMM",1,0.718448434455399,24.5854018954731,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Full-GMM",-1,-1.2815515655446,40.0429824754827,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Full-GMM",-0.5,-0.781551565544601,42.4330467996034,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Full-GMM",-0.25,-0.531551565544601,22.4661520625392,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"Full-GMM",0.25,-0.0315515655446008,3.25042421021554,FALSE,FALSE,1,FALSE
1000,1,0.1,1,"Full-GMM",0.5,0.218448434455399,0.184139987837455,FALSE,FALSE,1,FALSE
1000,1,0.1,1,"Full-GMM",1,0.718448434455399,3.92099607458081,FALSE,FALSE,1,FALSE
1000,1,0.1,1,"DML-IVQR-BC",-1,-1.2815515655446,42.7749295677837,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"DML-IVQR-BC",-0.5,-0.781551565544601,20.2837849525265,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"DML-IVQR-BC",-0.25,-0.531551565544601,4.46566291568731,FALSE,FALSE,1,FALSE
1000,1,0.1,1,"DML-IVQR-BC",0.25,-0.0315515655446008,6.95259121906793,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"DML-IVQR-BC",0.5,0.218448434455399,9.43971988090604,TRUE,TRUE,0,FALSE
1000,1,0.1,1,"DML-IVQR-BC",1,0.718448434455399,12.845614672508,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Oracle-GMM",-1,-0.674489750196082,105.327852588345,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Oracle-GMM",-0.5,-0.174489750196082,61.4403332410504,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Oracle-GMM",-0.25,0.0755102498039183,18.6906136783604,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Oracle-GMM",0.25,0.575510249803918,18.0265450952079,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Oracle-GMM",0.5,0.825510249803918,43.6845922651615,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Oracle-GMM",1,1.32551024980392,72.9692070184288,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Full-GMM",-1,-0.674489750196082,101.560441427117,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Full-GMM",-0.5,-0.174489750196082,59.6438135012639,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Full-GMM",-0.25,0.0755102498039183,18.7951792845846,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Full-GMM",0.25,0.575510249803918,7.14032431412257,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Full-GMM",0.5,0.825510249803918,18.4809009489991,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"Full-GMM",1,1.32551024980392,51.3837955541441,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"DML-IVQR-BC",-1,-0.674489750196082,95.5086881360229,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"DML-IVQR-BC",-0.5,-0.174489750196082,44.576692388152,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"DML-IVQR-BC",-0.25,0.0755102498039183,8.22011173212612,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"DML-IVQR-BC",0.25,0.575510249803918,17.0476758124262,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"DML-IVQR-BC",0.5,0.825510249803918,32.4050403969221,TRUE,TRUE,0,FALSE
1000,1,0.25,1,"DML-IVQR-BC",1,1.32551024980392,51.2483216106413,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Oracle-GMM",-1,0,84.838916250679,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Oracle-GMM",-0.5,0.5,35.1390783048373,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Oracle-GMM",-0.25,0.75,10.1630753662295,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Oracle-GMM",0.25,1.25,43.8841919318165,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Oracle-GMM",0.5,1.5,76.4327993719448,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Oracle-GMM",1,2,126.301685289603,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Full-GMM",-1,0,55.6900390851829,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Full-GMM",-0.5,0.5,18.5119566697838,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Full-GMM",-0.25,0.75,3.22156867683181,FALSE,FALSE,1,FALSE
1000,1,0.5,1,"Full-GMM",0.25,1.25,9.16528211207134,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Full-GMM",0.5,1.5,48.72597885649,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"Full-GMM",1,2,107.398015046484,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"DML-IVQR-BC",-1,0,101.86950601307,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"DML-IVQR-BC",-0.5,0.5,27.7092570106938,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"DML-IVQR-BC",-0.25,0.75,5.97421412895578,FALSE,FALSE,1,FALSE
1000,1,0.5,1,"DML-IVQR-BC",0.25,1.25,36.1460276641077,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"DML-IVQR-BC",0.5,1.5,60.6399178365873,TRUE,TRUE,0,FALSE
1000,1,0.5,1,"DML-IVQR-BC",1,2,106.52261066213,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Oracle-GMM",-1,0.674489750196082,29.9287868533803,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Oracle-GMM",-0.5,1.17448975019608,9.75085053874266,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Oracle-GMM",-0.25,1.42448975019608,1.78418955924721,FALSE,FALSE,1,FALSE
1000,1,0.75,1,"Oracle-GMM",0.25,1.92448975019608,34.873564287805,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Oracle-GMM",0.5,2.17448975019608,75.4139371870687,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Oracle-GMM",1,2.67448975019608,118.282672522996,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Full-GMM",-1,0.674489750196082,24.7647176235047,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Full-GMM",-0.5,1.17448975019608,8.58212961079096,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Full-GMM",-0.25,1.42448975019608,1.74461016667826,FALSE,FALSE,1,FALSE
1000,1,0.75,1,"Full-GMM",0.25,1.92448975019608,15.0790265354563,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Full-GMM",0.5,2.17448975019608,55.7806558587535,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"Full-GMM",1,2.67448975019608,106.965142795383,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"DML-IVQR-BC",-1,0.674489750196082,37.0067582468335,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"DML-IVQR-BC",-0.5,1.17448975019608,12.8852711620101,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"DML-IVQR-BC",-0.25,1.42448975019608,0.985890794227903,FALSE,FALSE,1,FALSE
1000,1,0.75,1,"DML-IVQR-BC",0.25,1.92448975019608,52.1313037429002,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"DML-IVQR-BC",0.5,2.17448975019608,75.6325331773064,TRUE,TRUE,0,FALSE
1000,1,0.75,1,"DML-IVQR-BC",1,2.67448975019608,125.836273876475,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"Oracle-GMM",-1,1.2815515655446,12.4060790781517,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"Oracle-GMM",-0.5,1.7815515655446,4.57997274301151,FALSE,FALSE,1,FALSE
1000,1,0.9,1,"Oracle-GMM",-0.25,2.0315515655446,2.27281645766965,FALSE,FALSE,1,FALSE
1000,1,0.9,1,"Oracle-GMM",0.25,2.5315515655446,8.73135497232314,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"Oracle-GMM",0.5,2.7815515655446,28.5850464706263,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"Oracle-GMM",1,3.2815515655446,62.0306846284792,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"Full-GMM",-1,1.2815515655446,5.18526738718689,FALSE,FALSE,1,FALSE
1000,1,0.9,1,"Full-GMM",-0.5,1.7815515655446,1.51592905076981,FALSE,FALSE,1,FALSE
1000,1,0.9,1,"Full-GMM",-0.25,2.0315515655446,2.69479592886314,FALSE,FALSE,1,FALSE
1000,1,0.9,1,"Full-GMM",0.25,2.5315515655446,18.9775399670236,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"Full-GMM",0.5,2.7815515655446,12.8990346209708,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"Full-GMM",1,3.2815515655446,52.1536887012802,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"DML-IVQR-BC",-1,1.2815515655446,15.776724325612,TRUE,TRUE,0,FALSE
1000,1,0.9,1,"DML-IVQR-BC",-0.5,1.7815515655446,4.73385325141994,FALSE,FALSE,1,FALSE
1000,1,0.9,1,"DML-IVQR-BC",-0.25,2.0315515655446,0.412281235590115,FALSE,FALSE,1,FALSE
1000,1,0.9,1,"DML-IVQR-BC",0.25,2.5315515655446,27.9168974847359,TRUE,TRUE,0,FALSE
