"n","tau","kappa","estimator","Delta","total_replications","successful_power_evaluations","failed_power_evaluations","power","false_acceptance","numerical_failures"
500,0.1,0.1,"Oracle-GMM",-1,500,500,0,0.062,0.938,0
500,0.25,0.1,"Oracle-GMM",-1,500,500,0,0.104,0.896,0
500,0.5,0.1,"Oracle-GMM",-1,500,500,0,0.102,0.898,0
500,0.75,0.1,"Oracle-GMM",-1,500,500,0,0.062,0.938,0
500,0.9,0.1,"Oracle-GMM",-1,500,500,0,0.062,0.938,0
500,0.1,0.25,"Oracle-GMM",-1,500,500,0,0.246,0.754,0
500,0.25,0.25,"Oracle-GMM",-1,500,500,0,0.37,0.63,0
500,0.5,0.25,"Oracle-GMM",-1,500,500,0,0.294,0.706,0
500,0.75,0.25,"Oracle-GMM",-1,500,500,0,0.15,0.85,0
500,0.9,0.25,"Oracle-GMM",-1,500,500,0,0.078,0.922,0
500,0.1,0.5,"Oracle-GMM",-1,500,500,0,0.794,0.206,0
500,0.25,0.5,"Oracle-GMM",-1,500,500,0,0.906,0.094,0
500,0.5,0.5,"Oracle-GMM",-1,500,500,0,0.838,0.162,0
500,0.75,0.5,"Oracle-GMM",-1,500,500,0,0.51,0.49,0
500,0.9,0.5,"Oracle-GMM",-1,500,500,0,0.166,0.834,0
500,0.1,1,"Oracle-GMM",-1,500,500,0,1,0,0
500,0.25,1,"Oracle-GMM",-1,500,500,0,1,0,0
500,0.5,1,"Oracle-GMM",-1,500,500,0,1,0,0
500,0.75,1,"Oracle-GMM",-1,500,500,0,0.99,0.01,0
500,0.9,1,"Oracle-GMM",-1,500,500,0,0.658,0.342,0
500,0.1,0.1,"Full-GMM",-1,500,500,0,0.056,0.944,0
500,0.25,0.1,"Full-GMM",-1,500,500,0,0.108,0.892,0
500,0.5,0.1,"Full-GMM",-1,500,500,0,0.098,0.902,0
500,0.75,0.1,"Full-GMM",-1,500,500,0,0.05,0.95,0
500,0.9,0.1,"Full-GMM",-1,500,500,0,0.026,0.974,0
500,0.1,0.25,"Full-GMM",-1,500,500,0,0.168,0.832,0
500,0.25,0.25,"Full-GMM",-1,500,500,0,0.292,0.708,0
500,0.5,0.25,"Full-GMM",-1,500,500,0,0.202,0.798,0
500,0.75,0.25,"Full-GMM",-1,500,500,0,0.092,0.908,0
500,0.9,0.25,"Full-GMM",-1,500,500,0,0.058,0.942,0
500,0.1,0.5,"Full-GMM",-1,500,500,0,0.558,0.442,0
500,0.25,0.5,"Full-GMM",-1,500,500,0,0.762,0.238,0
500,0.5,0.5,"Full-GMM",-1,500,500,0,0.63,0.37,0
500,0.75,0.5,"Full-GMM",-1,500,500,0,0.234,0.766,0
500,0.9,0.5,"Full-GMM",-1,500,500,0,0.038,0.962,0
500,0.1,1,"Full-GMM",-1,500,500,0,0.97,0.03,0
500,0.25,1,"Full-GMM",-1,500,500,0,1,0,0
500,0.5,1,"Full-GMM",-1,500,500,0,1,0,0
500,0.75,1,"Full-GMM",-1,500,500,0,0.79,0.21,0
500,0.9,1,"Full-GMM",-1,500,500,0,0.098,0.902,0
500,0.1,0.1,"DML-IVQR-BC",-1,500,500,0,0.194,0.806,0
500,0.25,0.1,"DML-IVQR-BC",-1,500,500,0,0.168,0.832,0
500,0.5,0.1,"DML-IVQR-BC",-1,500,500,0,0.116,0.884,0
500,0.75,0.1,"DML-IVQR-BC",-1,500,500,0,0.102,0.898,0
500,0.9,0.1,"DML-IVQR-BC",-1,500,500,0,0.05,0.95,0
500,0.1,0.25,"DML-IVQR-BC",-1,500,500,0,0.432,0.568,0
500,0.25,0.25,"DML-IVQR-BC",-1,500,500,0,0.456,0.544,0
500,0.5,0.25,"DML-IVQR-BC",-1,500,500,0,0.354,0.646,0
500,0.75,0.25,"DML-IVQR-BC",-1,500,500,0,0.212,0.788,0
500,0.9,0.25,"DML-IVQR-BC",-1,500,500,0,0.11,0.89,0
500,0.1,0.5,"DML-IVQR-BC",-1,500,500,0,0.834,0.166,0
500,0.25,0.5,"DML-IVQR-BC",-1,500,500,0,0.93,0.07,0
500,0.5,0.5,"DML-IVQR-BC",-1,500,500,0,0.894,0.106,0
500,0.75,0.5,"DML-IVQR-BC",-1,500,500,0,0.614,0.386,0
500,0.9,0.5,"DML-IVQR-BC",-1,500,500,0,0.3,0.7,0
500,0.1,1,"DML-IVQR-BC",-1,500,500,0,0.998,0.002,0
500,0.25,1,"DML-IVQR-BC",-1,500,500,0,1,0,0
500,0.5,1,"DML-IVQR-BC",-1,500,500,0,1,0,0
500,0.75,1,"DML-IVQR-BC",-1,500,500,0,0.998,0.002,0
500,0.9,1,"DML-IVQR-BC",-1,500,500,0,0.832,0.168,0
500,0.1,0.1,"Oracle-GMM",-0.5,500,500,0,0.09,0.91,0
500,0.25,0.1,"Oracle-GMM",-0.5,500,500,0,0.078,0.922,0
500,0.5,0.1,"Oracle-GMM",-0.5,500,500,0,0.074,0.926,0
500,0.75,0.1,"Oracle-GMM",-0.5,500,500,0,0.056,0.944,0
500,0.9,0.1,"Oracle-GMM",-0.5,500,500,0,0.046,0.954,0
500,0.1,0.25,"Oracle-GMM",-0.5,500,500,0,0.188,0.812,0
500,0.25,0.25,"Oracle-GMM",-0.5,500,500,0,0.224,0.776,0
500,0.5,0.25,"Oracle-GMM",-0.5,500,500,0,0.144,0.856,0
500,0.75,0.25,"Oracle-GMM",-0.5,500,500,0,0.086,0.914,0
500,0.9,0.25,"Oracle-GMM",-0.5,500,500,0,0.044,0.956,0
500,0.1,0.5,"Oracle-GMM",-0.5,500,500,0,0.532,0.468,0
500,0.25,0.5,"Oracle-GMM",-0.5,500,500,0,0.618,0.382,0
500,0.5,0.5,"Oracle-GMM",-0.5,500,500,0,0.552,0.448,0
500,0.75,0.5,"Oracle-GMM",-0.5,500,500,0,0.252,0.748,0
500,0.9,0.5,"Oracle-GMM",-0.5,500,500,0,0.088,0.912,0
500,0.1,1,"Oracle-GMM",-0.5,500,500,0,0.968,0.032,0
500,0.25,1,"Oracle-GMM",-0.5,500,500,0,0.994,0.006,0
500,0.5,1,"Oracle-GMM",-0.5,500,500,0,0.99,0.01,0
500,0.75,1,"Oracle-GMM",-0.5,500,500,0,0.832,0.168,0
500,0.9,1,"Oracle-GMM",-0.5,500,500,0,0.278,0.722,0
500,0.1,0.1,"Full-GMM",-0.5,500,500,0,0.052,0.948,0
500,0.25,0.1,"Full-GMM",-0.5,500,500,0,0.068,0.932,0
500,0.5,0.1,"Full-GMM",-0.5,500,500,0,0.088,0.912,0
500,0.75,0.1,"Full-GMM",-0.5,500,500,0,0.052,0.948,0
500,0.9,0.1,"Full-GMM",-0.5,500,500,0,0.032,0.968,0
500,0.1,0.25,"Full-GMM",-0.5,500,500,0,0.134,0.866,0
500,0.25,0.25,"Full-GMM",-0.5,500,500,0,0.184,0.816,0
500,0.5,0.25,"Full-GMM",-0.5,500,500,0,0.094,0.906,0
500,0.75,0.25,"Full-GMM",-0.5,500,500,0,0.036,0.964,0
