"n","tau","kappa","estimator","total_replications","successful_profiles","failed_profiles","successful_coverage_evaluations","failed_coverage_evaluations","Bias","MAE","RMSE","Coverage","Size","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_41_acceptance_rate","numerical_failures"
500,0.1,0.1,"Oracle-GMM",500,500,0,500,0,-0.846751565544601,1.09689650097427,1.45704398483787,0.954,0.046,4,3.7465,1,0.936390243902439,38.392,0.928,0.926,0.994,0.86,0.564,0
500,0.25,0.1,"Oracle-GMM",500,500,0,500,0,-0.311889750196082,0.833461221014902,1.07111925399433,0.942,0.058,4,3.6954,1,0.923317073170732,37.856,0.88,0.924,0.996,0.808,0.514,0
500,0.5,0.1,"Oracle-GMM",500,500,0,500,0,-0.0598000000000001,0.8178,1.02677163965509,0.948,0.052,4,3.6563,1,0.913317073170732,37.446,0.898,0.868,0.968,0.798,0.54,0
500,0.75,0.1,"Oracle-GMM",500,500,0,500,0,0.259689750196081,0.867795918001569,1.12288010328659,0.934,0.066,4,3.7311,1,0.932,38.212,0.906,0.896,0.988,0.814,0.564,0
500,0.9,0.1,"Oracle-GMM",500,500,0,500,0,0.811951565544601,1.09687720077942,1.45587814901877,0.95,0.05,4,3.779,1,0.944292682926829,38.716,0.938,0.914,0.996,0.856,0.616,0
500,0.1,0.25,"Oracle-GMM",500,500,0,500,0,-0.705151565544601,0.895179944809521,1.27605711878035,0.944,0.056,3.85,3.497,0.951219512195122,0.872585365853659,35.776,0.788,0.824,0.962,0.65,0.37,0
500,0.25,0.25,"Oracle-GMM",500,500,0,500,0,-0.264489750196082,0.578726524028236,0.830839832915337,0.938,0.062,3.25,3.0936,0.804878048780488,0.769707317073171,31.558,0.592,0.652,0.836,0.408,0.19,0
500,0.5,0.25,"Oracle-GMM",500,500,0,500,0,-0.0328000000000001,0.442,0.633876959669619,0.944,0.056,2.925,2.8631,0.731707317073171,0.711121951219512,29.156,0.56,0.49,0.706,0.344,0.168,0
500,0.75,0.25,"Oracle-GMM",500,500,0,500,0,0.299689750196081,0.613277549008628,0.903249083239275,0.948,0.052,3.45,3.2413,0.853658536585366,0.806439024390244,33.064,0.75,0.552,0.872,0.43,0.224,0
500,0.9,0.25,"Oracle-GMM",500,500,0,500,0,0.593551565544601,0.84155307553585,1.23652717760688,0.948,0.052,3.9,3.6173,0.975609756097561,0.902536585365854,37.004,0.872,0.79,0.978,0.684,0.446,0
500,0.1,0.5,"Oracle-GMM",500,500,0,500,0,-0.285351565544601,0.393675119760807,0.641522467228354,0.904,0.096,2.5,2.4372,0.609756097560976,0.602536585365854,24.704,0.288,0.376,0.552,0.112,0.038,0
500,0.25,0.5,"Oracle-GMM",500,500,0,500,0,-0.0828897501960818,0.213126524028236,0.293734830565884,0.936,0.064,1.2,1.3698,0.292682926829268,0.335414634146341,13.752,0.048,0.06,0.102,0.006,0,0
500,0.5,0.5,"Oracle-GMM",500,500,0,500,0,-0.0068000000000001,0.1644,0.227947362344906,0.948,0.052,1,1.1118,0.24390243902439,0.27190243902439,11.148,0.042,0.018,0.056,0.004,0,0
500,0.75,0.5,"Oracle-GMM",500,500,0,500,0,0.116889750196081,0.251465303013334,0.410494157937604,0.936,0.064,1.5,1.6763,0.365853658536585,0.411317073170732,16.864,0.172,0.03,0.196,0.006,0,0
500,0.9,0.5,"Oracle-GMM",500,500,0,500,0,0.348151565544601,0.509617219176244,0.822042549136695,0.944,0.056,3.3,2.944,0.817073170731707,0.729073170731707,29.892,0.558,0.346,0.698,0.206,0.098,0
500,0.1,1,"Oracle-GMM",500,500,0,500,0,-0.114551565544601,0.155484769858235,0.199832582850543,0.858,0.142,0.7,0.7364,0.170731707317073,0.179658536585366,7.366,0.004,0,0.004,0,0,0
500,0.25,1,"Oracle-GMM",500,500,0,500,0,-0.0484897501960818,0.0971020320376477,0.122618334167768,0.886,0.114,0.4,0.423,0.0975609756097561,0.103170731707317,4.23,0,0,0,0,0,0
500,0.5,1,"Oracle-GMM",500,500,0,500,0,-0.0102000000000001,0.0746,0.102469507659596,0.908,0.092,0.4,0.3752,0.0975609756097561,0.0915121951219512,3.752,0,0,0,0,0,0
500,0.75,1,"Oracle-GMM",500,500,0,500,0,0.0338897501960814,0.0968979590007844,0.126333507702243,0.912,0.088,0.5,0.497,0.121951219512195,0.121219512195122,4.97,0,0,0,0,0,0
500,0.9,1,"Oracle-GMM",500,500,0,500,0,0.111351565544601,0.17931031310892,0.245786759507573,0.882,0.118,1,1.1306,0.24390243902439,0.275951219512195,11.314,0.012,0.004,0.016,0,0,0
500,0.1,0.1,"Full-GMM",500,500,0,500,0,-1.2715515655446,1.39611920821072,1.70673471396082,0.934,0.066,3.9,3.7662,0.975609756097561,0.941463414634146,38.6,0.936,0.94,0.99,0.886,0.292,0
500,0.25,0.1,"Full-GMM",500,500,0,500,0,-0.548889750196082,1.00646529405177,1.24109008451052,0.93,0.07,3.9,3.7076,0.975609756097561,0.926146341463415,37.972,0.876,0.916,0.988,0.804,0.364,0
500,0.5,0.1,"Full-GMM",500,500,0,500,0,0.0361999999999999,0.9494,1.128919837721,0.948,0.052,3.9,3.6703,0.975609756097561,0.916731707317073,37.586,0.884,0.882,0.974,0.792,0.404,0
500,0.75,0.1,"Full-GMM",500,500,0,500,0,0.488289750196081,1.04780407303686,1.28815233576878,0.956,0.044,3.9,3.7598,0.975609756097561,0.939463414634146,38.518,0.928,0.912,0.992,0.848,0.426,0
500,0.9,0.1,"Full-GMM",500,500,0,500,0,1.2655515655446,1.41568817689983,1.73048107907957,0.944,0.056,3.9,3.8164,0.975609756097561,0.953951219512195,39.112,0.936,0.96,0.996,0.9,0.292,0
500,0.1,0.25,"Full-GMM",500,500,0,500,0,-1.1545515655446,1.2825095581133,1.61159558124906,0.928,0.072,3.7,3.6205,0.926829268292683,0.903804878048781,37.056,0.838,0.864,0.972,0.73,0.146,0
500,0.25,0.25,"Full-GMM",500,500,0,500,0,-0.502489750196082,0.843820392069021,1.08774627053009,0.938,0.062,3.55,3.3425,0.878048780487805,0.832536585365854,34.134,0.684,0.734,0.906,0.512,0.172,0
500,0.5,0.25,"Full-GMM",500,500,0,500,0,0.00839999999999988,0.64,0.827163828996409,0.962,0.038,3.35,3.1847,0.829268292682927,0.791951219512195,32.47,0.644,0.602,0.798,0.448,0.15,0
500,0.75,0.25,"Full-GMM",500,500,0,500,0,0.416889750196081,0.798065294051766,1.02950439718272,0.94,0.06,3.65,3.4728,0.902439024390244,0.864926829268293,35.462,0.766,0.702,0.916,0.552,0.176,0
500,0.9,0.25,"Full-GMM",500,500,0,500,0,1.0713515655446,1.2303426704428,1.55097070797448,0.94,0.06,3.8,3.7148,0.951219512195122,0.927707317073171,38.036,0.898,0.878,0.996,0.78,0.19,0
500,0.1,0.5,"Full-GMM",500,500,0,500,0,-0.900751565544601,0.960231602338254,1.21932142720082,0.816,0.184,3.05,3.0052,0.75609756097561,0.745121951219512,30.55,0.482,0.514,0.74,0.256,0.006,0
500,0.25,0.5,"Full-GMM",500,500,0,500,0,-0.272089750196082,0.422595900078433,0.55272694177303,0.92,0.08,2,2.1199,0.48780487804878,0.521024390243902,21.362,0.168,0.158,0.298,0.028,0,0
500,0.5,0.5,"Full-GMM",500,500,0,500,0,0.0107999999999999,0.3028,0.400099987503124,0.934,0.066,1.6,1.715,0.390243902439024,0.42,17.22,0.096,0.044,0.132,0.008,0,0
500,0.75,0.5,"Full-GMM",500,500,0,500,0,0.325489750196081,0.499322433068236,0.686179697661413,0.94,0.06,2.4,2.3968,0.585365853658537,0.590243902439024,24.2,0.3,0.164,0.394,0.07,0.01,0
500,0.9,0.5,"Full-GMM",500,500,0,500,0,1.0045515655446,1.08739092092993,1.36244443844074,0.84,0.16,3.35,3.293,0.829268292682927,0.81809756097561,33.542,0.64,0.584,0.834,0.39,0.022,0
500,0.1,1,"Full-GMM",500,500,0,500,0,-0.683551565544601,0.692553646563211,0.789404042780676,0.442,0.558,1.6,1.6151,0.390243902439024,0.395317073170732,16.208,0.058,0.056,0.106,0.008,0,0
500,0.25,1,"Full-GMM",500,500,0,500,0,-0.218089750196082,0.245640784138042,0.294927413341977,0.788,0.212,0.8,0.8242,0.195121951219512,0.201024390243902,8.242,0,0,0,0,0,0
500,0.5,1,"Full-GMM",500,500,0,500,0,0.0093999999999999,0.1314,0.16917446615846,0.942,0.058,0.7,0.676,0.170731707317073,0.164878048780488,6.76,0,0,0,0,0,0
500,0.75,1,"Full-GMM",500,500,0,500,0,0.231089750196081,0.266171399126276,0.326892815224941,0.832,0.168,1,0.978,0.24390243902439,0.238536585365854,9.78,0,0,0,0,0,0
500,0.9,1,"Full-GMM",500,500,0,500,0,0.735951565544601,0.751248821514497,0.879764370060273,0.556,0.444,2,2.0133,0.48780487804878,0.494243902439024,20.264,0.16,0.102,0.246,0.016,0,0
500,0.1,0.1,"DML-IVQR-BC",500,500,0,500,0,-1.0651515655446,1.25772337024794,1.61788717084416,0.936,0.064,4,3.7572,1,0.938243902439024,38.468,0.84,0.952,0.992,0.8,0.514,0
500,0.25,0.1,"DML-IVQR-BC",500,500,0,500,0,-0.600689750196082,0.986673458048628,1.24548855313513,0.958,0.042,4,3.726,1,0.930390243902439,38.146,0.806,0.966,0.99,0.782,0.502,0
500,0.5,0.1,"DML-IVQR-BC",500,500,0,500,0,-0.268,0.8476,1.04628867909387,0.958,0.042,4,3.6517,1,0.912048780487805,37.394,0.818,0.936,0.984,0.77,0.54,0
500,0.75,0.1,"DML-IVQR-BC",500,500,0,500,0,0.159489750196081,0.82811428699451,1.05519286408581,0.938,0.062,4,3.6606,1,0.914634146341463,37.5,0.842,0.946,0.994,0.794,0.524,0
500,0.9,0.1,"DML-IVQR-BC",500,500,0,500,0,0.647951565544601,0.968077200779418,1.32163242669499,0.936,0.064,4,3.7037,1,0.925658536585366,37.952,0.884,0.946,0.998,0.832,0.558,0
500,0.1,0.25,"DML-IVQR-BC",500,500,0,500,0,-1.0589515655446,1.20703784539408,1.58547395379721,0.93,0.07,3.9,3.7547,0.975609756097561,0.936292682926829,38.388,0.702,0.98,0.996,0.686,0.44,0
500,0.25,0.25,"DML-IVQR-BC",500,500,0,500,0,-0.576089750196082,0.801412228072158,1.09176775931559,0.962,0.038,3.45,3.3867,0.853658536585366,0.842292682926829,34.534,0.428,0.906,0.946,0.388,0.204,0
500,0.5,0.25,"DML-IVQR-BC",500,500,0,500,0,-0.1986,0.499,0.714632772828115,0.966,0.034,3.05,2.9971,0.75609756097561,0.744682926829268,30.532,0.38,0.742,0.81,0.312,0.15,0
500,0.75,0.25,"DML-IVQR-BC",500,500,0,500,0,0.105889750196081,0.561971426010981,0.793326338398385,0.94,0.06,3.35,3.0891,0.829268292682927,0.768878048780488,31.524,0.552,0.714,0.854,0.412,0.226,0
500,0.9,0.25,"DML-IVQR-BC",500,500,0,500,0,0.378151565544601,0.663205488060207,0.974744605793657,0.93,0.07,3.75,3.401,0.926829268292683,0.848731707317073,34.798,0.738,0.838,0.978,0.598,0.326,0
500,0.1,0.5,"DML-IVQR-BC",500,500,0,500,0,-0.827351565544601,0.926280607821014,1.33459843136769,0.928,0.072,3.75,3.5762,0.926829268292683,0.888439024390244,36.426,0.402,0.926,0.954,0.374,0.216,0
500,0.25,0.5,"DML-IVQR-BC",500,500,0,500,0,-0.156289750196082,0.310636729024314,0.485793419074768,0.96,0.04,2.1,2.1325,0.51219512195122,0.524682926829268,21.512,0.02,0.354,0.364,0.01,0.004,0
500,0.5,0.5,"DML-IVQR-BC",500,500,0,500,0,0.0095999999999999,0.1832,0.246576560118759,0.966,0.034,1.2,1.3385,0.292682926829268,0.327463414634146,13.426,0.01,0.072,0.078,0.004,0,0
500,0.75,0.5,"DML-IVQR-BC",500,500,0,500,0,0.118489750196081,0.237861212053334,0.329095458646165,0.926,0.074,1.3,1.4889,0.317073170731707,0.365268292682927,14.976,0.076,0.098,0.164,0.01,0,0
500,0.9,0.5,"DML-IVQR-BC",500,500,0,500,0,0.285751565544601,0.372839926412695,0.538791534093837,0.898,0.102,2.3,2.3466,0.560975609756098,0.580048780487805,23.782,0.294,0.338,0.538,0.094,0.028,0
500,0.1,1,"DML-IVQR-BC",500,500,0,500,0,-0.203751565544601,0.295939263401202,0.453168688748324,0.958,0.042,2.3,2.3026,0.560975609756098,0.564243902439024,23.134,0.036,0.18,0.212,0.004,0,0
500,0.25,1,"DML-IVQR-BC",500,500,0,500,0,0.0055102498039182,0.118497967962352,0.15016778233996,0.976,0.024,0.7,0.7022,0.170731707317073,0.171268292682927,7.022,0,0,0,0,0,0
500,0.5,1,"DML-IVQR-BC",500,500,0,500,0,0.0619999999999999,0.0996,0.130690474021636,0.922,0.078,0.5,0.4726,0.121951219512195,0.115268292682927,4.726,0,0,0,0,0,0
500,0.75,1,"DML-IVQR-BC",500,500,0,500,0,0.125089750196081,0.144383645121571,0.174548232887412,0.77,0.23,0.5,0.495,0.121951219512195,0.120731707317073,4.95,0,0,0,0,0,0
500,0.9,1,"DML-IVQR-BC",500,500,0,500,0,0.243951565544601,0.253893664960037,0.306232928228924,0.658,0.342,0.7,0.7927,0.170731707317073,0.193365853658537,7.928,0.002,0,0.002,0,0,0
