"n","tau","kappa","estimator","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_41_acceptance_rate","computational_domain","measure_definition"
500,0.1,1,"Oracle-GMM",0.7,0.7364,0.170731707317073,0.179658536585366,7.366,0.004,0,0.004,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,1,"Full-GMM",1.6,1.6151,0.390243902439024,0.395317073170732,16.208,0.058,0.056,0.106,0.008,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,1,"DML-IVQR-BC",2.3,2.3026,0.560975609756098,0.564243902439024,23.134,0.036,0.18,0.212,0.004,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,0.5,"Oracle-GMM",2.5,2.4372,0.609756097560976,0.602536585365854,24.704,0.288,0.376,0.552,0.112,0.038,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,0.5,"Full-GMM",3.05,3.0052,0.75609756097561,0.745121951219512,30.55,0.482,0.514,0.74,0.256,0.006,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,0.5,"DML-IVQR-BC",3.75,3.5762,0.926829268292683,0.888439024390244,36.426,0.402,0.926,0.954,0.374,0.216,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,0.25,"Oracle-GMM",3.85,3.497,0.951219512195122,0.872585365853659,35.776,0.788,0.824,0.962,0.65,0.37,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,0.25,"Full-GMM",3.7,3.6205,0.926829268292683,0.903804878048781,37.056,0.838,0.864,0.972,0.73,0.146,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,0.25,"DML-IVQR-BC",3.9,3.7547,0.975609756097561,0.936292682926829,38.388,0.702,0.98,0.996,0.686,0.44,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
500,0.1,0.1,"Oracle-GMM",4,3.7465,1,0.936390243902439,38.392,0.928,0.926,0.994,0.86,0.564,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
