"n","tau","kappa","estimator","replications","median_measure_A0","median_measure_A1","median_measure_A2","mean_measure_A0","mean_measure_A1","mean_measure_A2","median_added_measure_A0_to_A1","mean_added_measure_A0_to_A1","median_added_measure_A1_to_A2","mean_added_measure_A1_to_A2","boundary_acceptance_rate_A0","boundary_acceptance_rate_A1","boundary_acceptance_rate_A2","all_grid_acceptance_rate_A0","all_grid_acceptance_rate_A1","all_grid_acceptance_rate_A2","successful_profiles_A0","successful_profiles_A1","successful_profiles_A2","failed_profiles_A0","failed_profiles_A1","failed_profiles_A2","stage1_recorded_numerical_errors","stage2_new_numerical_errors","investigated_domain_status","disconnected_components_established","interpretation_limit"
1000,0.1,1,"Oracle-GMM",100,0.4,0.4,0.4,0.386,0.386,0.386,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,1,"Full-GMM",100,0.8,0.8,0.8,0.757,0.757,0.757,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,1,"DML-IVQR-BC",100,0.6,0.6,0.6,0.705,0.705,0.705,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,0.25,"Oracle-GMM",100,3.4,5.325,7.25,3.0195,4.9935,6.8375,2,1.974,2,1.844,0.88,0.77,0.74,0.15,0.07,0.05,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,0.25,"Full-GMM",100,3.375,5.95,8.2,3.304,5.7735,8.0365,2.5,2.4695,2.2,2.263,0.92,0.84,0.75,0.09,0.03,0.02,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,0.25,"DML-IVQR-BC",100,3.75,5.95,7.95,3.6075,6.04,8.245,2.15,2.4325,2,2.205,0.95,0.98,0.98,0.24,0.06,0.05,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,0.1,"Oracle-GMM",100,4,7.9,11.9,3.745,7.381,11.002,4,3.636,4,3.621,1,1,1,0.58,0.43,0.39,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,0.1,"Full-GMM",100,3.9,7.8,11.6,3.785,7.3945,10.9745,3.85,3.6095,3.875,3.58,0.99,0.98,0.99,0.43,0.21,0.15,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.1,0.1,"DML-IVQR-BC",100,4,7.575,10.775,3.845,7.219,10.3395,3.7,3.374,3.45,3.1205,1,0.99,0.99,0.56,0.26,0.2,100,100,100,0,0,0,0,0,"not stabilized within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
1000,0.25,1,"Oracle-GMM",100,0.3,0.3,0.3,0.259,0.259,0.259,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,"near-stable within investigated domains",FALSE,"does not establish global boundedness or unboundedness"
