"n","tau","kappa","estimator","Bias","MAE","RMSE"
500,0.1,1,"Oracle-GMM",-0.114551565544601,0.155484769858235,0.199832582850543
500,0.1,1,"Full-GMM",-0.683551565544601,0.692553646563211,0.789404042780676
500,0.1,1,"DML-IVQR-BC",-0.203751565544601,0.295939263401202,0.453168688748324
500,0.1,0.5,"Oracle-GMM",-0.285351565544601,0.393675119760807,0.641522467228354
500,0.1,0.5,"Full-GMM",-0.900751565544601,0.960231602338254,1.21932142720082
500,0.1,0.5,"DML-IVQR-BC",-0.827351565544601,0.926280607821014,1.33459843136769
500,0.1,0.25,"Oracle-GMM",-0.705151565544601,0.895179944809521,1.27605711878035
500,0.1,0.25,"Full-GMM",-1.1545515655446,1.2825095581133,1.61159558124906
500,0.1,0.25,"DML-IVQR-BC",-1.0589515655446,1.20703784539408,1.58547395379721
500,0.1,0.1,"Oracle-GMM",-0.846751565544601,1.09689650097427,1.45704398483787
500,0.1,0.1,"Full-GMM",-1.2715515655446,1.39611920821072,1.70673471396082
500,0.1,0.1,"DML-IVQR-BC",-1.0651515655446,1.25772337024794,1.61788717084416
500,0.25,1,"Oracle-GMM",-0.0484897501960818,0.0971020320376477,0.122618334167768
500,0.25,1,"Full-GMM",-0.218089750196082,0.245640784138042,0.294927413341977
500,0.25,1,"DML-IVQR-BC",0.0055102498039182,0.118497967962352,0.15016778233996
500,0.25,0.5,"Oracle-GMM",-0.0828897501960818,0.213126524028236,0.293734830565884
500,0.25,0.5,"Full-GMM",-0.272089750196082,0.422595900078433,0.55272694177303
500,0.25,0.5,"DML-IVQR-BC",-0.156289750196082,0.310636729024314,0.485793419074768
500,0.25,0.25,"Oracle-GMM",-0.264489750196082,0.578726524028236,0.830839832915337
500,0.25,0.25,"Full-GMM",-0.502489750196082,0.843820392069021,1.08774627053009
500,0.25,0.25,"DML-IVQR-BC",-0.576089750196082,0.801412228072158,1.09176775931559
500,0.25,0.1,"Oracle-GMM",-0.311889750196082,0.833461221014902,1.07111925399433
500,0.25,0.1,"Full-GMM",-0.548889750196082,1.00646529405177,1.24109008451052
500,0.25,0.1,"DML-IVQR-BC",-0.600689750196082,0.986673458048628,1.24548855313513
500,0.5,1,"Oracle-GMM",-0.0102000000000001,0.0746,0.102469507659596
500,0.5,1,"Full-GMM",0.0093999999999999,0.1314,0.16917446615846
500,0.5,1,"DML-IVQR-BC",0.0619999999999999,0.0996,0.130690474021636
500,0.5,0.5,"Oracle-GMM",-0.0068000000000001,0.1644,0.227947362344906
500,0.5,0.5,"Full-GMM",0.0107999999999999,0.3028,0.400099987503124
500,0.5,0.5,"DML-IVQR-BC",0.0095999999999999,0.1832,0.246576560118759
500,0.5,0.25,"Oracle-GMM",-0.0328000000000001,0.442,0.633876959669619
500,0.5,0.25,"Full-GMM",0.00839999999999988,0.64,0.827163828996409
500,0.5,0.25,"DML-IVQR-BC",-0.1986,0.499,0.714632772828115
500,0.5,0.1,"Oracle-GMM",-0.0598000000000001,0.8178,1.02677163965509
500,0.5,0.1,"Full-GMM",0.0361999999999999,0.9494,1.128919837721
500,0.5,0.1,"DML-IVQR-BC",-0.268,0.8476,1.04628867909387
500,0.75,1,"Oracle-GMM",0.0338897501960814,0.0968979590007844,0.126333507702243
500,0.75,1,"Full-GMM",0.231089750196081,0.266171399126276,0.326892815224941
500,0.75,1,"DML-IVQR-BC",0.125089750196081,0.144383645121571,0.174548232887412
500,0.75,0.5,"Oracle-GMM",0.116889750196081,0.251465303013334,0.410494157937604
500,0.75,0.5,"Full-GMM",0.325489750196081,0.499322433068236,0.686179697661413
500,0.75,0.5,"DML-IVQR-BC",0.118489750196081,0.237861212053334,0.329095458646165
500,0.75,0.25,"Oracle-GMM",0.299689750196081,0.613277549008628,0.903249083239275
500,0.75,0.25,"Full-GMM",0.416889750196081,0.798065294051766,1.02950439718272
500,0.75,0.25,"DML-IVQR-BC",0.105889750196081,0.561971426010981,0.793326338398385
500,0.75,0.1,"Oracle-GMM",0.259689750196081,0.867795918001569,1.12288010328659
