"check","status","observed","expected","details"
"expected main design cells","PASS","120","120",""
"no duplicate main design rows","PASS","0","0",""
"all expected main design keys","PASS","120","120",""
"all three estimators present","PASS","DML-IVQR-BC; Full-GMM; Oracle-GMM","DML-IVQR-BC; Full-GMM; Oracle-GMM",""
"expected power design cells","PASS","720","720",""
"no duplicate power design rows","PASS","0","0",""
"coverage keys match canonical summary","PASS","120","120",""
"coverage matches canonical summary","PASS","0","0",""
"size matches canonical summary","PASS","1.11022302462516e-16","0",""
"point metrics copied from canonical summary","PASS","exact within 1e-12","exact within 1e-12",""
"power copied from canonical power summary","PASS","exact within 1e-12","exact within 1e-12",""
"no main-run failures","PASS","0","0",""
"one recorded Stage-1 numerical error","PASS","1","1",""
"zero new Stage-2 numerical errors","PASS","0","0",""
"compact point table is documented subset","PASS","36","36",""
"compact CR table is documented subset","PASS","36","36",""
"compact power table is documented subset","PASS","72","72",""
"full grid diagnostic cells","PASS","45","45",""
"canonical input hashes unchanged during reporting build","PASS","0","0","SHA-256 and byte counts checked before and after generation"
