"n","tau","kappa","estimator","R_available","coverage","size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","nominal_0p95_inside_mc_interval"
500,0.1,1,"Oracle-GMM",500,0.858,0.142,0.0156099967969247,0.824670332675225,0.885870639554304,FALSE
500,0.1,1,"Full-GMM",500,0.442,0.558,0.0222097275985096,0.399075953142823,0.485808470350717,FALSE
500,0.1,1,"DML-IVQR-BC",500,0.958,0.042,0.00897061870775924,0.93664841424567,0.972367689891548,TRUE
500,0.1,0.5,"Oracle-GMM",500,0.904,0.096,0.0131745208641529,0.875013037572485,0.926826495334581,FALSE
500,0.1,0.5,"Full-GMM",500,0.816,0.184,0.0173288199251998,0.77967089620646,0.847510520621839,FALSE
500,0.1,0.5,"DML-IVQR-BC",500,0.928,0.072,0.0115599307956406,0.901931595983038,0.947541968581874,FALSE
500,0.1,0.25,"Oracle-GMM",500,0.944,0.056,0.0102824121683582,0.920255206353293,0.960974379316848,TRUE
500,0.1,0.25,"Full-GMM",500,0.928,0.072,0.0115599307956406,0.901931595983038,0.947541968581874,FALSE
500,0.1,0.25,"DML-IVQR-BC",500,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE
500,0.1,0.1,"Oracle-GMM",500,0.954,0.046,0.00936845771725528,0.931922207231727,0.969154891629184,TRUE
500,0.1,0.1,"Full-GMM",500,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE
500,0.1,0.1,"DML-IVQR-BC",500,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE
500,0.25,1,"Oracle-GMM",500,0.886,0.114,0.0142129518397833,0.855150910157685,0.910963099005997,FALSE
500,0.25,1,"Full-GMM",500,0.788,0.212,0.0182787308093314,0.750047884182445,0.821560495711702,FALSE
500,0.25,1,"DML-IVQR-BC",500,0.976,0.024,0.00684455988358638,0.958522942536099,0.986218685344503,FALSE
500,0.25,0.5,"Oracle-GMM",500,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE
500,0.25,0.5,"Full-GMM",500,0.92,0.08,0.0121326007104825,0.892893683422149,0.940701870590148,FALSE
500,0.25,0.5,"DML-IVQR-BC",500,0.96,0.04,0.00876356092008266,0.939026404165149,0.973959202610223,TRUE
500,0.25,0.25,"Oracle-GMM",500,0.938,0.0620000000000001,0.0107848041243223,0.913340286898362,0.955980790857318,TRUE
500,0.25,0.25,"Full-GMM",500,0.938,0.0620000000000001,0.0107848041243223,0.913340286898362,0.955980790857318,TRUE
500,0.25,0.25,"DML-IVQR-BC",500,0.962,0.038,0.00855055553750749,0.941415227469356,0.97553988194417,TRUE
500,0.25,0.1,"Oracle-GMM",500,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE
500,0.25,0.1,"Full-GMM",500,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE
500,0.25,0.1,"DML-IVQR-BC",500,0.958,0.042,0.00897061870775924,0.93664841424567,0.972367689891548,TRUE
500,0.5,1,"Oracle-GMM",500,0.908,0.092,0.01292563344676,0.879461261863826,0.930317276319548,FALSE
500,0.5,1,"Full-GMM",500,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE
500,0.5,1,"DML-IVQR-BC",500,0.922,0.078,0.0119929979571415,0.895146450126612,0.942418606523838,FALSE
500,0.5,0.5,"Oracle-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
500,0.5,0.5,"Full-GMM",500,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE
500,0.5,0.5,"DML-IVQR-BC",500,0.966,0.034,0.00810481338464989,0.946228634498365,0.978665480191468,TRUE
500,0.5,0.25,"Oracle-GMM",500,0.944,0.056,0.0102824121683582,0.920255206353293,0.960974379316848,TRUE
500,0.5,0.25,"Full-GMM",500,0.962,0.038,0.00855055553750749,0.941415227469356,0.97553988194417,TRUE
500,0.5,0.25,"DML-IVQR-BC",500,0.966,0.034,0.00810481338464989,0.946228634498365,0.978665480191468,TRUE
500,0.5,0.1,"Oracle-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
500,0.5,0.1,"Full-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
500,0.5,0.1,"DML-IVQR-BC",500,0.958,0.042,0.00897061870775924,0.93664841424567,0.972367689891548,TRUE
500,0.75,1,"Oracle-GMM",500,0.912,0.088,0.0126693330526907,0.88392352793461,0.933794015525071,FALSE
500,0.75,1,"Full-GMM",500,0.832,0.168,0.0167198086113448,0.796725670910373,0.862211767023156,FALSE
500,0.75,1,"DML-IVQR-BC",500,0.77,0.23,0.0188202019117755,0.731137781325232,0.80474507482553,FALSE
500,0.75,0.5,"Oracle-GMM",500,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE
500,0.75,0.5,"Full-GMM",500,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE
500,0.75,0.5,"DML-IVQR-BC",500,0.926,0.074,0.0117067501895274,0.899665246677769,0.945838815248988,FALSE
500,0.75,0.25,"Oracle-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
500,0.75,0.25,"Full-GMM",500,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE
500,0.75,0.25,"DML-IVQR-BC",500,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE
500,0.75,0.1,"Oracle-GMM",500,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE
500,0.75,0.1,"Full-GMM",500,0.956,0.044,0.00917213170424412,0.934280557127672,0.970766044371393,TRUE
500,0.75,0.1,"DML-IVQR-BC",500,0.938,0.0620000000000001,0.0107848041243223,0.913340286898362,0.955980790857318,TRUE
500,0.9,1,"Oracle-GMM",500,0.882,0.118,0.0144274737913468,0.850768012138881,0.907406991748494,FALSE
500,0.9,1,"Full-GMM",500,0.556,0.444,0.0222199909990981,0.512186893049726,0.59895918081858,FALSE
500,0.9,1,"DML-IVQR-BC",500,0.658,0.342,0.0212149004239945,0.615356215080009,0.69823449333414,FALSE
500,0.9,0.5,"Oracle-GMM",500,0.944,0.056,0.0102824121683582,0.920255206353293,0.960974379316848,TRUE
500,0.9,0.5,"Full-GMM",500,0.84,0.16,0.0163951212255354,0.805291820836308,0.869523627649836,FALSE
500,0.9,0.5,"DML-IVQR-BC",500,0.898,0.102,0.0135348439222623,0.868365377095774,0.921565647896831,FALSE
500,0.9,0.25,"Oracle-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
500,0.9,0.25,"Full-GMM",500,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE
500,0.9,0.25,"DML-IVQR-BC",500,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE
500,0.9,0.1,"Oracle-GMM",500,0.95,0.05,0.00974679434480897,0.927231838828452,0.965906254756151,TRUE
500,0.9,0.1,"Full-GMM",500,0.944,0.056,0.0102824121683582,0.920255206353293,0.960974379316848,TRUE
500,0.9,0.1,"DML-IVQR-BC",500,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE
1000,0.1,1,"Oracle-GMM",500,0.86,0.14,0.0155177317930167,0.826833135055546,0.887677339812136,FALSE
1000,0.1,1,"Full-GMM",500,0.502,0.498,0.0223605008888441,0.458326363229862,0.545643139408292,FALSE
1000,0.1,1,"DML-IVQR-BC",500,0.968,0.032,0.00787095928079926,0.948655130954558,0.980208486373429,TRUE
1000,0.1,0.5,"Oracle-GMM",500,0.926,0.074,0.0117067501895274,0.899665246677769,0.945838815248988,FALSE
1000,0.1,0.5,"Full-GMM",500,0.804,0.196,0.017752971582245,0.766942507613641,0.836421893385736,FALSE
1000,0.1,0.5,"DML-IVQR-BC",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
1000,0.1,0.25,"Oracle-GMM",500,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE
1000,0.1,0.25,"Full-GMM",500,0.932,0.0679999999999999,0.0112584190719657,0.906479077266126,0.950933492575093,TRUE
1000,0.1,0.25,"DML-IVQR-BC",500,0.95,0.05,0.00974679434480897,0.927231838828452,0.965906254756151,TRUE
1000,0.1,0.1,"Oracle-GMM",500,0.946,0.054,0.0101078187557949,0.922573438489353,0.962625649818942,TRUE
1000,0.1,0.1,"Full-GMM",500,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE
1000,0.1,0.1,"DML-IVQR-BC",500,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE
1000,0.25,1,"Oracle-GMM",500,0.874,0.126,0.0148407546977908,0.842032282280136,0.900264711054623,FALSE
1000,0.25,1,"Full-GMM",500,0.79,0.21,0.018215378118502,0.752155153040702,0.823422729491598,FALSE
1000,0.25,1,"DML-IVQR-BC",500,0.894,0.106,0.0137669168661687,0.863949069989267,0.91804294972703,FALSE
1000,0.25,0.5,"Oracle-GMM",500,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE
1000,0.25,0.5,"Full-GMM",500,0.908,0.092,0.01292563344676,0.879461261863826,0.930317276319548,FALSE
1000,0.25,0.5,"DML-IVQR-BC",500,0.952,0.048,0.00955991631762538,0.92957280316411,0.967534793058647,TRUE
1000,0.25,0.25,"Oracle-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
1000,0.25,0.25,"Full-GMM",500,0.956,0.044,0.00917213170424412,0.934280557127672,0.970766044371393,TRUE
1000,0.25,0.25,"DML-IVQR-BC",500,0.962,0.038,0.00855055553750749,0.941415227469356,0.97553988194417,TRUE
1000,0.25,0.1,"Oracle-GMM",500,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE
1000,0.25,0.1,"Full-GMM",500,0.962,0.038,0.00855055553750749,0.941415227469356,0.97553988194417,TRUE
1000,0.25,0.1,"DML-IVQR-BC",500,0.954,0.046,0.00936845771725528,0.931922207231727,0.969154891629184,TRUE
1000,0.5,1,"Oracle-GMM",500,0.872,0.128,0.0149409504383088,0.839854314691842,0.898473176004763,FALSE
1000,0.5,1,"Full-GMM",500,0.896,0.104,0.013651666564929,0.866155729124342,0.919805793230109,FALSE
1000,0.5,1,"DML-IVQR-BC",500,0.776,0.224,0.0186453211289052,0.737430335325131,0.810361028740092,FALSE
1000,0.5,0.5,"Oracle-GMM",500,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE
1000,0.5,0.5,"Full-GMM",500,0.946,0.054,0.0101078187557949,0.922573438489353,0.962625649818942,TRUE
1000,0.5,0.5,"DML-IVQR-BC",500,0.918,0.082,0.0122699633251286,0.890645140842611,0.938980910531531,FALSE
1000,0.5,0.25,"Oracle-GMM",500,0.946,0.054,0.0101078187557949,0.922573438489353,0.962625649818942,TRUE
1000,0.5,0.25,"Full-GMM",500,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE
1000,0.5,0.25,"DML-IVQR-BC",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
1000,0.5,0.1,"Oracle-GMM",500,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE
1000,0.5,0.1,"Full-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
1000,0.5,0.1,"DML-IVQR-BC",500,0.942,0.0580000000000001,0.0104533248299285,0.917943812143745,0.959316270888243,TRUE
1000,0.75,1,"Oracle-GMM",500,0.86,0.14,0.0155177317930167,0.826833135055546,0.887677339812136,FALSE
1000,0.75,1,"Full-GMM",500,0.79,0.21,0.018215378118502,0.752155153040702,0.823422729491598,FALSE
1000,0.75,1,"DML-IVQR-BC",500,0.632,0.368,0.0215673827804859,0.588871722496907,0.673115451621243,FALSE
1000,0.75,0.5,"Oracle-GMM",500,0.916,0.084,0.0124051602166195,0.888400685539819,0.93725586319617,FALSE
1000,0.75,0.5,"Full-GMM",500,0.922,0.078,0.0119929979571415,0.895146450126612,0.942418606523838,FALSE
1000,0.75,0.5,"DML-IVQR-BC",500,0.842,0.158,0.0163117135825762,0.807437648988734,0.871347302135565,FALSE
1000,0.75,0.25,"Oracle-GMM",500,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE
1000,0.75,0.25,"Full-GMM",500,0.928,0.072,0.0115599307956406,0.901931595983038,0.947541968581874,FALSE
1000,0.75,0.25,"DML-IVQR-BC",500,0.916,0.084,0.0124051602166195,0.888400685539819,0.93725586319617,FALSE
1000,0.75,0.1,"Oracle-GMM",500,0.946,0.054,0.0101078187557949,0.922573438489353,0.962625649818942,TRUE
1000,0.75,0.1,"Full-GMM",500,0.926,0.074,0.0117067501895274,0.899665246677769,0.945838815248988,FALSE
1000,0.75,0.1,"DML-IVQR-BC",500,0.93,0.07,0.0114105214604767,0.904202810148083,0.949240257054982,FALSE
1000,0.9,1,"Oracle-GMM",500,0.904,0.096,0.0131745208641529,0.875013037572485,0.926826495334581,FALSE
1000,0.9,1,"Full-GMM",500,0.53,0.47,0.0223203942617508,0.486190591424253,0.573351948148054,FALSE
1000,0.9,1,"DML-IVQR-BC",500,0.498,0.502,0.0223605008888441,0.454356860591708,0.541673636770138,FALSE
1000,0.9,0.5,"Oracle-GMM",500,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE
1000,0.9,0.5,"Full-GMM",500,0.834,0.166,0.0166399519230075,0.798864683802693,0.86404225676899,FALSE
1000,0.9,0.5,"DML-IVQR-BC",500,0.844,0.156,0.0162273842624127,0.809585245166297,0.873169208596155,FALSE
1000,0.9,0.25,"Oracle-GMM",500,0.952,0.048,0.00955991631762538,0.92957280316411,0.967534793058647,TRUE
1000,0.9,0.25,"Full-GMM",500,0.92,0.08,0.0121326007104825,0.892893683422149,0.940701870590148,FALSE
1000,0.9,0.25,"DML-IVQR-BC",500,0.922,0.078,0.0119929979571415,0.895146450126612,0.942418606523838,FALSE
1000,0.9,0.1,"Oracle-GMM",500,0.964,0.036,0.0083311463797007,0.943815673031972,0.977108939019707,TRUE
1000,0.9,0.1,"Full-GMM",500,0.948,0.052,0.00992935043192656,0.924898856062154,0.964269734884295,TRUE
1000,0.9,0.1,"DML-IVQR-BC",500,0.94,0.0600000000000001,0.0106207344378814,0.91563893687478,0.957651643519054,TRUE
