"n","tau","kappa","estimator","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_41_acceptance_rate","computational_domain","measure_definition"
1000,0.1,1,"Oracle-GMM",0.4,0.3788,0.0975609756097561,0.092390243902439,3.788,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,1,"Full-GMM",0.8,0.7664,0.195121951219512,0.186926829268293,7.664,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,1,"DML-IVQR-BC",0.6,0.6678,0.146341463414634,0.162878048780488,6.678,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.5,"Oracle-GMM",1,1.2909,0.24390243902439,0.316341463414634,12.97,0.05,0.072,0.122,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.5,"Full-GMM",1.9,1.941,0.463414634146341,0.477170731707317,19.564,0.176,0.132,0.292,0.016,0.002,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.5,"DML-IVQR-BC",2.225,2.283,0.548780487804878,0.561951219512195,23.04,0.088,0.332,0.398,0.022,0.006,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.25,"Oracle-GMM",3.45,3.0769,0.853658536585366,0.764878048780488,31.36,0.556,0.626,0.836,0.346,0.166,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.25,"Full-GMM",3.5,3.3176,0.878048780487805,0.826048780487805,33.868,0.67,0.714,0.908,0.476,0.092,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.25,"DML-IVQR-BC",3.75,3.5774,0.926829268292683,0.89009756097561,36.494,0.536,0.904,0.956,0.484,0.26,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.1,"Oracle-GMM",4,3.7397,1,0.934048780487805,38.296,0.862,0.936,0.986,0.812,0.548,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.1,"Full-GMM",3.9,3.781,0.975609756097561,0.944682926829268,38.732,0.91,0.934,0.998,0.846,0.358,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.1,0.1,"DML-IVQR-BC",4,3.8257,1,0.954829268292683,39.148,0.814,0.968,0.992,0.79,0.528,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,1,"Oracle-GMM",0.2,0.228,0.0487804878048781,0.055609756097561,2.28,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,1,"Full-GMM",0.4,0.369,0.0975609756097561,0.09,3.69,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,1,"DML-IVQR-BC",0.3,0.2608,0.0731707317073171,0.063609756097561,2.608,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.5,"Oracle-GMM",0.5,0.5616,0.121951219512195,0.136975609756098,5.616,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.5,"Full-GMM",0.8,0.8331,0.195121951219512,0.203219512195122,8.332,0.002,0,0.002,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.5,"DML-IVQR-BC",0.6,0.6414,0.146341463414634,0.156439024390244,6.414,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.25,"Oracle-GMM",1.9,1.946,0.463414634146341,0.479756097560976,19.67,0.238,0.182,0.342,0.078,0.036,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.25,"Full-GMM",2.2,2.2766,0.536585365853659,0.561609756097561,23.026,0.286,0.234,0.42,0.1,0.03,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.25,"DML-IVQR-BC",2.025,2.0677,0.5,0.510390243902439,20.926,0.146,0.352,0.408,0.09,0.04,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.1,"Oracle-GMM",3.9,3.5008,0.975609756097561,0.873853658536585,35.828,0.828,0.812,0.916,0.724,0.418,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.1,"Full-GMM",3.8,3.5196,0.951219512195122,0.878634146341463,36.024,0.824,0.832,0.934,0.722,0.366,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.1,"DML-IVQR-BC",3.9,3.5145,0.975609756097561,0.876975609756098,35.956,0.74,0.882,0.926,0.696,0.428,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,1,"Oracle-GMM",0.5,0.5154,0.121951219512195,0.125707317073171,5.154,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,1,"Full-GMM",1,1.0349,0.24390243902439,0.252439024390244,10.35,0.002,0,0.002,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,1,"DML-IVQR-BC",0.4,0.4456,0.0975609756097561,0.108682926829268,4.456,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.5,"Oracle-GMM",1.575,1.8636,0.390243902439024,0.457951219512195,18.776,0.236,0.044,0.27,0.01,0.004,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.5,"Full-GMM",2.45,2.4175,0.609756097560976,0.594780487804878,24.386,0.274,0.148,0.374,0.048,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.5,"DML-IVQR-BC",1.1,1.4138,0.268292682926829,0.346487804878049,14.206,0.106,0.03,0.134,0.002,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.25,"Oracle-GMM",3.65,3.2787,0.902439024390244,0.815073170731707,33.418,0.728,0.534,0.864,0.398,0.232,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.25,"Full-GMM",3.6,3.4621,0.902439024390244,0.862243902439024,35.352,0.796,0.666,0.94,0.522,0.142,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.25,"DML-IVQR-BC",3.35,2.9861,0.829268292682927,0.742341463414634,30.436,0.574,0.576,0.808,0.342,0.174,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.1,"Oracle-GMM",4,3.6902,1,0.92190243902439,37.798,0.906,0.886,0.98,0.812,0.58,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.1,"Full-GMM",3.9,3.7673,0.975609756097561,0.941170731707317,38.588,0.924,0.906,0.994,0.836,0.36,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.9,0.1,"DML-IVQR-BC",4,3.604,1,0.900390243902439,36.916,0.838,0.914,0.986,0.766,0.506,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
