"n","tau","kappa","estimator","Bias","MAE","RMSE"
1000,0.1,1,"Oracle-GMM",-0.0543515655446009,0.0929551565544601,0.121054750741758
1000,0.1,1,"Full-GMM",-0.329351565544601,0.337429521319643,0.387049885320587
1000,0.1,1,"DML-IVQR-BC",-0.00495156554460087,0.116953830531474,0.150123142790652
1000,0.1,0.5,"Oracle-GMM",-0.100751565544601,0.193964806651887,0.286604671908341
1000,0.1,0.5,"Full-GMM",-0.407151565544601,0.465466795686366,0.630013521541736
1000,0.1,0.5,"DML-IVQR-BC",-0.158951565544601,0.306324125243568,0.482177187545284
1000,0.1,0.25,"Oracle-GMM",-0.383551565544601,0.566026869273671,0.934166903412722
1000,0.1,0.25,"Full-GMM",-0.772951565544601,0.914490257918441,1.24190183294729
1000,0.1,0.25,"DML-IVQR-BC",-0.681151565544601,0.843801326022986,1.2286607730549
1000,0.1,0.1,"Oracle-GMM",-0.746951565544601,0.974517882187737,1.37583410383285
1000,0.1,0.1,"Full-GMM",-1.0737515655446,1.25063784539408,1.58175269385245
1000,0.1,0.1,"DML-IVQR-BC",-0.932351565544601,1.14618959490695,1.513994320258
1000,0.5,1,"Oracle-GMM",0.00679999999999995,0.0472,0.0715541752799932
1000,0.5,1,"Full-GMM",0.00699999999999994,0.0718,0.100498756211209
1000,0.5,1,"DML-IVQR-BC",0.0703999999999999,0.0791999999999999,0.103537432844358
1000,0.5,0.5,"Oracle-GMM",0.0149999999999999,0.093,0.134089522334894
1000,0.5,0.5,"Full-GMM",0.0135999999999999,0.1508,0.198695747312317
1000,0.5,0.5,"DML-IVQR-BC",0.0591999999999999,0.1188,0.159624559513879
1000,0.5,0.25,"Oracle-GMM",0.0453999999999999,0.2806,0.431300359378473
1000,0.5,0.25,"Full-GMM",0.0293999999999999,0.3718,0.50029991005396
1000,0.5,0.25,"DML-IVQR-BC",-0.00340000000000011,0.3058,0.447995535692042
1000,0.5,0.1,"Oracle-GMM",-0.0438000000000001,0.7354,0.945335919131395
1000,0.5,0.1,"Full-GMM",-0.0120000000000001,0.8396,1.01841052626139
1000,0.5,0.1,"DML-IVQR-BC",-0.1952,0.7792,0.990858213873206
1000,0.9,1,"Oracle-GMM",0.0721515655446006,0.109698581992883,0.147707441960576
1000,0.9,1,"Full-GMM",0.386751565544601,0.396934346368357,0.465434993797415
1000,0.9,1,"DML-IVQR-BC",0.183151565544601,0.18583917141707,0.215364658106752
1000,0.9,0.5,"Oracle-GMM",0.211351565544601,0.295100663011493,0.539779069859284
1000,0.9,0.5,"Full-GMM",0.583551565544601,0.62912885830815,0.870912412157247
1000,0.9,0.5,"DML-IVQR-BC",0.225551565544601,0.259933020345371,0.396405737495839
1000,0.9,0.25,"Oracle-GMM",0.491151565544601,0.65831031310892,1.03773681650836
1000,0.9,0.25,"Full-GMM",0.900951565544601,1.05784957651012,1.38852344721192
1000,0.9,0.25,"DML-IVQR-BC",0.417151565544601,0.579677200779418,0.926859249636271
1000,0.9,0.1,"Oracle-GMM",0.652551565544601,0.94771031310892,1.35028980063345
1000,0.9,0.1,"Full-GMM",1.0499515655446,1.23634475146141,1.58342657865452
1000,0.9,0.1,"DML-IVQR-BC",0.519151565544601,0.831417219176244,1.19122818469318
