"n","tau","kappa","estimator","delta","power","false_acceptance","successful_power_evaluations","failed_power_evaluations"
500,0.1,1,"Oracle-GMM",-1,1,0,500,0
500,0.1,1,"Oracle-GMM",-0.5,0.968,0.032,500,0
500,0.1,1,"Oracle-GMM",-0.25,0.694,0.306,500,0
500,0.1,1,"Oracle-GMM",0.25,0.12,0.88,500,0
500,0.1,1,"Oracle-GMM",0.5,0.482,0.518,500,0
500,0.1,1,"Oracle-GMM",1,0.93,0.07,500,0
500,0.1,1,"Full-GMM",-1,0.97,0.03,500,0
500,0.1,1,"Full-GMM",-0.5,0.898,0.102,500,0
500,0.1,1,"Full-GMM",-0.25,0.77,0.23,500,0
500,0.1,1,"Full-GMM",0.25,0.248,0.752,500,0
500,0.1,1,"Full-GMM",0.5,0.05,0.95,500,0
500,0.1,1,"Full-GMM",1,0.134,0.866,500,0
500,0.1,1,"DML-IVQR-BC",-1,0.998,0.002,500,0
500,0.1,1,"DML-IVQR-BC",-0.5,0.744,0.256,500,0
500,0.1,1,"DML-IVQR-BC",-0.25,0.262,0.738,500,0
500,0.1,1,"DML-IVQR-BC",0.25,0.028,0.972,500,0
500,0.1,1,"DML-IVQR-BC",0.5,0.058,0.942,500,0
500,0.1,1,"DML-IVQR-BC",1,0.184,0.816,500,0
500,0.1,0.5,"Oracle-GMM",-1,0.794,0.206,500,0
500,0.1,0.5,"Oracle-GMM",-0.5,0.532,0.468,500,0
500,0.1,0.5,"Oracle-GMM",-0.25,0.292,0.708,500,0
500,0.1,0.5,"Oracle-GMM",0.25,0.09,0.91,500,0
500,0.1,0.5,"Oracle-GMM",0.5,0.144,0.856,500,0
500,0.1,0.5,"Oracle-GMM",1,0.308,0.692,500,0
500,0.1,0.5,"Full-GMM",-1,0.558,0.442,500,0
500,0.1,0.5,"Full-GMM",-0.5,0.438,0.562,500,0
500,0.1,0.5,"Full-GMM",-0.25,0.31,0.69,500,0
500,0.1,0.5,"Full-GMM",0.25,0.108,0.892,500,0
500,0.1,0.5,"Full-GMM",0.5,0.068,0.932,500,0
500,0.1,0.5,"Full-GMM",1,0.082,0.918,500,0
500,0.1,0.5,"DML-IVQR-BC",-1,0.834,0.166,500,0
500,0.1,0.5,"DML-IVQR-BC",-0.5,0.406,0.594,500,0
500,0.1,0.5,"DML-IVQR-BC",-0.25,0.174,0.826,500,0
500,0.1,0.5,"DML-IVQR-BC",0.25,0.038,0.962,500,0
500,0.1,0.5,"DML-IVQR-BC",0.5,0.042,0.958,500,0
500,0.1,0.5,"DML-IVQR-BC",1,0.032,0.968,500,0
500,0.1,0.25,"Oracle-GMM",-1,0.246,0.754,500,0
500,0.1,0.25,"Oracle-GMM",-0.5,0.188,0.812,500,0
500,0.1,0.25,"Oracle-GMM",-0.25,0.112,0.888,500,0
500,0.1,0.25,"Oracle-GMM",0.25,0.05,0.95,500,0
500,0.1,0.25,"Oracle-GMM",0.5,0.074,0.926,500,0
500,0.1,0.25,"Oracle-GMM",1,0.104,0.896,500,0
500,0.1,0.25,"Full-GMM",-1,0.168,0.832,500,0
500,0.1,0.25,"Full-GMM",-0.5,0.134,0.866,500,0
500,0.1,0.25,"Full-GMM",-0.25,0.106,0.894,500,0
500,0.1,0.25,"Full-GMM",0.25,0.052,0.948,500,0
500,0.1,0.25,"Full-GMM",0.5,0.05,0.95,500,0
500,0.1,0.25,"Full-GMM",1,0.026,0.974,500,0
500,0.1,0.25,"DML-IVQR-BC",-1,0.432,0.568,500,0
500,0.1,0.25,"DML-IVQR-BC",-0.5,0.224,0.776,500,0
500,0.1,0.25,"DML-IVQR-BC",-0.25,0.116,0.884,500,0
500,0.1,0.25,"DML-IVQR-BC",0.25,0.046,0.954,500,0
500,0.1,0.25,"DML-IVQR-BC",0.5,0.036,0.964,500,0
500,0.1,0.25,"DML-IVQR-BC",1,0.036,0.964,500,0
500,0.1,0.1,"Oracle-GMM",-1,0.062,0.938,500,0
500,0.1,0.1,"Oracle-GMM",-0.5,0.09,0.91,500,0
