"n","tau","kappa","estimator","delta","power","false_acceptance","successful_power_evaluations","failed_power_evaluations","selection_reason"
1000,0.1,1,"Oracle-GMM",-0.5,1,0,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,1,"Oracle-GMM",0.5,0.93,0.07,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,1,"Full-GMM",-0.5,0.994,0.006,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,1,"Full-GMM",0.5,0.126,0.874,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,1,"DML-IVQR-BC",-0.5,0.988,0.012,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,1,"DML-IVQR-BC",0.5,0.696,0.304,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.5,"Oracle-GMM",-0.5,0.852,0.148,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.5,"Oracle-GMM",0.5,0.364,0.636,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.5,"Full-GMM",-0.5,0.682,0.318,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.5,"Full-GMM",0.5,0.046,0.954,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.5,"DML-IVQR-BC",-0.5,0.678,0.322,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.5,"DML-IVQR-BC",0.5,0.148,0.852,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.25,"Oracle-GMM",-0.5,0.342,0.658,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
1000,0.1,0.25,"Oracle-GMM",0.5,0.11,0.89,500,0,"moderate signed alternatives; comparable across designs; tail/central taus retained; full Delta set preserved in full/appendix output"
